Regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblast	NN	fibroblast NN PennPOS
C1q-receptors	NNS	c1q-receptor NNS PennPOS
by	IN	by IN PennPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
and	CC	and cc NUPOS
tumor-necrosis-factor-alpha	NN	tumor-necrosis-factor-alpha NN PennPOS
.	.	. . NUPOS

Transforming-growth-factor-beta	NN	Transforming-growth-factor-beta NN PennPOS
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
tumor-necrosis-factor-alpha	NN	tumor-necrosis-factor-alpha NN PennPOS
(	(	( ( NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
)	)	) ) NUPOS
are	VBP	be vbb NUPOS
two	CD	two crd NUPOS
polypeptide	NN	polypeptide NN PennPOS
mediators	NNS	mediator NNS PennPOS
which	WDT	which r-crq NUPOS
are	VBP	be vbb NUPOS
believed	VBN	believe VBN PennPOS
to	TO	to p-acp NUPOS
play	VB	play VBP PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
evolution	NN	evolution NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
evaluated	VBN	evaluate VBN PennPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
these	DT	these d NUPOS
two	CD	two crd NUPOS
substances	NNS	substance NNS PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
receptors	NNS	receptor NNS PennPOS
for	IN	for c-acp NUPOS
collagen	NN	collagen NN PennPOS
(	(	( ( NUPOS
cC1q-R	NN	cC1q-R NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
globular	JJ	globular JJ PennPOS
(	(	( ( NUPOS
gC1q-R	NN	gC1q-R NN PennPOS
)	)	) ) NUPOS
domains	NNS	domain NNS PennPOS
of	IN	of pp-f NUPOS
C1q	NN	c1q NN PennPOS
and	CC	and cc NUPOS
on	IN	on IN PennPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
collagen	NN	collagen NN PennPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Two	CD	two crd NUPOS
fibroblast	NN	fibroblast NN PennPOS
subpopulations	NNS	subpopulation NNS PennPOS
differing	VBG	differ VBG PennPOS
in	IN	in IN PennPOS
C1q	NN	c1q NN PennPOS
receptor	NN	receptor NN PennPOS
expression	NN	expression NN PennPOS
were	VBD	be vbd NUPOS
obtained	VBN	obtain VBN PennPOS
by	IN	by IN PennPOS
culturing	VBG	culture VBG PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
explants	NNS	explant NNS PennPOS
in	IN	in IN PennPOS
medium	NN	medium NN PennPOS
containing	VBG	contain VBG PennPOS
fresh	JJ	fresh JJ PennPOS
human	JJ	human JJ PennPOS
serum	NN	serum NN PennPOS
and	CC	and cc NUPOS
heated	JJ	heated JJ PennPOS
plasma-derived	JJ	plasma-derived JJ PennPOS
serum	NN	serum NN PennPOS
and	CC	and cc NUPOS
separating	VBG	separate VBG PennPOS
them	PRP	they pno32 NUPOS
based	VBN	base vvn NUPOS
on	IN	on IN PennPOS
C1q	NN	c1q NN PennPOS
binding	NN	binding NN PennPOS
[	(	[ ( NUPOS
Narayanan	NN	Narayanan NN PennPOS
,	,	, , NUPOS
Lurton	NNP	Lurton np1 NUPOS
and	CC	and cc NUPOS
Raghu	NNP	Raghu NNP PennPOS
:	:	: : NUPOS
Am	VBP	be vbm NUPOS
J	NN	j NN PennPOS
Resp	NN	Resp NN PennPOS
Cell	NN	cell NN PennPOS
Mol	NNP	mol NN PennPOS
Biol	NNP	Biol NNP PennPOS
.	.	. . NUPOS

1998	CD	1998 CD PennPOS
;	:	; : NUPOS
17:84	CD	17:84 CD PennPOS
]	)	] ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
referred	VBN	refer VBN PennPOS
to	TO	to p-acp NUPOS
as	IN	as c-acp NUPOS
HH	NN	hh NN PennPOS
and	CC	and cc NUPOS
NL	NN	NL NN PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
,	,	, , NUPOS
were	VBD	be vbd NUPOS
exposed	VBN	expose VBN PennPOS
to	TO	to p-acp NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
and	CC	and cc NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
in	IN	in IN PennPOS
serum-free	JJ	serum-free JJ PennPOS
conditions	NNS	condition NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
mRNA	NN	mRNA NN PennPOS
were	VBD	be vbd NUPOS
assessed	VBN	assess VBN PennPOS
by	IN	by IN PennPOS
in	FW	in fw-la NUPOS
situ	FW	situ FW PennPOS
hybridization	NN	hybridization NN PennPOS
and	CC	and cc NUPOS
Northern	NN	northern NN PennPOS
analysis	NN	analysis NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
levels	NNS	level NNS PennPOS
compared	VBN	compare VBN PennPOS
after	IN	after c-acp NUPOS
SDS-polyacrylamide	NN	SDS-polyacrylamide NN PennPOS
gel	NN	gel NN PennPOS
electrophoresis	NN	electrophoresis NN PennPOS
and	CC	and cc NUPOS
Western	NN	western NN PennPOS
blotting	NN	blotting NN PennPOS
.	.	. . NUPOS

NL	NNP	NL NNP PennPOS
cells	NNS	cell NNS PennPOS
exposed	VBN	expose VBN PennPOS
to	TO	to p-acp NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
and	CC	and cc NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
contained	VBD	contain VBD PennPOS
1.4	CD	1.4 CD PennPOS
and	CC	and cc NUPOS
1.6	CD	1.6 CD PennPOS
times	NNS	time NNS PennPOS
as	RB	as a-acp NUPOS
much	JJ	much JJ PennPOS
cC1q-R	NN	cC1q-R NN PennPOS
mRNA	NN	mRNA NN PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
in	IN	in IN PennPOS
HH	NN	hh NN PennPOS
cells	NNS	cell NNS PennPOS
cC1q-R	NN	cC1q-R NN PennPOS
mRNA	NN	mRNA NN PennPOS
increased	VBD	increase VBD PennPOS
2.0	CD	2.0 CD PennPOS
-	:	- : NUPOS
and	CC	and cc NUPOS
2.4-fold	RB	2.4-fold RB PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
gC1q-R	NN	gC1q-R NN PennPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
increased	VBD	increase VBD PennPOS
to	TO	to p-acp NUPOS
a	DT	a dt NUPOS
lesser	JJR	less JJR PennPOS
extent	NN	extent NN PennPOS
in	IN	in IN PennPOS
both	CC	both CC PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
increases	NNS	increase NNS PennPOS
were	VBD	be vbd NUPOS
not	RB	not xx NUPOS
reflected	VBN	reflect VBN PennPOS
in	IN	in IN PennPOS
protein	NN	protein NN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
CC1q-R	NN	CC1q-R NN PennPOS
and	CC	and cc NUPOS
gC1q-R	NN	gC1q-R NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
were	VBD	be vbd NUPOS
similar	JJ	similar JJ PennPOS
to	TO	to p-acp NUPOS
or	CC	or cc NUPOS
less	JJR	little JJR PennPOS
than	IN	than cs NUPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

Both	DT	both d NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
and	CC	and cc NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
also	RB	also av NUPOS
increased	VBD	increase VBD PennPOS
procollagen	NN	procollagen NN PennPOS
[	(	[ ( NUPOS
I	PRP	i pns11 NUPOS
]	)	] ) NUPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
both	DT	both d NUPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

Overall	RB	overall RB PennPOS
,	,	, , NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
caused	VBD	cause VBD PennPOS
a	DT	a dt NUPOS
greater	JJR	great JJR PennPOS
increase	NN	increase NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
degree	NN	degree NN PennPOS
of	IN	of pp-f NUPOS
response	NN	response NN PennPOS
by	IN	by IN PennPOS
HH	NN	hh NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
to	TO	to p-acp NUPOS
both	DT	both d NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
and	CC	and cc NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
was	VBD	be vbd NUPOS
higher	JJR	high JJR PennPOS
than	IN	than cs NUPOS
NL	NN	NL NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
results	NNS	result NNS PennPOS
indicated	VBD	indicate VBD PennPOS
that	IN	that cst NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
and	CC	and cc NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
upregulate	VBP	upregulate VBP PennPOS
the	DT	the dt NUPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
for	IN	for c-acp NUPOS
cC1q-R	NN	cC1q-R NN PennPOS
and	CC	and cc NUPOS
collagen	NN	collagen NN PennPOS
and	CC	and cc NUPOS
that	IN	that cst NUPOS
they	PRP	they pns31 NUPOS
do	VBP	do vdb NUPOS
not	RB	not xx NUPOS
affect	VB	affect VBP PennPOS
gC1q-R	NN	gC1q-R NN PennPOS
mRNA	NN	mRNA NN PennPOS
levels	NNS	level NNS PennPOS
significantly	RB	significant av-j NUPOS
.	.	. . NUPOS

They	PRP	they pns31 NUPOS
also	RB	also av NUPOS
indicated	VBD	indicate VBD PennPOS
different	JJ	different JJ PennPOS
subsets	NNS	subset NNS PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
respond	VBP	respond VBP PennPOS
differently	RB	different av-j NUPOS
to	TO	to p-acp NUPOS
inflammatory	JJ	inflammatory JJ PennPOS
mediators	NNS	mediator NNS PennPOS
.	.	. . NUPOS

