Induction	NN	induction NN PennPOS
of	IN	of pp-f NUPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
by	IN	by IN PennPOS
transforming-growth-factor-beta1	NN	transforming-growth-factor-beta1 NN PennPOS
:	:	: : NUPOS
potential	JJ	potential JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
hallmark	NN	hallmark NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
the	DT	the dt NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
cellular	JJ	cellular JJ PennPOS
origin	NN	origin NN PennPOS
of	IN	of pp-f NUPOS
which	WDT	which r-crq NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
is	VBZ	be vbz NUPOS
unknown	JJ	unknown JJ PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
hypothesized	VBD	hypothesise VBD PennPOS
that	IN	that cst NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
(	(	( ( NUPOS
AECs	NNS	aec NNS PennPOS
)	)	) ) NUPOS
may	MD	may vmb NUPOS
serve	VB	serve VBP PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
source	NN	source NN PennPOS
of	IN	of pp-f NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
through	IN	through IN PennPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
(	(	( ( NUPOS
EMT	NN	emt NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
chronic	JJ	chronic JJ PennPOS
exposure	NN	exposure NN PennPOS
to	TO	to p-acp NUPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
beta1	NN	beta1 NN PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
phenotype	NN	phenotype NN PennPOS
of	IN	of pp-f NUPOS
isolated	VBN	isolate VBN PennPOS
rat	NN	rat NN PennPOS
AECs	NNS	aec NNS PennPOS
in	IN	in IN PennPOS
primary	JJ	primary JJ PennPOS
culture	NN	culture NN PennPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
rat	NN	rat NN PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
cell	NN	cell NN PennPOS
line	NN	line NN PennPOS
(	(	( ( NUPOS
RLE-6TN	NN	RLE-6TN NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
evaluated	VBN	evaluate VBN PennPOS
.	.	. . NUPOS

Additionally	RB	additional RB PennPOS
,	,	, , NUPOS
tissue	NN	tissue NN PennPOS
samples	NNS	sample NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
were	VBD	be vbd NUPOS
evaluated	VBN	evaluate VBN PennPOS
for	IN	for c-acp NUPOS
cells	NNS	cell NNS PennPOS
co-expressing	VBG	coexpress VBG PennPOS
epithelial	JJ	epithelial JJ PennPOS
(	(	( ( NUPOS
thyroid	NN	thyroid NN PennPOS
transcription	NN	transcription NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TTF	NN	TTF NN PennPOS
)	)	) ) NUPOS
-1	CD	-1 CD PennPOS
and	CC	and cc NUPOS
pro-surfactant	JJ	pro-surfactant JJ PennPOS
protein-B	NN	protein-B NN PennPOS
(	(	( ( NUPOS
pro-SP-B	NN	pro-SP-B NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
(	(	( ( NUPOS
alpha-smooth-muscle-actin	JJ	alpha-smooth-muscle-actin JJ PennPOS
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
)	)	) ) NUPOS
)	)	) ) NUPOS
markers	NNS	marker NNS PennPOS
.	.	. . NUPOS

RLE-6TN	NN	RLE-6TN NN PennPOS
cells	NNS	cell NNS PennPOS
exposed	VBN	expose VBN PennPOS
to	TO	to p-acp NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
for	IN	for c-acp NUPOS
6	CD	6 crd NUPOS
days	NNS	day n2 NUPOS
demonstrated	VBD	demonstrate VBD PennPOS
increased	VBN	increase VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
cell	NN	cell NN PennPOS
markers	NNS	marker NNS PennPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
fibroblast-like	JJ	fibroblast-like JJ PennPOS
morphology	NN	morphology NN PennPOS
,	,	, , NUPOS
an	DT	a dt NUPOS
effect	NN	effect NN PennPOS
augmented	VBD	augment VBD PennPOS
by	IN	by IN PennPOS
tumor-necrosis-factor-alpha	NN	tumor-necrosis-factor-alpha NN PennPOS
(	(	( ( NUPOS
TNF-alpha	NN	TNF-alpha NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Exposure	NN	exposure NN PennPOS
of	IN	of pp-f NUPOS
rat	NN	rat NN PennPOS
AECs	NNS	aec NNS PennPOS
to	TO	to p-acp NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
(	(	( ( NUPOS
100	CD	100 crd NUPOS
pmol/L	NN	pmol/L NN PennPOS
)	)	) ) NUPOS
resulted	VBD	result VBD PennPOS
in	IN	in IN PennPOS
increased	VBN	increase VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
,	,	, , NUPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
collagen	NN	collagen NN PennPOS
,	,	, , NUPOS
vimentin	NN	vimentin NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
desmin	NN	desmin NN PennPOS
,	,	, , NUPOS
with	IN	with pp NUPOS
concurrent	JJ	concurrent JJ PennPOS
transition	NN	transition NN PennPOS
to	TO	to p-acp NUPOS
a	DT	a dt NUPOS
fibroblast-like	JJ	fibroblast-like JJ PennPOS
morphology	NN	morphology NN PennPOS
and	CC	and cc NUPOS
decreased	VBD	decrease VBD PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TTF-1	NN	TTF-1 NN PennPOS
,	,	, , NUPOS
aquaporin-5	NN	aquaporin-5 NN PennPOS
(	(	( ( NUPOS
AQP5	NN	AQP5 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
zonula	NN	zonula NN PennPOS
occludens-1	NN	occludens-1 NN PennPOS
(	(	( ( NUPOS
ZO-1	NN	ZO-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
cytokeratins	NNS	cytokeratin NNS PennPOS
.	.	. . NUPOS

Cells	NNS	cell NNS PennPOS
co-expressing	VBG	coexpress VBG PennPOS
epithelial	JJ	epithelial JJ PennPOS
markers	NNS	marker NNS PennPOS
and	CC	and cc NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
were	VBD	be vbd NUPOS
abundant	JJ	abundant JJ PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
results	NNS	result NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
AECs	NNS	aec NNS PennPOS
undergo	VBP	undergo VBP PennPOS
EMT	NN	emt NN PennPOS
when	WRB	when c-crq NUPOS
chronically	RB	chronic av-j NUPOS
exposed	VBN	expose VBN PennPOS
to	TO	to p-acp NUPOS
TGF-beta1	NN	TGF-beta1 NN PennPOS
,	,	, , NUPOS
raising	VBG	raise VBG PennPOS
the	DT	the dt NUPOS
possibility	NN	possibility NN PennPOS
that	IN	that cst NUPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
may	MD	may vmb NUPOS
serve	VB	serve VBP PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
novel	JJ	novel JJ PennPOS
source	NN	source NN PennPOS
of	IN	of pp-f NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

