Yin	NNP	Yin NNP PennPOS
yang	NN	yang NN PennPOS
1	CD	1 crd NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
novel	JJ	novel JJ PennPOS
regulator	NN	regulator NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

RATIONALE	NN	rationale NN PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
differentiation	NN	differentiation NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
into	IN	into pp NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
cardinal	JJ	cardinal JJ PennPOS
feature	NN	feature NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
transcription	NN	transcription NN PennPOS
factor	NN	factor NN PennPOS
Yin-Yang-1	NN	Yin-Yang-1 NN PennPOS
(	(	( ( NUPOS
YY1	NN	YY1 NN PennPOS
)	)	) ) NUPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
differentiation	NN	differentiation NN PennPOS
of	IN	of pp-f NUPOS
diverse	JJ	diverse JJ PennPOS
cell	NN	cell NN PennPOS
types	NNS	type NNS PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
its	PRP$	its po31 NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
is	VBZ	be vbz NUPOS
not	RB	not xx NUPOS
known	VBN	know VBN PennPOS
.	.	. . NUPOS

OBJECTIVES	NNS	objective NNS PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
elucidate	VB	elucidate VBP PennPOS
the	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
by	IN	by IN PennPOS
which	WDT	which r-crq NUPOS
YY1	NN	YY1 NN PennPOS
regulates	VBZ	regulate VBZ PennPOS
fibroblast	NN	fibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
were	VBD	be vbd NUPOS
cultured	VBN	culture vvn NUPOS
with	IN	with pp NUPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
or	CC	or cc NUPOS
tumor	NN	tumor NN PennPOS
necrosis	NN	necrosis NN PennPOS
factor-a	NN	factor-a NN PennPOS
.	.	. . NUPOS

Nuclear	JJ	nuclear JJ PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
NF	NN	NF NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
kB	NN	kb NN PennPOS
,	,	, , NUPOS
YY1	NN	YY1 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
a-smooth-muscle-actin	NN	a-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
SMA	NN	sma NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
determined	VBN	determine VBN PennPOS
in	IN	in IN PennPOS
protein	NN	protein NN PennPOS
,	,	, , NUPOS
mRNA	NN	mRNA NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
promoter	NN	promoter NN PennPOS
reporter	NN	reporter NN PennPOS
level	NN	level NN PennPOS
.	.	. . NUPOS

Lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
were	VBD	be vbd NUPOS
assessed	VBN	assess VBN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
partial	JJ	partial JJ PennPOS
YY1-deficient	JJ	yy1-deficient JJ PennPOS
mouse	NN	mouse NN PennPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
YY1	NN	YY1 NN PennPOS
(	(	( ( NUPOS
f/f	NN	f/f NN PennPOS
)	)	) ) NUPOS
conditional	JJ	conditional JJ PennPOS
knockout	JJ	knockout JJ PennPOS
mouse	NN	mouse NN PennPOS
after	IN	after c-acp NUPOS
being	VBG	be vbg NUPOS
exposed	VBN	expose VBN PennPOS
to	TO	to p-acp NUPOS
silica	NN	silica NN PennPOS
or	CC	or cc NUPOS
bleomycin	NN	bleomycin NN PennPOS
.	.	. . NUPOS

MEASUREMENTS	NNS	measurement NNS PennPOS
AND	CC	and cc NUPOS
MAIN	NNS	main NN PennPOS
RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
TGF-b	NN	TGF-b NN PennPOS
and	CC	and cc NUPOS
tumor	NN	tumor NN PennPOS
necrosis	NN	necrosis NN PennPOS
factor-a	NN	factor-a NN PennPOS
up-regulated	VBD	upregulate VBD PennPOS
YY1	NN	YY1 NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

TGF-b-induced	JJ	tgf-b-induced JJ PennPOS
YY1	NN	YY1 NN PennPOS
expression	NN	expression NN PennPOS
was	VBD	be vbd NUPOS
dramatically	RB	dramatic av-j NUPOS
decreased	VBN	decrease VBN PennPOS
by	IN	by IN PennPOS
an	DT	a dt NUPOS
inhibitor	NN	inhibitor NN PennPOS
of	IN	of pp-f NUPOS
NF-kB	NN	NF-kB NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
blocked	VBD	block VBD PennPOS
I-kB	NN	I-kB NN PennPOS
degradation	NN	degradation NN PennPOS
.	.	. . NUPOS

YY1	NN	YY1 NN PennPOS
is	VBZ	be vbz NUPOS
significantly	RB	significant av-j NUPOS
overexpressed	VBN	overexpress VBN PennPOS
in	IN	in IN PennPOS
both	CC	both CC PennPOS
human	JJ	human JJ PennPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
murine	JJ	murine JJ PennPOS
models	NNS	model NNS PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
aggregated	JJ	aggregate j-vvn NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
of	IN	of pp-f NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
foci	NNS	focus NNS PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
of	IN	of pp-f NUPOS
fibrogenesis	NN	fibrogenesis NN PennPOS
is	VBZ	be vbz NUPOS
that	IN	that cst NUPOS
YY1	NN	YY1 NN PennPOS
can	MD	can vmb NUPOS
up-regulate	VB	upregulate VBP PennPOS
a-SMA	NN	a-SMA NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
