STAT3-mediated	JJ	stat3-mediated JJ PennPOS
signaling	NN	signaling NN PennPOS
dysregulates	VBZ	dysregulate VBZ PennPOS
lung	NN	lung NN PennPOS
fibroblast-myofibroblast	NN	fibroblast-myofibroblast NN PennPOS
activation	NN	activation NN PennPOS
and	CC	and cc NUPOS
differentiation	NN	differentiation NN PennPOS
in	IN	in IN PennPOS
UIP/IPF	NN	UIP/IPF NN PennPOS
.	.	. . NUPOS

STAT3	NN	STAT3 NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
latent	JJ	latent JJ PennPOS
transcription	NN	transcription NN PennPOS
factor	NN	factor NN PennPOS
that	WDT	that WDT PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
regulating	VBG	regulate VBG PennPOS
fibroblast	NN	fibroblast NN PennPOS
function	NN	function NN PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
.	.	. . NUPOS

To	TO	to p-acp NUPOS
further	RBR	further av-jc NUPOS
understand	VB	understand VBP PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
STAT3	NN	STAT3 NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
phenotypic	JJ	phenotypic JJ PennPOS
divergence	NN	divergence NN PennPOS
and	CC	and cc NUPOS
function	NN	function NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
(	(	( ( NUPOS
LFs	NNS	LFS NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
basal	JJ	basal JJ PennPOS
and	CC	and cc NUPOS
cytokine-induced	JJ	cytokine-induced JJ PennPOS
STAT3	NN	STAT3 NN PennPOS
activity	NN	activity NN PennPOS
on	IN	on IN PennPOS
indices	NNS	index NNS PennPOS
of	IN	of pp-f NUPOS
LF	NN	lf NN PennPOS
differentiation	NN	differentiation NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
a-smooth-muscle-actin	NN	a-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
a-SMA	NN	a-SMA NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
collagen	NN	collagen NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
adhesion	NN	adhesion NN PennPOS
molecules	NNS	molecule NNS PennPOS
Thy-1	NN	Thy-1 NN PennPOS
/	:	/ : NUPOS
CD90	NN	CD90 NN PennPOS
and	CC	and cc NUPOS
a	DT	a dt NUPOS
(	(	( ( NUPOS
v	LS	v LS PennPOS
)	)	) ) NUPOS
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
b	NN	b NN PennPOS
(	(	( ( NUPOS
5	CD	5 crd NUPOS
)	)	) ) NUPOS
integrins	NNS	integrin NNS PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
identified	VBD	identify VBD PennPOS
a	DT	a dt NUPOS
population	NN	population NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
usual	JJ	usual JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
UIP	NN	UIP NN PennPOS
)	)	) ) NUPOS
/	:	/ : NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
lungs	NNS	lung NNS PennPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
constitutively	RB	constitutive RB PennPOS
phosphorylated	VBN	phosphorylate VBN PennPOS
STAT3	NN	STAT3 NN PennPOS
,	,	, , NUPOS
lower	JJR	low JJR PennPOS
proliferation	NN	proliferation NN PennPOS
rates	NNS	rate NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
diminished	VBN	diminish VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
a-SMA	NN	a-SMA NN PennPOS
,	,	, , NUPOS
Thy-1	NN	Thy-1 NN PennPOS
/	:	/ : NUPOS
CD90	NN	CD90 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
integrins	NNS	integrin NNS PennPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
control	NN	control NN PennPOS
LFs	NNS	LFS NN PennPOS
.	.	. . NUPOS

Staining	NN	staining NN PennPOS
of	IN	of pp-f NUPOS
UIP	NNP	UIP NNP PennPOS
lung	NN	lung NN PennPOS
biopsy	NN	biopsy NN PennPOS
specimens	NNS	specimen NNS PennPOS
demonstrated	VBD	demonstrate VBD PennPOS
that	IN	that cst NUPOS
phosphorylated	VBN	phosphorylate VBN PennPOS
STAT3	NN	STAT3 NN PennPOS
was	VBD	be vbd NUPOS
not	RB	not xx NUPOS
present	JJ	present JJ PennPOS
in	IN	in IN PennPOS
a-SMA-positive	JJ	a-sma-positive JJ PennPOS
fibroblastic	JJ	fibroblastic JJ PennPOS
foci	NNS	focus NNS PennPOS
but	CC	but cc-acp NUPOS
was	VBD	be vbd NUPOS
observed	VBN	observe VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
nuclei	NNS	nucleus NNS PennPOS
of	IN	of pp-f NUPOS
cells	NNS	cell NNS PennPOS
located	VBN	locate VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
areas	NNS	area NNS PennPOS
of	IN	of pp-f NUPOS
dense	JJ	dense JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

STAT3	NN	STAT3 NN PennPOS
activation	NN	activation NN PennPOS
in	IN	in IN PennPOS
LFs	NNS	LFS NN PennPOS
did	VBD	do vdd NUPOS
not	RB	not xx NUPOS
significantly	RB	significant av-j NUPOS
influence	VB	influence VBP PennPOS
basal	JJ	basal JJ PennPOS
or	CC	or cc NUPOS
transforming-growth-factor-b	JJ	transforming-growth-factor-b JJ PennPOS
(	(	( ( NUPOS
1	LS	1 LS PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
collagen	NN	collagen NN PennPOS
I	NN	i NN PennPOS
expression	NN	expression NN PennPOS
but	CC	but cc-acp NUPOS
inhibited	VBD	inhibit VBD PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
a-SMA	NN	a-SMA NN PennPOS
,	,	, , NUPOS
Thy-1	NN	Thy-1 NN PennPOS
/	:	/ : NUPOS
CD90	NN	CD90 NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
av	NN	av NN PennPOS
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
integrins	NNS	integrin NNS PennPOS
.	.	. . NUPOS

Suppression	NN	suppression NN PennPOS
of	IN	of pp-f NUPOS
STAT3	NN	STAT3 NN PennPOS
signaling	NN	signaling NN PennPOS
diminished	VBD	diminish VBD PennPOS
resistance	NN	resistance NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
LFs	NNS	LFS NN PennPOS
to	TO	to p-acp NUPOS
staurosporine-induced	JJ	staurosporine-induced JJ PennPOS
apoptosis	NN	apoptosis NN PennPOS
and	CC	and cc NUPOS
responsiveness	NN	responsiveness NN PennPOS
to	TO	to p-acp NUPOS
transforming-growth-factor-b	NN	transforming-growth-factor-b NN PennPOS
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
but	CC	but cc-acp NUPOS
increased	VBD	increase VBD PennPOS
basal	JJ	basal JJ PennPOS
a-SMA	NN	a-SMA NN PennPOS
and	CC	and cc NUPOS
restored	VBD	restore VBD PennPOS
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
integrin	NN	integrin NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
LFs	NNS	LFS NN PennPOS
via	IN	via IN PennPOS
an	DT	a dt NUPOS
ALK-5-dependent	JJ	alk-5-dependent JJ PennPOS
,	,	, , NUPOS
SMAD3/7-independent	JJ	SMAD3/7-independent JJ PennPOS
mechanism	NN	mechanism NN PennPOS
.	.	. . NUPOS

These	DT	these d NUPOS
data	NNS	datum NNS PennPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
STAT3	NN	STAT3 NN PennPOS
activation	NN	activation NN PennPOS
regulates	VBZ	regulate VBZ PennPOS
several	JJ	several JJ PennPOS
pathways	NNS	pathway n2 NUPOS
in	IN	in IN PennPOS
human	JJ	human JJ PennPOS
LFs	NNS	LFS NN PennPOS
associated	VBN	associate VBN PennPOS
with	IN	with pp NUPOS
normal	JJ	normal JJ PennPOS
wound	NN	wound NN PennPOS
healing	NN	healing NN PennPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
aberrant	JJ	aberrant JJ PennPOS
STAT3	NN	STAT3 NN PennPOS
signaling	NN	signaling NN PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
critical	JJ	critical JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
UIP/IPF	NN	UIP/IPF NN PennPOS
pathogenesis	NN	pathogenesis NN PennPOS
.	.	. . NUPOS

