Association	NNP	association NN PennPOS
between	IN	between IN PennPOS
cytokine	NN	cytokine NN PennPOS
removal	NN	removal NN PennPOS
by	IN	by IN PennPOS
polymyxin	NN	polymyxin NN PennPOS
B	NN	b NN PennPOS
hemoperfusion	NN	hemoperfusion NN PennPOS
and	CC	and cc NUPOS
improved	VBD	improve VBD PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
oxygenation	NN	oxygenation NN PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
acute	JJ	acute JJ PennPOS
exacerbation	NN	exacerbation NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Acute	JJ	acute JJ PennPOS
exacerbation	NN	exacerbation NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
severe	JJ	severe JJ PennPOS
worsening	VBG	worsen vvg NUPOS
dyspnea	NN	dyspnea NN PennPOS
of	IN	of pp-f NUPOS
unknown	JJ	unknown JJ PennPOS
etiology	NN	etiology NN PennPOS
and	CC	and cc NUPOS
high	JJ	high JJ PennPOS
mortality	NN	mortality NN PennPOS
without	IN	without IN PennPOS
effective	JJ	effective JJ PennPOS
treatment	NN	treatment NN PennPOS
.	.	. . NUPOS

Recently	RB	recent av-j NUPOS
,	,	, , NUPOS
direct	JJ	direct JJ PennPOS
hemoperfusion	NN	hemoperfusion NN PennPOS
with	IN	with pp NUPOS
polymyxin	NN	polymyxin NN PennPOS
B	NN	b NN PennPOS
(	(	( ( NUPOS
PMX	NN	PMX NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
immobilized	VBN	immobilize VBN PennPOS
fiber	NN	fiber NN PennPOS
cartridge	NN	cartridge NN PennPOS
(	(	( ( NUPOS
