Glucagon	NNP	glucagon NN PennPOS
like	IN	like IN PennPOS
peptide-1	NN	peptide-1 NN PennPOS
attenuates	VBZ	attenuate VBZ PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
,	,	, , NUPOS
involving	VBG	involve VBG PennPOS
the	DT	the dt NUPOS
inactivation	NN	inactivation NN PennPOS
of	IN	of pp-f NUPOS
NF-kB	NN	NF-kB NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
progressive	JJ	progressive JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
with	IN	with pp NUPOS
high	JJ	high JJ PennPOS
mortality	NN	mortality NN PennPOS
and	CC	and cc NUPOS
poor	JJ	poor JJ PennPOS
prognosis	NN	prognosis NN PennPOS
.	.	. . NUPOS

Previous	JJ	previous JJ PennPOS
studies	NNS	study NNS PennPOS
confirmed	VBD	confirm VBD PennPOS
that	IN	that cst NUPOS
NF-kB	NN	NF-kB NN PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
critical	JJ	critical JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
glucagon-like-peptide-1	NN	glucagon-like-peptide-1 NN PennPOS
(	(	( ( NUPOS
GLP-1	NN	GLP-1 NN PennPOS
)	)	) ) NUPOS
has	VBZ	have vdz NUPOS
a	DT	a dt NUPOS
property	NN	property NN PennPOS
of	IN	of pp-f NUPOS
anti-inflammation	JJ	anti-inflammation JJ PennPOS
by	IN	by IN PennPOS
inactivation	NN	inactivation NN PennPOS
of	IN	of pp-f NUPOS
NF-kB	NN	NF-kB NN PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
GLP-1	NN	GLP-1 NN PennPOS
receptor	NN	receptor NN PennPOS
was	VBD	be vbd NUPOS
detected	VBN	detect VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
aim	NN	aim NN PennPOS
was	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
potential	JJ	potential JJ PennPOS
value	NN	value NN PennPOS
and	CC	and cc NUPOS
mechanisms	NNS	mechanism NNS PennPOS
of	IN	of pp-f NUPOS
GLP-1	NN	GLP-1 NN PennPOS
on	IN	on IN PennPOS
BLM-induced	JJ	blm-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
BLM-induced	JJ	blm-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
were	VBD	be vbd NUPOS
treated	VBN	treat VBN PennPOS
with	IN	with pp NUPOS
or	CC	or cc NUPOS
without	IN	without IN PennPOS
GLP-1	NN	GLP-1 NN PennPOS
administration	NN	administration NN PennPOS
.	.	. . NUPOS

28	CD	28 crd NUPOS
days	NNS	day n2 NUPOS
after	IN	after c-acp NUPOS
BLM	NNP	Blm NN PennPOS
infusion	NN	infusion NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
number	NN	number NN PennPOS
of	IN	of pp-f NUPOS
total	JJ	total JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
macrophages	NNS	macrophage NNS PennPOS
,	,	, , NUPOS
neutrophils	NNS	neutrophil NNS PennPOS
,	,	, , NUPOS
lymphocytes	NNS	lymphocyte NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
content	NN	content NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
in	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
were	VBD	be vbd NUPOS
measured	VBN	measure VBN PennPOS
.	.	. . NUPOS

Hematoxylin-eosin	NN	Hematoxylin-eosin NN PennPOS
(	(	( ( NUPOS
HE	PRP	he pns31 NUPOS
)	)	) ) NUPOS
staining	NN	staining NN PennPOS
and	CC	and cc NUPOS
Masson	NNP	Masson np1 NUPOS
's	POS	's POS PennPOS
trichrome	NN	trichrome NN PennPOS
(	(	( ( NUPOS
MT	NN	mt NN PennPOS
)	)	) ) NUPOS
staining	NN	staining NN PennPOS
were	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
Ashcroft	NNP	Ashcroft np1 NUPOS
score	NN	score NN PennPOS
and	CC	and cc NUPOS
hydroxyproline	NN	hydroxyproline NN PennPOS
content	NN	content NN PennPOS
were	VBD	be vbd NUPOS
analyzed	VBN	analyse VBN PennPOS
.	.	. . NUPOS

RT-qPCR	NN	RT-qPCR NN PennPOS
and	CC	and cc NUPOS
western	NN	western NN PennPOS
blot	NN	blot NN PennPOS
were	VBD	be vbd NUPOS
used	VBN	use VBN PennPOS
to	TO	to p-acp NUPOS
evaluate	VB	evaluate VBP PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
a-SMA	NN	a-SMA NN PennPOS
and	CC	and cc NUPOS
VCAM-1	NN	VCAM-1 NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
phosphorylation	NN	phosphorylation NN PennPOS
of	IN	of pp-f NUPOS
NF-kB	NN	NF-kB NN PennPOS
p65	NN	p65 NN PennPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
assessed	VBN	assess VBN PennPOS
by	IN	by IN PennPOS
western	NN	western NN PennPOS
blot	NN	blot NN PennPOS
.	.	. . NUPOS

DNA	NN	dna NN PennPOS
binding	NN	binding NN PennPOS
of	IN	of pp-f NUPOS
NF-kB	NN	NF-kB NN PennPOS
p65	NN	p65 NN PennPOS
was	VBD	be vbd NUPOS
measured	VBN	measure VBN PennPOS
through	IN	through IN PennPOS
Trans	NNP	trans NN PennPOS
(	(	( ( NUPOS
AM	NNP	am NN PennPOS
)	)	) ) NUPOS
p65	NN	p65 NN PennPOS
transcription	NN	transcription NN PennPOS
factor	NN	factor NN PennPOS
ELISA	NN	elisa NN PennPOS
kit	NN	kit NN PennPOS
.	.	. . NUPOS

GLP-1	NN	GLP-1 NN PennPOS
reduced	VBD	reduce VBD PennPOS
inflammatory	JJ	inflammatory JJ PennPOS
cell	NN	cell NN PennPOS
infiltration	NN	infiltration NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
content	NN	content NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
in	IN	in IN PennPOS
BLAF	NN	BLAF NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
BLM	NN	Blm NN PennPOS
injection	NN	injection NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
Ashcroft	NNP	Ashcroft np1 NUPOS
score	NN	score NN PennPOS
and	CC	and cc NUPOS
hydroxyproline	NN	hydroxyproline NN PennPOS
content	NN	content NN PennPOS
were	VBD	be vbd NUPOS
decreased	VBN	decrease VBN PennPOS
by	IN	by IN PennPOS
