[	(	[ ( NUPOS
The	DT	the dt NUPOS
expressions	NNS	expression NNS PennPOS
and	CC	and cc NUPOS
meanings	NNS	meaning n2 NUPOS
of	IN	of pp-f NUPOS
BMP-7	NN	BMP-7 NN PennPOS
and	CC	and cc NUPOS
TGF-b	NN	TGF-b NN PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
nonspecific	JJ	nonspecific JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective NN PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
cytokines	NNS	cytokine NNS PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
nonspecific	JJ	nonspecific JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
INSIP	NN	INSIP NN PennPOS
)	)	) ) NUPOS
;	:	; : NUPOS
To	TO	to p-acp NUPOS
discuss	VB	discuss VBP PennPOS
expressions	NNS	expression NNS PennPOS
and	CC	and cc NUPOS
meanings	NNS	meaning n2 NUPOS
of	IN	of pp-f NUPOS
bone-morphogenetic-protein-7	NN	bone-morphogenetic-protein-7 NN PennPOS
(	(	( ( NUPOS
BMP-7	NN	BMP-7 NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
(	(	( ( NUPOS
TGF-b	NN	TGF-b NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Selected	VBN	select VBN PennPOS
47	CD	47 CD PennPOS
cases	NNS	case NNS PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
IIP	NN	IIP NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
were	VBD	be vbd NUPOS
diagnosed	VBN	diagnose VBN PennPOS
by	IN	by IN PennPOS
clinical-radiologic-pathologic	JJ	clinical-radiologic-pathologic JJ PennPOS
(	(	( ( NUPOS
CRP	NN	crp NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
classified	VBN	classify VBN PennPOS
into	IN	into pp NUPOS
two	CD	two crd NUPOS
groups	NNS	group NNS PennPOS
which	WDT	which r-crq NUPOS
were	VBD	be vbd NUPOS
group	NN	group NN PennPOS
IPF	NN	IPF NN PennPOS
(	(	( ( NUPOS
25	CD	25 crd NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
group	NN	group NN PennPOS
INSIP	NN	INSIP NN PennPOS
(	(	( ( NUPOS
22	CD	22 CD PennPOS
INSIP	NN	INSIP NN PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
6	CD	6 crd NUPOS
cellular	JJ	cellular JJ PennPOS
pattern	NN	pattern NN PennPOS
and	CC	and cc NUPOS
