Amplification	NN	amplification NN PennPOS
of	IN	of pp-f NUPOS
TGFb	NN	Tgfb NN PennPOS
Induced	VBN	induce VBN PennPOS
ITGB6	NN	ITGB6 NN PennPOS
Gene	NN	gene NN PennPOS
Transcription	NN	transcription NN PennPOS
May	MD	may vmb NUPOS
Promote	VB	promote VBP PennPOS
Pulmonary	JJ	pulmonary JJ PennPOS
Fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
devastating	JJ	devastating JJ PennPOS
,	,	, , NUPOS
progressive	JJ	progressive JJ PennPOS
disease	NN	disease NN PennPOS
with	IN	with pp NUPOS
poor	JJ	poor JJ PennPOS
survival	NN	survival NN PennPOS
rates	NNS	rate NNS PennPOS
and	CC	and cc NUPOS
limited	JJ	limited JJ PennPOS
treatment	NN	treatment NN PennPOS
options	NNS	option NNS PennPOS
.	.	. . NUPOS

Upregulation	NN	upregulation NN PennPOS
of	IN	of pp-f NUPOS
avb6	NN	avb6 NN PennPOS
integrins	NNS	integrin NNS PennPOS
within	IN	within pp NUPOS
the	DT	the dt NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
characteristic	JJ	characteristic JJ PennPOS
feature	NN	feature NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
correlates	VBZ	correlate VBZ PennPOS
with	IN	with pp NUPOS
poor	JJ	poor JJ PennPOS
patient	NN	patient NN PennPOS
survival	NN	survival NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
pro-fibrotic	JJ	pro-fibrotic JJ PennPOS
cytokine	NN	cytokine NN PennPOS
TGFb1	NN	TGFb1 NN PennPOS
can	MD	can vmb NUPOS
upregulate	VB	upregulate VBP PennPOS
avb6	NN	avb6 NN PennPOS
integrin	NN	integrin NN PennPOS
expression	NN	expression NN PennPOS
but	CC	but cc-acp NUPOS
the	DT	the dt NUPOS
molecular	JJ	molecular JJ PennPOS
mechanisms	NNS	mechanism NNS PennPOS
driving	VBG	drive VBG PennPOS
this	DT	this d NUPOS
effect	NN	effect NN PennPOS
have	VBP	have vhb NUPOS
not	RB	not xx NUPOS
previously	RB	previous av-j NUPOS
been	VBN	be vbn NUPOS
elucidated	VBN	elucidate VBN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
confirm	VBP	confirm VBP PennPOS
that	IN	that cst NUPOS
stimulation	NN	stimulation NN PennPOS
with	IN	with pp NUPOS
exogenous	JJ	exogenous JJ PennPOS
TGFb1	NN	TGFb1 NN PennPOS
increases	VBZ	increase VBZ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
integrin	NN	integrin NN PennPOS
b6	NN	b6 NN PennPOS
subunit	NN	subunit NN PennPOS
gene	NN	gene NN PennPOS
(	(	( ( NUPOS
ITGB6	NN	ITGB6 NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
avb6	NN	avb6 NN PennPOS
integrin	NN	integrin NN PennPOS
cell	NN	cell NN PennPOS
surface	NN	surface NN PennPOS
expression	NN	expression NN PennPOS
