MiR-185	NN	MiR-185 NN PennPOS
/	:	/ : NUPOS
AKT	NN	akt NN PennPOS
and	CC	and cc NUPOS
miR-29a	NN	miR-29a NN PennPOS
/	:	/ : NUPOS
collagen	NN	collagen NN PennPOS
1a	NN	1a NN PennPOS
pathways	NNS	pathway n2 NUPOS
are	VBP	be vbb NUPOS
activated	VBN	activate VBN PennPOS
in	IN	in IN PennPOS
IPF	NNP	IPF NN PennPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

MicroRNA	NN	MicroRNA NN PennPOS
signatures	NNS	signature n2 NUPOS
of	IN	of pp-f NUPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
and	CC	and cc NUPOS
alveolar	JJ	alveolar JJ PennPOS
macrophages	NNS	macrophage NNS PennPOS
are	VBP	be vbb NUPOS
currently	RB	current av-j NUPOS
lacking	VBG	lack VBG PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Here	RB	here av NUPOS
we	PRP	we pns12 NUPOS
sought	VBD	seek VBD PennPOS
to	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
fibrosis-related	JJ	fibrosis-related JJ PennPOS
microRNAs	NNS	microrna NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
cellular	JJ	cellular JJ PennPOS
component	NN	component NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
BAL	NN	bal NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
thus	RB	thus av NUPOS
focused	VBD	focus VBD PennPOS
on	IN	on IN PennPOS
microRNAs	NNS	microrna NNS PennPOS
previously	RB	previous av-j NUPOS
associated	VBN	associate VBN PennPOS
with	IN	with pp NUPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
miR-29a	NN	miR-29a NN PennPOS
,	,	, , NUPOS
miR-29b	NN	miR-29b NN PennPOS
,	,	, , NUPOS
miR-29c	NN	miR-29c NN PennPOS
,	,	, , NUPOS
let-7d	NN	let-7d NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
miR-21	NN	miR-21 NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
rapid	JJ	rapid JJ PennPOS
IPF	NN	IPF NN PennPOS
progression	NN	progression NN PennPOS
(	(	( ( NUPOS
miR-185	NN	miR-185 NN PennPOS
,	,	, , NUPOS
miR-210	NN	miR-210 NN PennPOS
,	,	, , NUPOS
miR-302c-3p	NN	miR-302c-3p NN PennPOS
miR-376c	NN	miR-376c NN PennPOS
and	CC	and cc NUPOS
miR-423-5p	NN	miR-423-5p NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Among	IN	among IN PennPOS
the	DT	the dt NUPOS
tested	VBN	test VBN PennPOS
microRNAs	NNS	microrna NNS PennPOS
miR-29a	NN	miR-29a NN PennPOS
and	CC	and cc NUPOS
miR-185	NN	miR-185 NN PennPOS
were	VBD	be vbd NUPOS
found	VBN	find VBN PennPOS
significantly	RB	significant av-j NUPOS
downregulated	VBN	downregulate VBN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
while	IN	while cs NUPOS
miR-302c-3p	NN	miR-302c-3p NN PennPOS
and	CC	and cc NUPOS
miR-376c	NN	miR-376c NN PennPOS
were	VBD	be vbd NUPOS
not	RB	not xx NUPOS
expressed	VBN	express VBN PennPOS
by	IN	by IN PennPOS
BAL	NN	bal NN PennPOS
cells	NNS	cell NNS PennPOS
