Differing	VBG	differ VBG PennPOS
Expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
Cytokines	NNS	cytokine NNS PennPOS
and	CC	and cc NUPOS
Tumor	NN	tumor NN PennPOS
Markers	NNS	marker NNS PennPOS
in	IN	in IN PennPOS
Combined	JJ	combined JJ PennPOS
Pulmonary	JJ	pulmonary JJ PennPOS
Fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
Emphysema	NNP	emphysema NN PennPOS
Compared	VBD	compare VBD PennPOS
to	TO	to p-acp NUPOS
Emphysema	NNP	emphysema NN PennPOS
and	CC	and cc NUPOS
Pulmonary	NNP	Pulmonary NNP PennPOS
Fibrosis	NNP	fibrosis NN PennPOS
.	.	. . NUPOS

This	DT	this d NUPOS
study	NN	study NN PennPOS
aimed	VBN	aim VBN PennPOS
to	TO	to p-acp NUPOS
explore	VB	explore VBP PennPOS
the	DT	the dt NUPOS
different	JJ	different JJ PennPOS
pathogeneses	NNS	pathogenese NNS PennPOS
of	IN	of pp-f NUPOS
combined	JJ	combined JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
emphysema	NN	emphysema NN PennPOS
(	(	( ( NUPOS
CPFE	NN	CPFE NN PennPOS
)	)	) ) NUPOS
from	IN	from pp NUPOS
emphysema	NN	emphysema NN PennPOS
and	CC	and cc NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
transforming-growth-factor-b1	NN	transforming-growth-factor-b1 NN PennPOS
(	(	( ( NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
vascular-endothelial-growth-factor	NN	vascular-endothelial-growth-factor NN PennPOS
(	(	( ( NUPOS
VEGF	NN	vegf NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
Krebs-Von-Den-Lungen-6	NN	Krebs-Von-Den-Lungen-6 NN PennPOS
(	(	( ( NUPOS
KL-6	NN	KL-6 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
matrix-metalloproteinase-9	NN	matrix-metalloproteinase-9 NN PennPOS
(	(	( ( NUPOS
MMP-9	NN	MMP-9 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
tissue-inhibitors-of-metalloproteinases-1	NN	tissue-inhibitors-of-metalloproteinases-1 NN PennPOS
(	(	( ( NUPOS
TIMP-1	NN	TIMP-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
cytokeratin-19	NN	cytokeratin-19 NN PennPOS
fragment	NN	fragment NN PennPOS
(	(	( ( NUPOS
CYFRA21-1	NN	CYFRA21-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
squamous	JJ	squamous JJ PennPOS
cell	NN	cell NN PennPOS
carcinoma	NN	carcinoma NN PennPOS
antigen	NN	antigen NN PennPOS
(	(	( ( NUPOS
SCC	NN	scc NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
telomerase	NN	telomerase NN PennPOS
activity	NN	activity NN PennPOS
in	IN	in IN PennPOS
peripheral	JJ	peripheral JJ PennPOS
blood	NN	blood NN PennPOS
were	VBD	be vbd NUPOS
measured	VBN	measure VBN PennPOS
in	IN	in IN PennPOS
38	CD	38 crd NUPOS
CPFE	NN	CPFE NN PennPOS
patients	NNS	patient NNS PennPOS
,	,	, , NUPOS
50	CD	50 CD PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
emphysema	NN	emphysema NN PennPOS
patients	NNS	patient NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
34	CD	34 CD PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
results	NNS	result NNS PennPOS
demonstrated	VBD	demonstrate VBD PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
VEGF	NN	vegf NN PennPOS
and	CC	and cc NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
than	IN	than cs NUPOS
those	DT	those d NUPOS
in	IN	in IN PennPOS
emphysema	NN	emphysema NN PennPOS
patients	NNS	patient NNS PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
no	DT	no dx NUPOS
significant	JJ	significant JJ PennPOS
differences	NNS	difference NNS PennPOS
were	VBD	be vbd NUPOS
detected	VBN	detect VBN PennPOS
between	IN	between IN PennPOS
CPFE	NN	CPFE NN PennPOS
patients	NNS	patient NNS PennPOS
