MicroRNA-101	NN	MicroRNA-101 NN PennPOS
attenuates	VBZ	attenuate VBZ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
by	IN	by IN PennPOS
inhibiting	VBG	inhibit VBG PennPOS
fibroblast	NN	fibroblast NN PennPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
.	.	. . NUPOS

Aberrant	JJ	aberrant JJ PennPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
contribute	VBP	contribute VBP PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
initiation	NN	initiation NN PennPOS
and	CC	and cc NUPOS
progression	NN	progression NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
mechanisms	NNS	mechanism NNS PennPOS
responsible	JJ	responsible JJ PennPOS
for	IN	for c-acp NUPOS
the	DT	the dt NUPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
are	VBP	be vbb NUPOS
not	RB	not xx NUPOS
fully	RB	full av-j NUPOS
understood	VBN	understand VBN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
objective	NN	objective NN PennPOS
of	IN	of pp-f NUPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
was	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
investigate	VB	investigate VBP PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
miR-101	NN	miR-101 NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

miR-101	NN	miR-101 NN PennPOS
expression	NN	expression NN PennPOS
was	VBD	be vbd NUPOS
determined	VBN	determine VBN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
miR-101	NN	miR-101 NN PennPOS
and	CC	and cc NUPOS
cellular	JJ	cellular JJ PennPOS
signaling	NN	signaling NN PennPOS
was	VBD	be vbd NUPOS
investigated	VBN	investigate VBN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
