Regulation	NN	regulation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
TGF-beta-1	NN	TGF-beta-1 GENE TermTag
by	IN	by O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
latent	JJ	latent O TermTag
TGF-beta-1	NN	TGF-beta-1 GENE TermTag
and	CC	and O TermTag
differential	JJ	differential O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
receptors	NNS	receptor O TermTag
(	(	( ( NUPOS
T	NN	T NN PennPOS
beta	NN	beta O TermTag
R-I	NN	R-I O TermTag
and	CC	and O TermTag
T	NN	T NN PennPOS
beta	NN	beta O TermTag
R-II	NN	R-II O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
characterised	VBN	characterize O TermTag
by	IN	by O TermTag
subpleural	JJ	subpleural O TermTag
fibrosis	NN	fibrosis O TermTag
that	WDT	that O TermTag
progresses	VBZ	progress O TermTag
to	TO	to O TermTag
involve	VB	involve O TermTag
all	DT	all O TermTag
areas	NNS	area O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta1	NN	beta1 GENE TermTag
(	(	( ( NUPOS
TGF-beta-1	NN	TGF-beta-1 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
potent	JJ	potent O TermTag
regulator	NN	regulator O TermTag
of	IN	of O TermTag
connective	JJ	connective O TermTag
tissue	NN	tissue O TermTag
synthesis	NN	synthesis O TermTag
,	,	, , NUPOS
is	VBZ	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
sections	NNS	section O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

TGF-beta-1	NN	TGF-beta-1 GENE TermTag
is	VBZ	be O TermTag
generally	RB	general O TermTag
released	VBN	release O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
biologically	RB	biological O TermTag
latent	JJ	latent O TermTag
form	NN	form O TermTag
(	(	( ( NUPOS
L-TGF-beta-1	NN	L-TGF-beta-1 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Before	IN	before O TermTag
being	VBG	be O TermTag
biologically	RB	biological O TermTag
active	JJ	active O TermTag
,	,	, , NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
must	MD	must O TermTag
be	VB	be O TermTag
converted	VBN	convert O TermTag
to	TO	to O TermTag
its	PRP$	its O TermTag
active	JJ	active O TermTag
form	NN	form O TermTag
and	CC	and O TermTag
interact	VBP	interact O TermTag
with	IN	with O TermTag
both	CC	both O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
receptors	NNS	receptor O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
and	CC	and O TermTag
II	CD	II O TermTag
(	(	( ( NUPOS
T	NN	T NN PennPOS
