[	(	[ ( NUPOS
The	DT	the O TermTag
potential	JJ	potential O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
protein	NN	protein O TermTag
and	CC	and O TermTag
gene	NN	gene O TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
bronchoalveolar	JJ	bronchoalveolar O TermTag
lavage	NN	lavage O TermTag
cells	NNS	cell O TermTag
and	CC	and O TermTag
open	JJ	open O TermTag
lung	NN	lung O TermTag
biopsies	NNS	biopsy O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
immunohistochemical	JJ	immunohistochemical O TermTag
methods	NNS	method O TermTag
were	VBD	be O TermTag
used	VBN	use O TermTag
to	TO	to O TermTag
analyze	VB	analyze O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
PDGF	NN	PDGF O TermTag
,	,	, , NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
in	IN	in O TermTag
bronchoalveolar	JJ	bronchoalveolar O TermTag
lavage	NN	lavage O TermTag
cells	NNS	cell O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

For	IN	for O TermTag
open	JJ	open O TermTag
lung	NN	lung O TermTag
biopsies	NNS	biopsy O TermTag
,	,	, , NUPOS
both	DT	both O TermTag
immunohistochemistry	NN	immunohistochemistry O TermTag
and	CC	and O TermTag
in	FW	in O TermTag
situ	FW	situ O TermTag
hybridization	NN	hybridization O TermTag
were	VBD	be O TermTag
used	VBN	use O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
specimens	NNS	specimen O TermTag
of	IN	of O TermTag
bronchoalveolar	JJ	bronchoalveolar O TermTag
lavage	NN	lavage O TermTag
fluid	NN	fluid O TermTag
,	,	, , NUPOS
PDGF-AA	NN	PDGF-AA O TermTag
,	,	, , NUPOS
PDGF-BB	NN	PDGF-BB O TermTag
,	,	, , NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
were	VBD	be O TermTag
localized	JJ	localized O TermTag
to	TO	to O TermTag
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
in	IN	in O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Though	IN	though O TermTag
there	EX	there O TermTag
were	VBD	be O TermTag
no	DT	no O TermTag
differences	NNS	difference O TermTag
between	IN	between O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
sarcoidosis	NN	sarcoidosis O TermTag
in	IN	in O TermTag
terms	NNS	term O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
staining	NN	staining O TermTag
intensity	NN	intensity O TermTag
(	(	( ( NUPOS
2.5	CD	2.5 O TermTag
-	:	- : NUPOS
3.0	CD	3.0 O TermTag
)	)	) ) NUPOS
or	CC	or O TermTag
number	NN	number O TermTag
of	IN	of O TermTag
positive	JJ	positive O TermTag
cells	NNS	cell O TermTag
81	CD	81 O TermTag
%	NN	% NN PennPOS
-	:	- : NUPOS
90	CD	90 O TermTag
%	NN	% NN PennPOS
,	,	, , NUPOS
the	DT	the O TermTag
number	NN	number O TermTag
of	IN	of O TermTag
such	JJ	such O TermTag
cells	NNS	cell O TermTag
were	VBD	be O TermTag
less	RBR	little O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
(	(	( ( NUPOS
0	CD	0 CD PennPOS
-	:	- : NUPOS
1.7	CD	1.7 O TermTag
,	,	, , NUPOS
25	CD	25 O TermTag
%	NN	% NN PennPOS
-	:	- : NUPOS
32	CD	32 O TermTag
%	NN	% NN PennPOS
respectively	RB	respective O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Evaluation	NN	evaluation O TermTag
of	IN	of O TermTag
open	JJ	open O TermTag
lung	NN	lung O TermTag
biopsies	NNS	biopsy O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
showed	VBD	show O TermTag
that	IN	that O TermTag
PDGF	NN	PDGF O TermTag
,	,	, , NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
proteins	NNS	protein O TermTag
were	VBD	be O TermTag
localized	JJ	localized O TermTag
to	TO	to O TermTag
hyperplastic	JJ	hyperplastic O TermTag
bronchio-alveolar	JJ	bronchio-alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
2.4	CD	2.4 O TermTag
-	:	- : NUPOS
3.7	CD	3.7 O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
control	NN	control O TermTag
0	CD	0 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
alveolar	JJ	alveolar O TermTag
macrophages	NNS	macrophage O TermTag
(	(	( ( NUPOS
2.9	CD	2.9 O TermTag
-	:	- : NUPOS
3.7	CD	3.7 O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
control	NN	control O TermTag
0.8	CD	0.8 O TermTag
-	:	- : NUPOS
1.3	CD	1.3 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
fibroblasts	NNS	fibroblast O TermTag
(	(	( ( NUPOS
3.0	CD	3.0 O TermTag
-	:	- : NUPOS
3.6	CD	3.6 O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
control	NN	control O TermTag
2.7	CD	2.7 O TermTag
-	:	- : NUPOS
2.8	CD	2.8 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
vascular	JJ	vascular O TermTag
smooth	NN	smooth O TermTag
muscle	NN	muscle O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
vascular	JJ	vascular O TermTag
endothelial	JJ	endothelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
fibroblast-like	JJ	fibroblast-like O TermTag
cells	NNS	cell O TermTag
surrounding	VBG	surround O TermTag
pulmonary	JJ	pulmonary O TermTag
vessels	NNS	vessel O TermTag
(	(	( ( NUPOS
2.7	CD	2.7 O TermTag
-	:	- : NUPOS
4.0	CD	4.0 O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
control	NN	control O TermTag
2.1	CD	2.1 O TermTag
-	:	- : NUPOS
2.9	CD	2.9 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

In	FW	in O TermTag
situ	FW	situ O TermTag
hybridization	NN	hybridization O TermTag
results	NNS	result O TermTag
were	VBD	be O TermTag
consistent	JJ	consistent O TermTag
with	IN	with O TermTag
that	DT	that O TermTag
of	IN	of O TermTag
immunohistochemistry	NN	immunohistochemistry O TermTag
except	IN	except O TermTag
that	DT	that O TermTag
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
mRNA	NN	mRNA O TermTag
transcripts	NNS	transcript O TermTag
were	VBD	be O TermTag
not	RB	not O TermTag
detected	VBN	detect O TermTag
in	IN	in O TermTag
bronchio-alveolar	JJ	bronchio-alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
control	NN	control O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
however	RB	however O TermTag
,	,	, , NUPOS
both	DT	both O TermTag
ISH	NN	ISH O TermTag
and	CC	and O TermTag
IHC	NNP	IHC O TermTag
revealed	VBD	reveal O TermTag
that	IN	that O TermTag
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
were	VBD	be O TermTag
only	RB	only O TermTag
present	JJ	present O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pleura	NN	pleuron O TermTag
and	CC	and O TermTag
in	IN	in O TermTag
fibroblast-like	JJ	fibroblast-like O TermTag
cells	NNS	cell O TermTag
surrounding	VBG	surround O TermTag
pulmonary	JJ	pulmonary O TermTag
vessels	NNS	vessel O TermTag
.	.	. . NUPOS

CONCLUSIONS	NNS	conclusion O TermTag
:	:	: : NUPOS
PDGF	NN	PDGF O TermTag
and	CC	and O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
interplay	NN	interplay O TermTag
with	IN	with O TermTag
pulmonary	JJ	pulmonary O TermTag
mesenchymal	JJ	mesenchymal O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
are	VBP	be O TermTag
involved	VBN	involve O TermTag
in	IN	in O TermTag
fibroplasia	NN	fibroplasia O TermTag
and	CC	and O TermTag
deposition	NN	deposition O TermTag
of	IN	of O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
angiogenesis	NN	angiogenesis O TermTag
and	CC	and O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
repopularization	NN	repopularization O TermTag
.	.	. . NUPOS

