Angiotensin-TGF-beta-1	NN	Angiotensin-TGF-beta-1 O TermTag
crosstalk	NN	crosstalk O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
:	:	: : NUPOS
autocrine	JJ	autocrine O TermTag
mechanisms	NNS	mechanism O TermTag
in	IN	in O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
and	CC	and O TermTag
macrophages	NNS	macrophage O TermTag
.	.	. . NUPOS

Angiotensin	NN	Angiotensin GENE TermTag
II	NN	II GENE TermTag
(	(	( ( NUPOS
ANGII	NN	ANGII GENE TermTag
)	)	) ) NUPOS
has	VBZ	have O TermTag
been	VBN	be O TermTag
identified	VBN	identify O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
proapoptotic	JJ	proapoptotic O TermTag
and	CC	and O TermTag
profibrotic	JJ	profibrotic O TermTag
factor	NN	factor O TermTag
in	IN	in O TermTag
experimental	JJ	experimental O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
models	NNS	model O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
ID/DD	NN	ID/DD O TermTag
polymorphism	NN	polymorphism O TermTag
of	IN	of O TermTag
ANG	NN	ANG GENE TermTag
converting	NN	converting GENE TermTag
enzyme	NN	enzyme GENE TermTag
(	(	( ( NUPOS
ACE	NN	ace GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which O TermTag
confers	VBZ	confer O TermTag
higher	JJR	high O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
ACE	NN	ace GENE TermTag
,	,	, , NUPOS
are	VBP	be O TermTag
predisposed	VBN	predispose O TermTag
to	TO	to O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
Hum	NNP	hum O TermTag
.	.	. . NUPOS

Pathol	NN	Pathol O TermTag
.	.	. . NUPOS

32:521-528	CD	32:521-528 O TermTag
,	,	, , NUPOS
2001	CD	2001 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Previous	JJ	previous O TermTag
work	NN	work O TermTag
from	IN	from O TermTag
this	DT	this O TermTag
laboratory	NN	laboratory O TermTag
has	VBZ	have O TermTag
shown	VBN	show O TermTag
that	IN	that O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
isolated	VBN	isolate O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
Idiopathic	JJ	idiopathic O TermTag
Pulmonary	JJ	pulmonary O TermTag
Fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
synthesize	VBP	synthesize O TermTag
the	DT	the O TermTag
ANGII	NN	ANGII GENE TermTag
precursor	NN	precursor O TermTag
angiotensinogen	NN	angiotensinogen O TermTag
(	(	( ( NUPOS
AGT	NN	AGT O TermTag
)	)	) ) NUPOS
constitutively	RB	constitutive O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
attempts	NNS	attempt O TermTag
to	TO	to O TermTag
understand	VB	understand O TermTag
the	DT	the O TermTag
mechanisms	NNS	mechanism O TermTag
and	CC	and O TermTag
consequences	NNS	consequence O TermTag
of	IN	of O TermTag
constitutive	JJ	constitutive O TermTag
AGT	NN	AGT O TermTag
synthesis	NN	synthesis O TermTag
by	IN	by O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
studied	VBD	study O TermTag
myofibroblast-rich	JJ	myofibroblast-rich O TermTag
primary	JJ	primary O TermTag
cultures	NNS	culture O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
(	(	( ( NUPOS
HIPF	NN	HIPF O TermTag
isolates	NNS	isolate O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
primary	JJ	primary O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
normal	JJ	normal O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
(	(	( ( NUPOS
NLFs	NNS	nlf O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
the	DT	the O TermTag
IMR90	NN	IMR90 O TermTag
and	CC	and O TermTag
WI38	NN	WI38 O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
cell	NN	cell O TermTag
lines	NNS	line O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
paraffin	NN	paraffin O TermTag
sections	NNS	section O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
biopsies	NNS	biopsy O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Compared	VBN	compare O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
normal	JJ	normal O TermTag
NLF	NN	NLF O TermTag
isolates	NNS	isolate O TermTag
,	,	, , NUPOS
HIPF	NN	HIPF O TermTag
primary	JJ	primary O TermTag
fibroblast	NN	fibroblast O TermTag
isolates	NNS	isolate O TermTag
constitutively	RB	constitutive O TermTag
synthesized	VBN	synthesize O TermTag
more	JJR	many O TermTag
AGT	NN	AGT O TermTag
and	CC	and O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
mRNA	NN	mRNA O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
released	VBD	release O TermTag
more	JJR	many O TermTag
AGT	NN	AGT O TermTag
protein	NN	protein O TermTag
,	,	, , NUPOS
ANGII	NN	ANGII GENE TermTag
and	CC	and O TermTag
active	JJ	active O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
protein	NN	protein O TermTag
into	IN	into O TermTag
serum-free	JJ	serum-free O TermTag
conditioned	VBN	condition O TermTag
media	NNS	medium O TermTag
(	(	( ( NUPOS
both	CC	both O TermTag
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

