Differential	JJ	differential O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
neutrophil	NN	neutrophil O TermTag
peptide-1	NN	peptide-1 O TermTag
on	IN	on O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
and	CC	and O TermTag
interleukin-8	NN	interleukin-8 GENE TermTag
production	NN	production O TermTag
by	IN	by O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
and	CC	and O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

alpha-Defensins	NNS	alpha-defensin O TermTag
,	,	, , NUPOS
antimicrobial	JJ	antimicrobial O TermTag
peptides	NNS	peptide O TermTag
produced	VBN	produce O TermTag
mainly	RB	main O TermTag
by	IN	by O TermTag
neutrophils	NNS	neutrophil O TermTag
,	,	, , NUPOS
have	VBP	have O TermTag
been	VBN	be O TermTag
reported	VBN	report O TermTag
to	TO	to O TermTag
be	VB	be O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
a	DT	a dt NUPOS
wide	JJ	wide O TermTag
variety	NN	variety O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
cystic	JJ	cystic O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
CF	NN	cf O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
diffuse	JJ	diffuse O TermTag
panbronchiolitis	NN	panbronchiolitis O TermTag
(	(	( ( NUPOS
DPB	NN	DPB O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in O TermTag
each	DT	each O TermTag
disease	NN	disease O TermTag
,	,	, , NUPOS
alpha-defensins	NNS	alpha-defensin O TermTag
are	VBP	be O TermTag
located	JJ	located O TermTag
in	IN	in O TermTag
different	JJ	different O TermTag
areas	NNS	area O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
around	IN	around O TermTag
the	DT	the O TermTag
alveolar	JJ	alveolar O TermTag
septa	NN	septum O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
around	IN	around O TermTag
the	DT	the O TermTag
airways	NNS	airway O TermTag
in	IN	in O TermTag
CF	NN	cf O TermTag
and	CC	and O TermTag
DPB	NN	DPB O TermTag
,	,	, , NUPOS
suggesting	VBG	suggest O TermTag
that	IN	that O TermTag
alpha-defensins	NNS	alpha-defensin O TermTag
play	VBP	play O TermTag
different	JJ	different O TermTag
roles	NNS	role O TermTag
.	.	. . NUPOS

Meanwhile	RB	meanwhile O TermTag
,	,	, , NUPOS
growth	NN	growth O TermTag
factors	NNS	factor O TermTag
are	VBP	be O TermTag
known	VBN	know O TermTag
to	TO	to O TermTag
contribute	VB	contribute O TermTag
to	TO	to O TermTag
IPF	NNP	IPF O TermTag
,	,	, , NUPOS
CF	NN	cf O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
DPB	NNP	DPB O TermTag
.	.	. . NUPOS

alpha-Defensins	NNS	alpha-defensin O TermTag
are	VBP	be O TermTag
known	VBN	know O TermTag
to	TO	to O TermTag
induce	VB	induce O TermTag
interleukin	NN	interleukin O TermTag
(	(	( ( NUPOS
IL	NN	IL O TermTag
)	)	) ) NUPOS
-8	CD	-8 O TermTag
in	IN	in O TermTag
airway	NN	airway O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
the	DT	the O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
alpha-defensins	NNS	alpha-defensin O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
release	NN	release O TermTag
of	IN	of O TermTag
growth	NN	growth O TermTag
factors	NNS	factor O TermTag
from	IN	from O TermTag
various	JJ	various O TermTag
components	NNS	component O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
have	VBP	have O TermTag
not	RB	not O TermTag
been	VBN	be O TermTag
sufficiently	RB	sufficient O TermTag
investigated	VBN	investigate O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
the	DT	the O TermTag
present	JJ	present O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
neutrophil	NN	neutrophil O TermTag
peptide	NN	peptide O TermTag
(	(	( ( NUPOS
HNP	NN	HNP O TermTag
)	)	) ) NUPOS
-1	CD	-1 O TermTag
(	(	( ( NUPOS
a	DT	a dt NUPOS
subtype	NN	subtype O TermTag
of	IN	of O TermTag
alpha-defensin	NN	alpha-defensin O TermTag
)	)	) ) NUPOS
on	IN	on O TermTag
the	DT	the O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
IL-8	NN	IL-8 GENE TermTag
and	CC	and O TermTag
growth	NN	growth O TermTag
factors	NNS	factor O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
,	,	, , NUPOS
bronchial	JJ	bronchial O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
were	VBD	be O TermTag
examined	VBN	examine O TermTag
.	.	. . NUPOS

HNP-1	NNP	HNP-1 O TermTag
mainly	RB	main O TermTag
enhanced	VBD	enhance O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
