Sorafenib	NNP	Sorafenib O TermTag
ameliorates	VBZ	ameliorate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
:	:	: : NUPOS
potential	JJ	potential O TermTag
roles	NNS	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
inhibition	NN	inhibition O TermTag
of	IN	of O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
and	CC	and O TermTag
fibroblast	NN	fibroblast O TermTag
activation	NN	activation O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
serious	JJ	serious O TermTag
progressive	JJ	progressive O TermTag
and	CC	and O TermTag
irreversible	JJ	irreversible O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
with	IN	with O TermTag
unknown	JJ	unknown O TermTag
etiology	NN	etiology O TermTag
and	CC	and O TermTag
few	JJ	few O TermTag
treatment	NN	treatment O TermTag
options	NNS	option O TermTag
.	.	. . NUPOS

This	DT	this O TermTag
disease	NN	disease O TermTag
was	VBD	be O TermTag
once	RB	once O TermTag
thought	VBN	think O TermTag
to	TO	to O TermTag
be	VB	be O TermTag
a	DT	a dt NUPOS
chronic	JJ	chronic O TermTag
inflammatory-driven	JJ	inflammatory-driven O TermTag
process	NN	process O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
it	PRP	it O TermTag
is	VBZ	be O TermTag
increasingly	RB	increasing O TermTag
recognized	VBN	recognize O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
(	(	( ( NUPOS
EMT	NN	emt GENE TermTag
)	)	) ) NUPOS
contributes	VBZ	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
cellular	JJ	cellular O TermTag
origin	NN	origin O TermTag
of	IN	of O TermTag
fibroblast	NN	fibroblast O TermTag
accumulation	NN	accumulation O TermTag
in	IN	in O TermTag
response	NN	response O TermTag
to	TO	to O TermTag
injury	NN	injury O TermTag
.	.	. . NUPOS

During	IN	during O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrotic	JJ	fibrotic O TermTag
diseases	NNS	disease O TermTag
,	,	, , NUPOS
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b	NN	b GENE TermTag
(	(	( ( NUPOS
TGF-b	NN	TGF-b GENE TermTag
)	)	) ) NUPOS
signaling	NN	signaling O TermTag
is	VBZ	be O TermTag
considered	VBN	consider O TermTag
a	DT	a dt NUPOS
pivotal	JJ	pivotal O TermTag
inducer	NN	inducer O TermTag
of	IN	of O TermTag
EMT	NN	emt GENE TermTag
and	CC	and O TermTag
fibroblast	NN	fibroblast O TermTag
activation	NN	activation O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
a	DT	a dt NUPOS
number	NN	number O TermTag
of	IN	of O TermTag
therapeutic	JJ	therapeutic O TermTag
interventions	NNS	intervention O TermTag
that	WDT	that O TermTag
interfere	VBP	interfere O TermTag
with	IN	with O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
have	VBP	have O TermTag
been	VBN	be O TermTag
developed	VBN	develop O TermTag
to	TO	to O TermTag
reverse	VB	reverse O TermTag
established	JJ	established O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
efficient	JJ	efficient O TermTag
and	CC	and O TermTag
well-tolerated	JJ	well-tolerated O TermTag
antifibrotic	JJ	antifibrotic O TermTag
agents	NNS	agent O TermTag
are	VBP	be O TermTag
not	RB	not O TermTag
currently	RB	current O TermTag
available	JJ	available O TermTag
.	.	. . NUPOS

Previously	RB	previous O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
reported	VBD	report O TermTag
the	DT	the O TermTag
identification	NN	identification O TermTag
of	IN	of O TermTag
sorafenib	NN	sorafenib O TermTag
to	TO	to O TermTag
antagonize	VB	antagonize O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
mouse	NN	mouse O TermTag
hepatocytes	NNS	hepatocyte O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
manuscript	NN	manuscript O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
continued	VBD	continue O TermTag
to	TO	to O TermTag
evaluate	VB	evaluate O TermTag
the	DT	the O TermTag
antifibrotic	JJ	antifibrotic O TermTag
effects	NNS	effect O TermTag
of	IN	of O TermTag
sorafenib	NN	sorafenib O TermTag
on	IN	on O TermTag
bleomycin	NN	bleomycin O TermTag
(	(	( ( NUPOS
BLM	NN	Blm O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
further	RB	further O TermTag
demonstrated	VBD	demonstrate O TermTag
that	IN	that O TermTag
sorafenib	NN	sorafenib O TermTag
not	RB	not O TermTag
only	RB	only O TermTag
profoundly	RB	profound O TermTag
inhibited	VBD	inhibit O TermTag
TGF-b1-induced	JJ	tgf-b1-induced O TermTag
EMT	NN	emt GENE TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
also	RB	also O TermTag
simultaneously	RB	simultaneous O TermTag
reduced	VBD	reduce O TermTag
the	DT	the O TermTag
proliferation	NN	proliferation O TermTag
and	CC	and O TermTag
collagen	NN	collagen O TermTag
synthesis	NN	synthesis O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Additionally	RB	additional O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
presented	VBD	present O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
evidence	NN	evidence O TermTag
that	IN	that O TermTag
sorafenib	NN	sorafenib O TermTag
inhibited	VBD	inhibit O TermTag
the	DT	the O TermTag
symptoms	NNS	symptom O TermTag
of	IN	of O TermTag
BLM-mediated	JJ	blm-mediated O TermTag
EMT	NN	emt GENE TermTag
and	CC	and O TermTag
fibroblast	NN	fibroblast O TermTag
activation	NN	activation O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
,	,	, , NUPOS
warranting	VBG	warrant O TermTag
the	DT	the O TermTag
therapeutic	JJ	therapeutic O TermTag
potential	NN	potential O TermTag
of	IN	of O TermTag
this	DT	this O TermTag
drug	NN	drug O TermTag
for	IN	for O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

