Comparative	JJ	comparative O TermTag
study	NN	study O TermTag
of	IN	of O TermTag
transforming	JJ	transforming GENE TermTag
growth	JJ	growth GENE TermTag
factor	JJ	factor GENE TermTag
b	JJ	b GENE TermTag
signalling	NN	signalling O TermTag
and	CC	and O TermTag
regulatory	JJ	regulatory O TermTag
molecules	NNS	molecule O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
and	CC	and O TermTag
canine	JJ	canine O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Activation	NN	activation O TermTag
of	IN	of O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
key	JJ	key O TermTag
event	NN	event O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
progression	NN	progression O TermTag
of	IN	of O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
West	NNP	west O TermTag
Highland	NNP	highland O TermTag
white	JJ	white O TermTag
terriers	NNS	terrier O TermTag
(	(	( ( NUPOS
WHWTs	NNS	whwt O TermTag
)	)	) ) NUPOS
shares	NNS	share O TermTag
histopathological	JJ	histopathological O TermTag
features	NNS	feature O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
usual	JJ	usual O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
UIP	NN	UIP O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
the	DT	the O TermTag
histopathological	JJ	histopathological O TermTag
counterpart	NN	counterpart O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
non-specific	JJ	non-specific O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
NSIP	NN	NSIP O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
aim	NN	aim O TermTag
of	IN	of O TermTag
