Glucagon	NNP	glucagon O TermTag
like	IN	like O TermTag
peptide-1	NN	peptide-1 O TermTag
attenuates	VBZ	attenuate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
involving	VBG	involve O TermTag
the	DT	the O TermTag
inactivation	NN	inactivation O TermTag
of	IN	of O TermTag
NF-kB	NN	NF-kB GENE TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
progressive	JJ	progressive O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
with	IN	with O TermTag
high	JJ	high O TermTag
mortality	NN	mortality O TermTag
and	CC	and O TermTag
poor	JJ	poor O TermTag
prognosis	NN	prognosis O TermTag
.	.	. . NUPOS

Previous	JJ	previous O TermTag
studies	NNS	study O TermTag
confirmed	VBD	confirm O TermTag
that	IN	that O TermTag
NF-kB	NN	NF-kB GENE TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
critical	JJ	critical O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
glucagon	NN	glucagon GENE TermTag
like	NN	like GENE TermTag
peptide	NN	peptide GENE TermTag
1	NN	1 GENE TermTag
(	(	( ( NUPOS
GLP-1	NN	GLP-1 GENE TermTag
)	)	) ) NUPOS
has	VBZ	have O TermTag
a	DT	a dt NUPOS
property	NN	property O TermTag
of	IN	of O TermTag
anti-inflammation	JJ	anti-inflammation O TermTag
by	IN	by O TermTag
inactivation	NN	inactivation O TermTag
of	IN	of O TermTag
NF-kB	NN	NF-kB GENE TermTag
.	.	. . NUPOS

Furthermore	RB	furthermore O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
GLP-1	NN	GLP-1 GENE TermTag
receptor	NN	receptor O TermTag
was	VBD	be O TermTag
detected	VBN	detect O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
aim	NN	aim O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
potential	JJ	potential O TermTag
value	NN	value O TermTag
and	CC	and O TermTag
mechanisms	NNS	mechanism O TermTag
of	IN	of O TermTag
GLP-1	NN	GLP-1 GENE TermTag
on	IN	on O TermTag
BLM-induced	JJ	blm-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Mice	NNS	mouse O TermTag
with	IN	with O TermTag
BLM-induced	JJ	blm-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
were	VBD	be O TermTag
treated	VBN	treat O TermTag
with	IN	with O TermTag
or	CC	or O TermTag
without	IN	without O TermTag
GLP-1	NN	GLP-1 GENE TermTag
administration	NN	administration O TermTag
.	.	. . NUPOS

28	CD	28 O TermTag
days	NNS	day O TermTag
after	IN	after O TermTag
BLM	NNP	Blm O TermTag
infusion	NN	infusion O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
number	NN	number O TermTag
of	IN	of O TermTag
total	JJ	total O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
macrophages	NNS	macrophage O TermTag
,	,	, , NUPOS
neutrophils	NNS	neutrophil O TermTag
,	,	, , NUPOS
lymphocytes	NNS	lymphocyte O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
content	NN	content O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
in	IN	in O TermTag
BALF	NN	BALF O TermTag
were	VBD	be O TermTag
measured	VBN	measure O TermTag
.	.	. . NUPOS

Hematoxylin-eosin	NN	Hematoxylin-eosin O TermTag
(	(	( ( NUPOS
HE	PRP	he O TermTag
)	)	) ) NUPOS
staining	NN	staining O TermTag
and	CC	and O TermTag
Masson	NNP	Masson O TermTag
's	POS	's O TermTag
trichrome	NN	trichrome O TermTag
(	(	( ( NUPOS
MT	NN	mt O TermTag
)	)	) ) NUPOS
staining	NN	staining O TermTag
were	VBD	be O TermTag
performed	VBN	perform O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
Ashcroft	NNP	Ashcroft O TermTag
score	NN	score O TermTag
and	CC	and O TermTag
hydroxyproline	NN	hydroxyproline O TermTag
content	NN	content O TermTag
were	VBD	be O TermTag
analyzed	VBN	analyse O TermTag
.	.	. . NUPOS

RT-qPCR	NN	RT-qPCR O TermTag
and	CC	and O TermTag
western	NN	western O TermTag
blot	NN	blot O TermTag
were	VBD	be O TermTag
used	VBN	use O TermTag
to	TO	to O TermTag
evaluate	VB	evaluate O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
a-SMA	NN	a-SMA GENE TermTag
and	CC	and O TermTag
VCAM-1	NN	VCAM-1 GENE TermTag
.	.	. . NUPOS

The	DT	the O TermTag
phosphorylation	NN	phosphorylation O TermTag
of	IN	of O TermTag
NF-kB	NN	NF-kB GENE TermTag
p65	NN	p65 GENE TermTag
was	VBD	be O TermTag
also	RB	also O TermTag
assessed	VBN	assess O TermTag
by	IN	by O TermTag
western	NN	western O TermTag
blot	NN	blot O TermTag
.	.	. . NUPOS

DNA	NN	dna O TermTag
binding	NN	binding O TermTag
of	IN	of O TermTag
NF-kB	NN	NF-kB GENE TermTag
p65	NN	p65 GENE TermTag
was	VBD	be O TermTag
measured	VBN	measure O TermTag
through	IN	through O TermTag
Trans	NNP	trans O TermTag
(	(	( ( NUPOS
AM	NNP	am O TermTag
)	)	) ) NUPOS
p65	NN	p65 GENE TermTag
transcription	NN	transcription O TermTag
factor	NN	factor O TermTag
ELISA	NN	elisa O TermTag
kit	NN	kit O TermTag
.	.	. . NUPOS

GLP-1	NN	GLP-1 GENE TermTag
reduced	VBD	reduce O TermTag
inflammatory	JJ	inflammatory O TermTag
cell	NN	cell O TermTag
infiltration	NN	infiltration O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
content	NN	content O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
in	IN	in O TermTag
BLAF	NN	BLAF O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
with	IN	with O TermTag
BLM	NN	Blm O TermTag
injection	NN	injection O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
Ashcroft	NNP	Ashcroft O TermTag
score	NN	score O TermTag
and	CC	and O TermTag
hydroxyproline	NN	hydroxyproline O TermTag
content	NN	content O TermTag
were	VBD	be O TermTag
decreased	VBN	decrease O TermTag
by	IN	by O TermTag
GLP-1	NN	GLP-1 GENE TermTag
administration	NN	administration O TermTag
.	.	. . NUPOS

Meanwhile	RB	meanwhile O TermTag
,	,	, , NUPOS
BLM-induced	JJ	blm-induced O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
a-SMA	NN	a-SMA GENE TermTag
and	CC	and O TermTag
VCAM-1	NN	VCAM-1 GENE TermTag
were	VBD	be O TermTag
blocked	VBN	block O TermTag
by	IN	by O TermTag
GLP-1	NN	GLP-1 GENE TermTag
treatment	NN	treatment O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

GLP-1	NN	GLP-1 GENE TermTag
also	RB	also O TermTag
reduced	VBD	reduce O TermTag
the	DT	the O TermTag
ratio	NN	ratio O TermTag
of	IN	of O TermTag
phosphor-NF-kB	NN	phosphor-NF-kB O TermTag
p65/total-NF-kB	NN	p65/total-NF-kB O TermTag
p65	NN	p65 GENE TermTag
and	CC	and O TermTag
NF-kB	NN	NF-kB GENE TermTag
p65	NN	p65 GENE TermTag
