Upregulation	NN	upregulation O TermTag
of	IN	of O TermTag
alveolar	JJ	alveolar O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
activin	NN	activin GENE TermTag
B	NN	b NN PennPOS
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
activin	NN	activin GENE TermTag
A	NN	a NN PennPOS
,	,	, , NUPOS
in	IN	in O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
west	JJ	w O TermTag
highland	NN	highland O TermTag
white	JJ	white O TermTag
terriers	NNS	terrier O TermTag
with	IN	with O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
diffuse	JJ	diffuse O TermTag
alveolar	JJ	alveolar O TermTag
damage	NN	damage O TermTag
.	.	. . NUPOS

Activins	NNP	Activins O TermTag
,	,	, , NUPOS
cytokines	NNS	cytokine O TermTag
belonging	VBG	belong O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
transforming	JJ	transforming GENE TermTag
growth	JJ	growth GENE TermTag
factor	JJ	factor GENE TermTag
b	JJ	b GENE TermTag
superfamily	NN	superfamily O TermTag
,	,	, , NUPOS
have	VBP	have O TermTag
an	DT	a O TermTag
important	JJ	important O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
inflammation	NN	inflammation O TermTag
and	CC	and O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Activin	NN	activin GENE TermTag
A	NN	a NN PennPOS
has	VBZ	have O TermTag
been	VBN	be O TermTag
suggested	VBN	suggest O TermTag
to	TO	to O TermTag
participate	VB	participate O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathophysiology	NN	pathophysiology O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but O TermTag
studies	NNS	study O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
activin	NN	activin GENE TermTag
B	NN	b NN PennPOS
are	VBP	be O TermTag
sparse	JJ	sparse O TermTag
.	.	. . NUPOS

Canine	JJ	canine O TermTag
IPF	NN	IPF O TermTag
(	(	( ( NUPOS
CIPF	NN	CIPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
an	DT	a O TermTag
incurable	JJ	incurable O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
occurring	VBG	occur O TermTag
particularly	RB	particular O TermTag
in	IN	in O TermTag
West	NNP	west O TermTag
Highland	NNP	highland O TermTag
white	JJ	white O TermTag
terriers	NNS	terrier O TermTag
(	(	( ( NUPOS
WHWTs	NNS	whwt O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

During	IN	during O TermTag
the	DT	the O TermTag
disease	NN	disease O TermTag
course	NN	course O TermTag
there	EX	there O TermTag
are	VBP	be O TermTag
acute	JJ	acute O TermTag
exacerbations	NNS	exacerbation O TermTag
(	(	( ( NUPOS
AEs	NNS	AES O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
condition	NN	condition O TermTag
has	VBZ	have O TermTag
a	DT	a dt NUPOS
poor	JJ	poor O TermTag
prognosis	NN	prognosis O TermTag
.	.	. . NUPOS

Microscopically	RB	microscopic O TermTag
,	,	, , NUPOS
AEs	NNS	AES O TermTag
of	IN	of O TermTag
CIPF	NN	CIPF O TermTag
are	VBP	be O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
diffuse	JJ	diffuse O TermTag
alveolar	JJ	alveolar O TermTag
damage	NN	damage O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
is	VBZ	be O TermTag
also	RB	also O TermTag
a	DT	a dt NUPOS
key	JJ	key O TermTag
feature	NN	feature O TermTag
of	IN	of O TermTag
acute	JJ	acute O TermTag
respiratory	JJ	respiratory O TermTag
distress	NN	distress O TermTag
syndrome	NN	syndrome O TermTag
(	(	( ( NUPOS
ARDS	NN	ards O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
aim	NN	aim O TermTag
of	IN	of O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
was	VBD	be O TermTag
to	TO	to O TermTag
study	VB	study O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
activin	NN	activin GENE TermTag
A	NN	a NN PennPOS
and	CC	and O TermTag
B	NN	b NN PennPOS
in	IN	in O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
of	IN	of O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
CIPF	NN	CIPF O TermTag
and	CC	and O TermTag
WHWTs	NNS	whwt O TermTag
with	IN	with O TermTag
CIPF	NN	CIPF O TermTag
and	CC	and O TermTag
concurrent	JJ	concurrent O TermTag
AE	NN	AE O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
dogs	NNS	dog O TermTag
of	IN	of O TermTag
various	JJ	various O TermTag
breeds	NNS	breed O TermTag
with	IN	with O TermTag
ARDS	NN	ards O TermTag
and	CC	and O TermTag
to	TO	to O TermTag
compare	VB	compare O TermTag
these	DT	these O TermTag
findings	NNS	finding O TermTag
with	IN	with O TermTag
those	DT	those O TermTag
of	IN	of O TermTag
healthy	JJ	healthy O TermTag
WHWTs	NNS	whwt O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
addition	NN	addition O TermTag
,	,	, , NUPOS
western	NN	western O TermTag
blot	NN	blot O TermTag
analysis	NN	analysis O TermTag
of	IN	of O TermTag
activin	NN	activin GENE TermTag
B	NN	b NN PennPOS
from	IN	from O TermTag
