Contribution	NN	contribution O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
anaphylatoxin	NN	anaphylatoxin O TermTag
receptors	NNS	receptor O TermTag
,	,	, , NUPOS
C3aR	NN	C3aR GENE TermTag
and	CC	and O TermTag
C5aR	NN	C5aR GENE TermTag
,	,	, , NUPOS
to	TO	to O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Complement	NN	complement O TermTag
activation	NN	activation O TermTag
,	,	, , NUPOS
an	DT	a O TermTag
integral	JJ	integral O TermTag
arm	NN	arm O TermTag
of	IN	of O TermTag
innate	JJ	innate O TermTag
immunity	NN	immunity O TermTag
,	,	, , NUPOS
may	MD	may O TermTag
be	VB	be O TermTag
the	DT	the O TermTag
critical	JJ	critical O TermTag
link	NN	link O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Whereas	IN	whereas O TermTag
we	PRP	we O TermTag
have	VBP	have O TermTag
previously	RB	previous O TermTag
reported	VBN	report O TermTag
elevated	JJ	elevated O TermTag
anaphylatoxins-complement	NN	anaphylatoxins-complement O TermTag
component	NN	component O TermTag
3a	NN	3a O TermTag
(	(	( ( NUPOS
C3a	NN	C3a GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
complement	NN	complement O TermTag
component	NN	component O TermTag
5a	NN	5a O TermTag
(	(	( ( NUPOS
C5a	NN	C5a GENE TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
in	IN	in O TermTag
IPF	NNP	IPF O TermTag
,	,	, , NUPOS
which	WDT	which O TermTag
interact	VBP	interact O TermTag
with	IN	with O TermTag
TGF-b	NN	TGF-b GENE TermTag
and	CC	and O TermTag
augment	VBP	augment O TermTag
epithelial	JJ	epithelial O TermTag
injury	NN	injury O TermTag
in	FW	in O TermTag
vitro	FW	vitro O TermTag
,	,	, , NUPOS
their	PRP$	their O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
pathogenesis	NN	pathogenesis O TermTag
remains	VBZ	remain O TermTag
unclear	JJ	unclear O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
objective	NN	objective O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
current	JJ	current O TermTag
study	NN	study O TermTag
is	VBZ	be O TermTag
to	TO	to O TermTag
determine	VB	determine O TermTag
the	DT	the O TermTag
mechanistic	JJ	mechanistic O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
binding	NN	binding O TermTag
of	IN	of O TermTag
C3a/C5a	NN	C3a/C5a O TermTag
to	TO	to O TermTag
their	PRP$	their O TermTag
respective	JJ	respective O TermTag
receptors	NNS	receptor O TermTag
(	(	( ( NUPOS
C3aR	NN	C3aR GENE TermTag
and	CC	and O TermTag
C5aR	NN	C5aR GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
progression	NN	progression O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
normal	JJ	normal O TermTag
primary	JJ	primary O TermTag
human	JJ	human O TermTag
fetal	JJ	fetal O TermTag
lung	NN	lung O TermTag
