Establishment	NN	establishment O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
mouse	NN	mouse O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
acute	JJ	acute O TermTag
exacerbation	NN	exacerbation O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

PURPOSE	NN	purpose O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
explore	VB	explore O TermTag
and	CC	and O TermTag
establish	VB	establish O TermTag
an	DT	a O TermTag
animal	NN	animal O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
AE-IPF	NN	AE-IPF O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
An	DT	a O TermTag
animal	NN	animal O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
was	VBD	be O TermTag
established	VBN	establish O TermTag
using	VBG	use O TermTag
bleomycin	NN	bleomycin O TermTag
(	(	( ( NUPOS
BLM	NN	Blm O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Then	RB	then O TermTag
,	,	, , NUPOS
BLM	NNP	Blm O TermTag
was	VBD	be O TermTag
administered	VBN	administer O TermTag
a	DT	a dt NUPOS
second	JJ	second O TermTag
time	NN	time O TermTag
on	IN	on O TermTag
day	NN	day O TermTag
21	CD	21 O TermTag
to	TO	to O TermTag
induce	VB	induce O TermTag
AE-IPF	NN	AE-IPF O TermTag
(	(	( ( NUPOS
which	WDT	which O TermTag
mimics	VBZ	mimic O TermTag
human	JJ	human O TermTag
AE-IPF	NN	AE-IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Evaluation	NN	evaluation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
success	NN	success O TermTag
of	IN	of O TermTag
animal	NN	animal O TermTag
model	NN	model O TermTag
was	VBD	be O TermTag
based	VBN	base O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
survival	NN	survival O TermTag
of	IN	of O TermTag
mice	NNS	mouse O TermTag
,	,	, , NUPOS
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
assessment	NN	assessment O TermTag
of	IN	of O TermTag
pathological	JJ	pathological O TermTag
changes	NNS	change O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
.	.	. . NUPOS

Preliminary	JJ	preliminary O TermTag
investigation	NN	investigation O TermTag
into	IN	into O TermTag
the	DT	the O TermTag
immunological	JJ	immunological O TermTag
mechanism	NN	mechanism O TermTag
of	IN	of O TermTag
AE-IPF	NN	AE-IPF O TermTag
was	VBD	be O TermTag
also	RB	also O TermTag
explored	VBN	explore O TermTag
via	IN	via O TermTag
the	DT	the O TermTag
detection	NN	detection O TermTag
and	CC	and O TermTag
identification	NN	identification O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
inflammatory	JJ	inflammatory O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
mouse	NN	mouse O TermTag
bronchoalveolar	JJ	bronchoalveolar O TermTag
lavage	NN	lavage O TermTag
fluid	NN	fluid O TermTag
(	(	( ( NUPOS
BALF	NN	BALF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
concentrations	NNS	concentration O TermTag
of	IN	of O TermTag
six	CD	six O TermTag
cytokines	NNS	cytokine O TermTag
