Data	NNS	datum O TermTag
on	IN	on O TermTag
CUX1	NN	CUX1 GENE TermTag
isoforms	NNS	isoform O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
lung	NN	lung O TermTag
and	CC	and O TermTag
systemic	JJ	systemic O TermTag
sclerosis	NN	sclerosis O TermTag
skin	NN	skin O TermTag
tissue	NN	tissue O TermTag
sections	NNS	section O TermTag
.	.	. . NUPOS

UNASSIGNED	NNP	UNASSIGNED O TermTag
:	:	: : NUPOS
This	DT	this O TermTag
data	NN	data O TermTag
article	NN	article O TermTag
contains	VBZ	contain O TermTag
complementary	JJ	complementary O TermTag
figures	NNS	figure O TermTag
related	VBN	relate O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
research	NN	research O TermTag
article	NN	article O TermTag
entitled	VBN	entitle O TermTag
,	,	, , NUPOS
``	``	`` O TermTag
Transforming-growth-factor-b-induced	JJ	transforming-growth-factor-b-induced O TermTag
CUX1	NN	CUX1 GENE TermTag
isoforms	NNS	isoform O TermTag
are	VBP	be O TermTag
associated	VBN	associate O TermTag
with	IN	with O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
systemic	JJ	systemic O TermTag
sclerosis	NN	sclerosis O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
''	''	'' O TermTag
(	(	( ( NUPOS
Ikeda	NNP	Ikeda O TermTag
et	FW	et O TermTag
al.	FW	al. O TermTag
(	(	( ( NUPOS
2016	CD	2016 O TermTag
)	)	) ) NUPOS
[	(	[ ( NUPOS
2	CD	2 crd NUPOS
]	)	] ) NUPOS
,	,	, , NUPOS
http://dx.doi.org/10.1016/j.bbrep.2016.06.022	NN	http://dx.doi.org/10.1016/j.bbrep.2016.06.022 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which O TermTag
presents	VBZ	present O TermTag
that	IN	that O TermTag
TGF-b	NN	TGF-b GENE TermTag
increased	VBD	increase O TermTag
CUX1	NN	CUX1 GENE TermTag
binding	NN	binding O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
proximal	JJ	proximal O TermTag
promoter	NN	promoter O TermTag
and	CC	and O TermTag
enhancer	NN	enhancer O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
COL1A2	NN	COL1A2 GENE TermTag
and	CC	and O TermTag
regulated	VBN	regulate O TermTag
COL1	NN	COL1 O TermTag
.	.	. . NUPOS

Further	RB	further O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
scleroderma	NN	scleroderma O TermTag
(	(	( ( NUPOS
SSc	NN	ssc O TermTag
)	)	) ) NUPOS
lung	NN	lung O TermTag
and	CC	and O TermTag
diffuse	JJ	diffuse O TermTag
alveolar	JJ	alveolar O TermTag
damage	NN	damage O TermTag
lung	NN	lung O TermTag
sections	NNS	section O TermTag
,	,	, , NUPOS
CUX1	NN	CUX1 GENE TermTag
localized	JJ	localized O TermTag
within	IN	within O TermTag
the	DT	the O TermTag
a	SYM	a sy NUPOS
-	:	- : NUPOS
smooth	JJ	smooth O TermTag
muscle	NN	muscle O TermTag
actin	NN	actin O TermTag
(	(	( ( NUPOS
a-SMA	NN	a-SMA GENE TermTag
)	)	) ) NUPOS
positive	JJ	positive O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
Fragiadaki	NNP	Fragiadaki O TermTag
et	FW	et O TermTag
al.	FW	al. O TermTag
,	,	, , NUPOS
2011	CD	2011 O TermTag
)	)	) ) NUPOS
[	(	[ ( NUPOS
1	CD	1 crd NUPOS
]	)	] ) NUPOS
,	,	, , NUPOS
``	``	`` O TermTag
High	JJ	high O TermTag
doses	NNS	dose O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
potently	RB	potent O TermTag
suppress	VBP	suppress O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
collagen	NN	collagen O TermTag
via	IN	via O TermTag
the	DT	the O TermTag
transcription	NN	transcription O TermTag
factor	NN	factor O TermTag
CUX1	NN	CUX1 GENE TermTag
''	''	'' O TermTag
(	(	( ( NUPOS
Ikeda	NNP	Ikeda O TermTag
et	FW	et O TermTag
al.	FW	al. O TermTag
,	,	, , NUPOS
2016	CD	2016 O TermTag
)	)	) ) NUPOS
[	(	[ ( NUPOS
2	CD	2 crd NUPOS
]	)	] ) NUPOS
.	.	. . NUPOS

Here	RB	here O TermTag
we	PRP	we O TermTag
show	VBP	show O TermTag
that	IN	that O TermTag
CUX1	NN	CUX1 GENE TermTag
isoforms	NNS	isoform O TermTag
are	VBP	be O TermTag
localized	JJ	localized O TermTag
within	IN	within O TermTag
a-smooth-muscle-actin-positive	JJ	a-smooth-muscle-actin-positive O TermTag
cells	NNS	cell O TermTag
in	IN	in O TermTag
SSc	NN	ssc O TermTag
skin	NN	skin O TermTag
and	CC	and O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
sections	NNS	section O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
particular	JJ	particular O TermTag
,	,	, , NUPOS
at	IN	at O TermTag
the	DT	the O TermTag
granular	JJ	granular O TermTag
and	CC	and O TermTag
prickle	NN	prickle O TermTag
cell	NN	cell O TermTag
layers	NNS	layer O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
