Increased	VBN	increase O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
prostaglandin	NN	prostaglandin O TermTag
E-major	NN	E-major O TermTag
urinary	JJ	urinary O TermTag
metabolite	NN	metabolite O TermTag
(	(	( ( NUPOS
PGE-MUM	NN	PGE-MUM O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
chronic	JJ	chronic O TermTag
fibrosing	JJ	fibrosing O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Dysregulation	NN	Dysregulation O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
prostaglandin	NN	prostaglandin O TermTag
E2	NN	E2 O TermTag
(	(	( ( NUPOS
PGE2	NN	PGE2 O TermTag
)	)	) ) NUPOS
signaling	NN	signaling O TermTag
pathway	NN	pathway O TermTag
has	VBZ	have O TermTag
been	VBN	be O TermTag
implicated	VBN	implicate O TermTag
in	IN	in O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
IP	NNP	IP O TermTag
)	)	) ) NUPOS
pathogenesis	NN	pathogenesis O TermTag
.	.	. . NUPOS

Due	JJ	due O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
unstable	JJ	unstable O TermTag
nature	NN	nature O TermTag
of	IN	of O TermTag
PGE2	NN	PGE2 O TermTag
,	,	, , NUPOS
available	JJ	available O TermTag
detection	NN	detection O TermTag
methods	NNS	method O TermTag
may	MD	may O TermTag
not	RB	not O TermTag
precisely	RB	precise O TermTag
reflect	VB	reflect O TermTag
PGE2	NN	PGE2 O TermTag
levels	NNS	level O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
explored	VBD	explore O TermTag
the	DT	the O TermTag
clinical	JJ	clinical O TermTag
usefulness	NN	usefulness O TermTag
of	IN	of O TermTag
measuring	VBG	measure O TermTag
stable	JJ	stable O TermTag
prostaglandin	NN	prostaglandin O TermTag
E-major	NN	E-major O TermTag
urinary	JJ	urinary O TermTag
metabolite	NN	metabolite O TermTag
(	(	( ( NUPOS
PGE-MUM	NN	PGE-MUM O TermTag
)	)	) ) NUPOS
with	IN	with O TermTag
respect	NN	respect O TermTag
to	TO	to O TermTag
pathogenesis	NN	pathogenesis O TermTag
and	CC	and O TermTag
extent	NN	extent O TermTag
of	IN	of O TermTag
chronic	JJ	chronic O TermTag
fibrosing	JJ	fibrosing O TermTag
IP	NNP	IP O TermTag
(	(	( ( NUPOS
CFIP	NNP	CFIP O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
including	VBG	include O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
as	IN	as O TermTag
PGE-MUM	NN	PGE-MUM O TermTag
is	VBZ	be O TermTag
reflective	JJ	reflective O TermTag
of	IN	of O TermTag
systemic	JJ	systemic O TermTag
PGE2	NN	PGE2 O TermTag
production	NN	production O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
PGE-MUM	NN	PGE-MUM O TermTag
was	VBD	be O TermTag
measured	VBN	measure O TermTag
by	IN	by O TermTag
radioimmunoassay	NN	radioimmunoassay O TermTag
in	IN	in O TermTag
controls	NNS	control O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
124	CD	124 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
(	(	( ( NUPOS
bronchial	JJ	bronchial O TermTag
asthma	NN	asthma O TermTag
(	(	( ( NUPOS
BA	NN	ba O TermTag
)	)	) ) NUPOS
:	:	: : NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
78	CD	78 O TermTag
,	,	, , NUPOS
chronic	JJ	chronic O TermTag
obstructive	JJ	obstructive O TermTag
pulmonary	JJ	pulmonary O TermTag
disease	NN	disease O TermTag
(	(	( ( NUPOS
COPD	NN	copd O TermTag
)	)	) ) NUPOS
:	:	: : NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
33	CD	33 O TermTag
,	,	, , NUPOS
CFIP	NNP	CFIP O TermTag
:	:	: : NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
44	CD	44 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Extent	NN	extent O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
was	VBD	be O TermTag
assessed	VBN	assess O TermTag
by	IN	by O TermTag
fibrosing	JJ	fibrosing O TermTag
score	NN	score O TermTag
(	(	( ( NUPOS
FS	NN	FS O TermTag
)	)	) ) NUPOS
of	IN	of O TermTag
computed	JJ	computed O TermTag
tomography	NN	tomography O TermTag
(	(	( ( NUPOS
CT	NN	ct O TermTag
)	)	) ) NUPOS
(	(	( ( NUPOS
FS1-4	NN	FS1-4 O TermTag
