Differing	VBG	differ O TermTag
Expression	NN	expression O TermTag
of	IN	of O TermTag
Cytokines	NNS	cytokine O TermTag
and	CC	and O TermTag
Tumor	NN	tumor O TermTag
Markers	NNS	marker O TermTag
in	IN	in O TermTag
Combined	JJ	combined O TermTag
Pulmonary	JJ	pulmonary O TermTag
Fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
Emphysema	NNP	emphysema O TermTag
Compared	VBD	compare O TermTag
to	TO	to O TermTag
Emphysema	NNP	emphysema O TermTag
and	CC	and O TermTag
Pulmonary	NNP	Pulmonary O TermTag
Fibrosis	NNP	fibrosis O TermTag
.	.	. . NUPOS

This	DT	this O TermTag
study	NN	study O TermTag
aimed	VBN	aim O TermTag
to	TO	to O TermTag
explore	VB	explore O TermTag
the	DT	the O TermTag
different	JJ	different O TermTag
pathogeneses	NNS	pathogenese O TermTag
of	IN	of O TermTag
combined	JJ	combined O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
emphysema	NN	emphysema O TermTag
(	(	( ( NUPOS
CPFE	NN	CPFE O TermTag
)	)	) ) NUPOS
from	IN	from O TermTag
emphysema	NN	emphysema O TermTag
and	CC	and O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
b1	NN	b1 GENE TermTag
(	(	( ( NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
vascular	NN	vascular GENE TermTag
endothelial	NN	endothelial GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
(	(	( ( NUPOS
VEGF	NN	vegf GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
Krebs	NN	Krebs GENE TermTag
Von	NN	Von GENE TermTag
Den	NN	Den GENE TermTag
Lungen	NN	Lungen GENE TermTag
6	NN	6 GENE TermTag
(	(	( ( NUPOS
KL-6	NN	KL-6 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
matrix	NN	matrix GENE TermTag
metalloproteinase	NN	metalloproteinase GENE TermTag
9	NN	9 GENE TermTag
(	(	( ( NUPOS
MMP-9	NN	MMP-9 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
tissue	NN	tissue GENE TermTag
inhibitors	NN	inhibitors GENE TermTag
of	NN	of GENE TermTag
metalloproteinases	NN	metalloproteinases GENE TermTag
1	NN	1 GENE TermTag
(	(	( ( NUPOS
TIMP-1	NN	TIMP-1 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
cytokeratin	NN	cytokeratin GENE TermTag
19	NN	19 GENE TermTag
fragment	NN	fragment O TermTag
(	(	( ( NUPOS
CYFRA21-1	NN	CYFRA21-1 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
squamous	JJ	squamous O TermTag
cell	NN	cell O TermTag
carcinoma	NN	carcinoma O TermTag
antigen	NN	antigen O TermTag
(	(	( ( NUPOS
SCC	NN	scc O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
telomerase	NN	telomerase O TermTag
activity	NN	activity O TermTag
in	IN	in O TermTag
peripheral	JJ	peripheral O TermTag
blood	NN	blood O TermTag
were	VBD	be O TermTag
measured	VBN	measure O TermTag
in	IN	in O TermTag
38	CD	38 O TermTag
CPFE	NN	CPFE O TermTag
patients	NNS	patient O TermTag
,	,	, , NUPOS
50	CD	50 O TermTag
pulmonary	JJ	pulmonary O TermTag
emphysema	NN	emphysema O TermTag
patients	NNS	patient O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
34	CD	34 O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
patients	NNS	patient O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
results	NNS	result O TermTag
demonstrated	VBD	demonstrate O TermTag
that	IN	that O TermTag
the	DT	the O TermTag
levels	NNS	level O TermTag
of	IN	of O TermTag
VEGF	NN	vegf GENE TermTag
and	CC	and O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
higher	JJR	high O TermTag
than	IN	than O TermTag
those	DT	those O TermTag
in	IN	in O TermTag
emphysema	NN	emphysema O TermTag
patients	NNS	patient O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
no	DT	no O TermTag
