Sirtuin	NNP	Sirtuin O TermTag
7	CD	7 crd NUPOS
is	VBZ	be O TermTag
decreased	VBN	decrease O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
regulates	VBZ	regulate O TermTag
the	DT	the O TermTag
fibrotic	JJ	fibrotic O TermTag
phenotype	NN	phenotype O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
severe	JJ	severe O TermTag
condition	NN	condition O TermTag
with	IN	with O TermTag
no	DT	no O TermTag
cure	NN	cure O TermTag
and	CC	and O TermTag
limited	JJ	limited O TermTag
therapeutic	JJ	therapeutic O TermTag
options	NNS	option O TermTag
.	.	. . NUPOS

A	DT	a dt NUPOS
better	JJR	good O TermTag
understanding	NN	understanding O TermTag
of	IN	of O TermTag
its	PRP$	its O TermTag
pathophysiology	NN	pathophysiology O TermTag
is	VBZ	be O TermTag
needed	VBN	need O TermTag
.	.	. . NUPOS

Recent	JJ	recent O TermTag
studies	NNS	study O TermTag
have	VBP	have O TermTag
suggested	VBN	suggest O TermTag
that	IN	that O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
driven	VBN	drive O TermTag
by	IN	by O TermTag
accelerated	VBN	accelerate O TermTag
aging-related	JJ	aging-related O TermTag
mechanisms	NNS	mechanism O TermTag
.	.	. . NUPOS

Sirtuins	NNS	sirtuin O TermTag
(	(	( ( NUPOS
SIRTs	NNS	sirt O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
particularly	RB	particular O TermTag
SIRT1	NN	SIRT1 O TermTag
,	,	, , NUPOS
SIRT3	NN	SIRT3 O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
SIRT6	NN	SIRT6 GENE TermTag
,	,	, , NUPOS
are	VBP	be O TermTag
well-known	JJ	well-known O TermTag
