MOXIBUSTION	NNP	MOXIBUSTION O TermTag
HAS	VBZ	have O TermTag
A	DT	a dt NUPOS
POSITIVE	JJ	positive O TermTag
EFFECT	NN	effect O TermTag
ON	IN	on O TermTag
PULMONARY	NN	PULMONARY O TermTag
FIBROSIS	NN	fibrosis O TermTag
:	:	: : NUPOS
AN	DT	a O TermTag
ALTERNATIVE	NNP	alternative O TermTag
APPROACH	NNP	approach O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
An	DT	a O TermTag
increasing	VBG	increase O TermTag
number	NN	number O TermTag
of	IN	of O TermTag
people	NNS	people O TermTag
suffered	VBD	suffer O TermTag
idiopathic	JJ	idiopathic O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
current	JJ	current O TermTag
treatment	NN	treatment O TermTag
was	VBD	be O TermTag
far	RB	far O TermTag
from	IN	from O TermTag
clinical	JJ	clinical O TermTag
satisfaction	NN	satisfaction O TermTag
.	.	. . NUPOS

Moxibustion	NNP	Moxibustion O TermTag
,	,	, , NUPOS
another	DT	another O TermTag
effective	JJ	effective O TermTag
and	CC	and O TermTag
safe	JJ	safe O TermTag
unconventional	JJ	unconventional O TermTag
therapy	NN	therapy O TermTag
,	,	, , NUPOS
had	VBD	have O TermTag
been	VBN	be O TermTag
introduced	VBN	introduce O TermTag
to	TO	to O TermTag
treat	VB	treat O TermTag
this	DT	this O TermTag
refractory	JJ	refractory O TermTag
disease	NN	disease O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
study	NN	study O TermTag
aimed	VBN	aim O TermTag
to	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
effect	NN	effect O TermTag
of	IN	of O TermTag
moxibustion	NN	moxibustion O TermTag
on	IN	on O TermTag
a	DT	a dt NUPOS
bleomycin	NN	bleomycin O TermTag
A5-induced	JJ	a5-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
model	NN	model O TermTag
.	.	. . NUPOS

MATERIALS	NNS	material O TermTag
AND	CC	and O TermTag
METHODS	NNS	method O TermTag
:	:	: : NUPOS
Sprague-dawley	NN	sprague-dawley O TermTag
(	(	( ( NUPOS
SD	NN	sd O TermTag
)	)	) ) NUPOS
rats	NNS	rat O TermTag
were	VBD	be O TermTag
randomly	RB	random O TermTag
allocated	VBN	allocate O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
blank	JJ	blank O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
model	NN	model O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
moxibustion	NN	moxibustion O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
prednisone	NN	prednisone O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
for	IN	for O TermTag
which	WDT	which O TermTag
they	PRP	they O TermTag
received	VBD	receive O TermTag
no	DT	no O TermTag
treatment	NN	treatment O TermTag
,	,	, , NUPOS
modeling	NN	modeling O TermTag
,	,	, , NUPOS
moxibustion	NN	moxibustion O TermTag
treatment	NN	treatment O TermTag
and	CC	and O TermTag
prednisone	NN	prednisone O TermTag
treatment	NN	treatment O TermTag
.	.	. . NUPOS

After	IN	after O TermTag
four-week	JJ	four-week O TermTag
treatment	NN	treatment O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
rats	NNS	rat O TermTag
were	VBD	be O TermTag
euthanized	VBN	euthanize O TermTag
for	IN	for O TermTag
Hematoxylin	NNP	Hematoxylin O TermTag
and	CC	and O TermTag
Eosin	NNP	Eosin O TermTag
(	(	( ( NUPOS
H.E.	NNP	H.E. O TermTag
)	)	) ) NUPOS
staining	NN	staining O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
and	CC	and O TermTag
IFN-y	NN	IFN-y O TermTag
protein	NN	protein O TermTag
and	CC	and O TermTag
mRNA	NN	mRNA O TermTag
detection	NN	detection O TermTag
in	IN	in O TermTag
lungs	NNS	lung O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
In	IN	in O TermTag
the	DT	the O TermTag
model	NN	model O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
increased	VBN	increase O TermTag
and	CC	and O TermTag
IFN-y	NN	IFN-y O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
decreased	VBN	decrease O TermTag
at	IN	at O TermTag
both	DT	both O TermTag
protein	NN	protein O TermTag
and	CC	and O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
comparison	NN	comparison O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
blank	JJ	blank O TermTag
group	NN	group O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
the	DT	the O TermTag
moxibustion	NN	moxibustion O TermTag
and	CC	and O TermTag
prednisone	NN	prednisone O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
however	RB	however O TermTag
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 GENE TermTag
was	VBD	be O TermTag
decreased	VBN	decrease O TermTag
and	CC	and O TermTag
IFN-y	NN	IFN-y O TermTag
was	VBD	be O TermTag
increased	VBN	increase O TermTag
at	IN	at O TermTag
both	DT	both O TermTag
protein	NN	protein O TermTag
and	CC	and O TermTag
mRNA	NN	mRNA O TermTag
levels	NNS	level O TermTag
in	IN	in O TermTag
comparison	NN	comparison O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
model	NN	model O TermTag
groups	NNS	group O TermTag
.	.	. . NUPOS

Compared	VBN	compare O TermTag
with	IN	with O TermTag
prednisone	NN	prednisone O TermTag
,	,	, , NUPOS
moxibustion	NN	moxibustion O TermTag
showed	VBD	show O TermTag
comparable	JJ	comparable O TermTag
effect	NN	effect O TermTag
in	IN	in O TermTag
lowing	VBG	low O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
>	JJR	> JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
better	JJR	good O TermTag
effect	NN	effect O TermTag
in	IN	in O TermTag
up-regulating	VBG	upregulate O TermTag
IFN-y	NN	IFN-y O TermTag
(	(	( ( NUPOS
P	NN	p NN PennPOS
>	JJR	> JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
study	NN	study O TermTag
concludes	VBZ	conclude O TermTag
moxibustion	NN	moxibustion O TermTag
protected	VBD	protect O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
downregulating	VBG	downregulate O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
and	CC	and O TermTag
upregulating	VBG	upregulate O TermTag
IFN-y	JJ	ifn-y O TermTag
cytokines	NNS	cytokine O TermTag
at	IN	at O TermTag
both	DT	both O TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
levels	NNS	level O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
the	DT	the O TermTag
effect	NN	effect O TermTag
was	VBD	be O TermTag
comparable	JJ	comparable O TermTag
to	TO	to O TermTag
prednisone	NN	prednisone O TermTag
.	.	. . NUPOS

Moxibustion	NNP	Moxibustion O TermTag
could	MD	can O TermTag
be	VB	be O TermTag
used	VBN	use O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
therapeutic	JJ	therapeutic O TermTag
alternative	NN	alternative O TermTag
treatment	NN	treatment O TermTag
for	IN	for O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

