Interleukin-17	NN	Interleukin-17 O TermTag
induces	VBZ	induce O TermTag
human	JJ	human O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
to	TO	to O TermTag
mesenchymal	JJ	mesenchymal O TermTag
cell	NN	cell O TermTag
transition	NN	transition O TermTag
via	IN	via O TermTag
the	DT	the O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
mediated	VBD	mediate O TermTag
Smad2/3	NN	Smad2/3 GENE TermTag
and	CC	and O TermTag
ERK1/2	NN	ERK1/2 GENE TermTag
activation	NN	activation O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
chronic	JJ	chronic O TermTag
and	CC	and O TermTag
usually	RB	usual O TermTag
progressive	JJ	progressive O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
(	(	( ( NUPOS
EMT	NN	emt GENE TermTag
)	)	) ) NUPOS
may	MD	may O TermTag
play	VB	play O TermTag
an	DT	a O TermTag
important	JJ	important O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

IL-17	NN	IL-17 GENE TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
proinflammatory	JJ	proinflammatory O TermTag
cytokine	NN	cytokine O TermTag
which	WDT	which O TermTag
promotes	VBZ	promote O TermTag
EMT	NN	emt GENE TermTag
profiles	NNS	profile O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
inflammatory	JJ	inflammatory O TermTag
diseases	NNS	disease O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
investigated	VBD	investigate O TermTag
the	DT	the O TermTag
effect	NN	effect O TermTag
of	IN	of O TermTag
IL-17	NN	IL-17 GENE TermTag
on	IN	on O TermTag
EMT	NN	emt GENE TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
line	NN	line O TermTag
A549	NN	A549 O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
TGFb1-Smad	NN	TGFb1-Smad O TermTag
and	CC	and O TermTag
ERK	NN	erk GENE TermTag
signaling	NN	signaling O TermTag
pathways	NNS	pathway O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
process	NN	process O TermTag
.	.	. . NUPOS

Morphological	JJ	morphological O TermTag
observation	NN	observation O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
cells	NNS	cell O TermTag
was	VBD	be O TermTag
performed	VBN	perform O TermTag
under	IN	under O TermTag
inverted	JJ	inverted O TermTag
microscope	NN	microscope O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
E-cad	NN	E-cad O TermTag
and	CC	and O TermTag
a-SMA	NN	a-SMA GENE TermTag
were	VBD	be O TermTag
detected	VBN	detect O TermTag
by	IN	by O TermTag
quantitative	JJ	quantitative O TermTag
RT-PCR	NN	rt-pcr O TermTag
and	CC	and O TermTag
western	NN	western O TermTag
blotting	NN	blotting O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
mRNA	NN	mRNA O TermTag
and	CC	and O TermTag
protein	NN	protein O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
were	VBD	be O TermTag
analyzed	VBN	analyse O TermTag
via	IN	via O TermTag
quantitative	JJ	quantitative O TermTag
RT-PCR	NN	rt-pcr O TermTag
and	CC	and O TermTag
ELISA	NN	elisa O TermTag
.	.	. . NUPOS

Expressions	NNS	expression O TermTag
of	IN	of O TermTag
Smad2/3	NN	Smad2/3 GENE TermTag
,	,	, , NUPOS
p-Smad2	NN	p-Smad2 O TermTag
/	:	/ : NUPOS
3	CD	3 crd NUPOS
,	,	, , NUPOS
ERK1/2	NN	ERK1/2 GENE TermTag
,	,	, , NUPOS
p-ERK1	NN	p-ERK1 O TermTag
/	:	/ : NUPOS
2	CD	2 crd NUPOS
and	CC	and O TermTag
p-JNK	NN	p-JNK O TermTag
were	VBD	be O TermTag
examined	VBN	examine O TermTag
by	IN	by O TermTag
western	NN	western O TermTag
blotting	NN	blotting O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
results	NNS	result O TermTag
indicated	VBD	indicate O TermTag
that	IN	that O TermTag
IL-17	NN	IL-17 GENE TermTag
can	MD	can O TermTag
induce	VB	induce O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
to	TO	to O TermTag
undergo	VB	undergo O TermTag
morphological	JJ	morphological O TermTag
changes	NNS	change O TermTag
and	CC	and O TermTag
phenotypic	JJ	phenotypic O TermTag
markers	NNS	marker O TermTag
changes	NNS	change O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
down-regulated	VBN	downregulate O TermTag
E-cad	NN	E-cad O TermTag
expression	NN	expression O TermTag
and	CC	and O TermTag
up-regulated	VBD	upregulate O TermTag
a-SMA	NN	a-SMA GENE TermTag
expression	NN	expression O TermTag
.	.	. . NUPOS

Additionally	RB	additional O TermTag
,	,	, , NUPOS
IL-17	NN	IL-17 GENE TermTag
enhanced	VBD	enhance O TermTag
TGF-b1	NN	TGF-b1 GENE TermTag
expression	NN	expression O TermTag
and	CC	and O TermTag
stimulated	VBN	stimulate O TermTag
Smad2/3	NN	Smad2/3 GENE TermTag
and	CC	and O TermTag
ERK1/2	NN	ERK1/2 GENE TermTag
phosphorylation	NN	phosphorylation O TermTag
in	IN	in O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
there	EX	there O TermTag
were	VBD	be O TermTag
no	DT	no O TermTag
significant	JJ	significant O TermTag
differences	NNS	difference O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
phosphorylated	VBN	phosphorylate O TermTag
JNK	NN	jnk GENE TermTag
in	IN	in O TermTag
A549	NN	A549 O TermTag
cells	NNS	cell O TermTag
with	IN	with O TermTag
or	CC	or O TermTag
without	IN	without O TermTag
IL-17	NN	IL-17 GENE TermTag
treatment	NN	treatment O TermTag
.	.	. . NUPOS

SB431542	NN	SB431542 O TermTag
or	CC	or O TermTag
U0126	NN	U0126 O TermTag
treated	JJ	treated O TermTag
cells	NNS	cell O TermTag
showed	VBD	show O TermTag
inhibited	VBN	inhibit O TermTag
morphological	JJ	morphological O TermTag
changes	NNS	change O TermTag
and	CC	and O TermTag
phenotypic	JJ	phenotypic O TermTag
markers	NNS	marker O TermTag
expression	NN	expression O TermTag
,	,	, , NUPOS
such	JJ	such O TermTag
as	IN	as O TermTag
up-regulated	VBN	upregulate O TermTag
E-cad	NN	E-cad O TermTag
expression	NN	expression O TermTag
and	CC	and O TermTag
down-regulated	VBD	downregulate O TermTag
a-SMA	NN	a-SMA GENE TermTag
expression	NN	expression O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
summary	NN	summary O TermTag
,	,	, , NUPOS
our	PRP$	our O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
IL-17	NN	IL-17 GENE TermTag
can	MD	can O TermTag
induce	VB	induce O TermTag
A549	NN	A549 O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
to	TO	to O TermTag
