Leucine-rich	JJ	leucine-rich O TermTag
a-2	NN	a-2 O TermTag
glycoprotein	NN	glycoprotein O TermTag
promotes	VBZ	promote O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
modulating	VBG	modulate O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

TGF-b	NN	TGF-b GENE TermTag
has	VBZ	have O TermTag
an	DT	a O TermTag
important	JJ	important O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
diseases	NNS	disease O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Detailed	JJ	detailed O TermTag
analysis	NN	analysis O TermTag
of	IN	of O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
at	IN	at O TermTag
the	DT	the O TermTag
molecular	JJ	molecular O TermTag
level	NN	level O TermTag
is	VBZ	be O TermTag
needed	VBN	need O TermTag
to	TO	to O TermTag
identify	VB	identify O TermTag
novel	JJ	novel O TermTag
therapeutic	JJ	therapeutic O TermTag
targets	NNS	target O TermTag
.	.	. . NUPOS

Recently	RB	recent O TermTag
,	,	, , NUPOS
leucine-rich-alpha-2-glycoprotein	NN	leucine-rich-alpha-2-glycoprotein GENE TermTag
(	(	( ( NUPOS
LRG	NN	LRG GENE TermTag
)	)	) ) NUPOS
was	VBD	be O TermTag
reported	VBN	report O TermTag
to	TO	to O TermTag
function	VB	function O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
modulator	NN	modulator O TermTag
of	IN	of O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
angiogenesis	NN	angiogenesis O TermTag
and	CC	and O TermTag
tumor	NN	tumor O TermTag
progression	NN	progression O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
involvement	NN	involvement O TermTag
of	IN	of O TermTag
LRG	NNP	LRG GENE TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
disorders	NNS	disorder O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
IPF	NNP	IPF O TermTag
,	,	, , NUPOS
has	VBZ	have O TermTag
not	RB	not O TermTag
yet	RB	yet O TermTag
been	VBN	be O TermTag
investigated	VBN	investigate O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
investigated	VBD	investigate O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
LRG	NNP	LRG GENE TermTag
in	IN	in O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
analyzing	VBG	analyse O TermTag
LRG	NNP	LRG GENE TermTag
knockout	NN	knockout O TermTag
(	(	( ( NUPOS
KO	NN	ko O TermTag
)	)	) ) NUPOS
mice	NNS	mouse O TermTag
with	IN	with O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
,	,	, , NUPOS
an	DT	a O TermTag
animal	NN	animal O TermTag
model	NN	model O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
amount	NN	amount O TermTag
of	IN	of O TermTag
LRG	NNP	LRG GENE TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
wild-type	JJ	wild-type O TermTag
(	(	( ( NUPOS
WT	JJ	wt O TermTag
)	)	) ) NUPOS
mice	NNS	mouse O TermTag
was	VBD	be O TermTag
increased	VBN	increase O TermTag
by	IN	by O TermTag
bleomycin	NN	bleomycin O TermTag
administration	NN	administration O TermTag
prior	RB	prior O TermTag
to	TO	to O TermTag
fibrosis	NN	fibrosis O TermTag
development	NN	development O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
LRG	NNP	LRG GENE TermTag
KO	NNP	ko O TermTag
mice	NNS	mouse O TermTag
,	,	, , NUPOS
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
suppressed	VBN	suppress O TermTag
,	,	, , NUPOS
as	IN	as O TermTag
indicated	VBN	indicate O TermTag
by	IN	by O TermTag
attenuated	VBN	attenuate O TermTag
Masson	NNP	Masson O TermTag
's	POS	's O TermTag
trichrome	NN	trichrome O TermTag
staining	NN	staining O TermTag
and	CC	and O TermTag
lower	JJR	low O TermTag
collagen	NN	collagen O TermTag
content	NN	content O TermTag
than	IN	than O TermTag
those	DT	those O TermTag
in	IN	in O TermTag
WT	NNP	wt O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Moreover	RB	moreover O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
lungs	NNS	lung O TermTag
of	IN	of O TermTag
LRG	NNP	LRG GENE TermTag
KO	NNP	ko O TermTag
mice	NNS	mouse O TermTag
,	,	, , NUPOS
phosphorylation	NN	phosphorylation O TermTag
of	IN	of O TermTag
Smad2	NN	Smad2 GENE TermTag
was	VBD	be O TermTag
reduced	VBN	reduce O TermTag
and	CC	and O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
a-SMA	NN	a-SMA GENE TermTag
was	VBD	be O TermTag
decreased	VBN	decrease O TermTag
relative	JJ	relative O TermTag
to	TO	to O TermTag
those	DT	those O TermTag
in	IN	in O TermTag
WT	NNP	wt O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

In	FW	in O TermTag
vitro	FW	vitro O TermTag
experiments	NNS	experiment O TermTag
indicated	VBD	indicate O TermTag
that	IN	that O TermTag
LRG	NNP	LRG GENE TermTag
enhanced	VBD	enhance O TermTag
the	DT	the O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
phosphorylation	NN	phosphorylation O TermTag
of	IN	of O TermTag
Smad2	NN	Smad2 GENE TermTag
and	CC	and O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
Serpine1	NN	Serpine1 O TermTag
and	CC	and O TermTag
Acta2	NN	Acta2 O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
downstream	JJ	downstream O TermTag
of	IN	of O TermTag
Smad2	NN	Smad2 GENE TermTag
,	,	, , NUPOS
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Although	IN	although O TermTag
endoglin	NN	endoglin O TermTag
,	,	, , NUPOS
an	DT	a O TermTag
accessory	JJ	accessory O TermTag
TGF-b	NN	TGF-b GENE TermTag
receptor	NN	receptor O TermTag
,	,	, , NUPOS
is	VBZ	be O TermTag
essential	JJ	essential O TermTag
for	IN	for O TermTag
LRG	NNP	LRG GENE TermTag
to	TO	to O TermTag
promote	VB	promote O TermTag
TGF-b	NN	TGF-b GENE TermTag
signaling	NN	signaling O TermTag
in	IN	in O TermTag
endothelial	JJ	endothelial O TermTag
cells	NNS	cell O TermTag
during	IN	during O TermTag
angiogenesis	NN	angiogenesis O TermTag
,	,	, , NUPOS
we	PRP	we O TermTag
found	VBD	find O TermTag
that	IN	that O TermTag
endoglin	NN	endoglin O TermTag
did	VBD	do O TermTag
not	RB	not O TermTag
contribute	VB	contribute O TermTag
to	TO	to O TermTag
the	DT	the O TermTag
ability	NN	ability O TermTag
of	IN	of O TermTag
LRG	NNP	LRG GENE TermTag
to	TO	to O TermTag
enhance	VB	enhance O TermTag
Smad2	NN	Smad2 GENE TermTag
phosphorylation	NN	phosphorylation O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Taken	VBN	take O TermTag
together	RB	together O TermTag
,	,	, , NUPOS
our	PRP$	our O TermTag
data	NNS	datum O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
LRG	NNP	LRG GENE TermTag
promotes	VBZ	promote O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
by	IN	by O TermTag
modulating	VBG	modulate O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
Smad2	NN	Smad2 GENE TermTag
phosphorylation	NN	phosphorylation O TermTag
and	CC	and O TermTag
activating	VBG	activate O TermTag
profibrotic	JJ	profibrotic O TermTag
responses	NNS	response O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

