Regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
by	IN	by IN PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
latent	JJ	latent JJ PennPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
and	CC	and cc NUPOS
differential	JJ	differential JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
receptors	NNS	receptor NNS PennPOS
(	(	( ( NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-I	NN	R-I NN PennPOS
and	CC	and cc NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-II	NN	R-II NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
characterised	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
subpleural	JJ	subpleural JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
that	WDT	that WDT PennPOS
progresses	VBZ	progress VBZ PennPOS
to	TO	to p-acp NUPOS
involve	VB	involve VBP PennPOS
all	DT	all d NUPOS
areas	NNS	area NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
transforming-growth-factor-beta1	NN	transforming-growth-factor-beta1 NN PennPOS
(	(	( ( NUPOS
TGF-beta-1	NN	TGF-beta-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
potent	JJ	potent JJ PennPOS
regulator	NN	regulator NN PennPOS
of	IN	of pp-f NUPOS
connective	JJ	connective JJ PennPOS
tissue	NN	tissue NN PennPOS
synthesis	NN	synthesis NN PennPOS
,	,	, , NUPOS
is	VBZ	be vbz NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
sections	NNS	section NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

TGF-beta-1	NN	TGF-beta-1 NN PennPOS
is	VBZ	be vbz NUPOS
generally	RB	general av-j NUPOS
released	VBN	release VBN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
biologically	RB	biological RB PennPOS
latent	JJ	latent JJ PennPOS
form	NN	form NN PennPOS
(	(	( ( NUPOS
L-TGF-beta-1	NN	L-TGF-beta-1 NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Before	IN	before c-acp NUPOS
being	VBG	be vbg NUPOS
biologically	RB	biological RB PennPOS
active	JJ	active JJ PennPOS
,	,	, , NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
must	MD	must vmb NUPOS
be	VB	be vbi NUPOS
converted	VBN	convert VBN PennPOS
to	TO	to p-acp NUPOS
its	PRP$	its po31 NUPOS
active	JJ	active JJ PennPOS
form	NN	form NN PennPOS
and	CC	and cc NUPOS
interact	VBP	interact VBP PennPOS
with	IN	with pp NUPOS
both	CC	both CC PennPOS
TGF-beta	NN	TGF-beta NN PennPOS
receptors	NNS	receptor NNS PennPOS
type	NN	type NN PennPOS
I	CD	i crd NUPOS
and	CC	and cc NUPOS
II	CD	II crd NUPOS
(	(	( ( NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-I	NN	R-I NN PennPOS
and	CC	and cc NUPOS
T	NN	T NN PennPOS
beta	NN	beta NN PennPOS
R-II	NN	R-II NN PennPOS
)	)	) ) NUPOS
