BAL	NN	bal NN PennPOS
cytokine	NN	cytokine NN PennPOS
profile	NN	profile NN PennPOS
in	IN	in IN PennPOS
different	JJ	different JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
:	:	: : NUPOS
a	DT	a dt NUPOS
focus	NN	focus NN PennPOS
on	IN	on IN PennPOS
systemic	JJ	systemic JJ PennPOS
sclerosis	NN	sclerosis NN PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
AND	CC	and cc NUPOS
AIM	NN	aim NN PennPOS
:	:	: : NUPOS
Fibrosing	NN	Fibrosing NN PennPOS
alveolitis	NN	alveolitis NN PennPOS
develops	VBZ	develop VBZ PennPOS
in	IN	in IN PennPOS
up	RB	up a-acp NUPOS
to	TO	to p-acp NUPOS
80	CD	80 crd NUPOS
%	NN	% NN PennPOS
of	IN	of pp-f NUPOS
systemic	JJ	systemic JJ PennPOS
sclerosis	NN	sclerosis NN PennPOS
patients	NNS	patient NNS PennPOS
(	(	( ( NUPOS
SSc	NN	ssc NN PennPOS
)	)	) ) NUPOS
but	CC	but cc-acp NUPOS
progression	NN	progression NN PennPOS
to	TO	to p-acp NUPOS
end	VB	end VBP PennPOS
stage	NN	stage NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
occurs	VBZ	occur VBZ PennPOS
in	IN	in IN PennPOS
about	RB	about a-acp NUPOS
15	CD	15 crd NUPOS
%	NN	% NN PennPOS
of	IN	of pp-f NUPOS
cases	NNS	case NNS PennPOS
.	.	. . NUPOS

Mechanisms	NNS	mechanism NNS PennPOS
leading	VBG	lead VBG PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
process	NN	process NN PennPOS
remain	VBP	remain VBP PennPOS
mostly	RB	most RB PennPOS
unknown	JJ	unknown JJ PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
compared	VBD	compare VBD PennPOS
cytokine	NN	cytokine NN PennPOS
profiles	NNS	profile NNS PennPOS
of	IN	of pp-f NUPOS
broncho-alveolar	JJ	broncho-alveolar JJ PennPOS
lavage	NN	lavage NN PennPOS
fluids	NNS	fluid NNS PennPOS
(	(	( ( NUPOS
BAL-f	NN	BAL-f NN PennPOS
)	)	) ) NUPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
SSc	NN	ssc NN PennPOS
associated	VBN	associate VBN PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
(	(	( ( NUPOS
SSc-ILD	NN	SSc-ILD NN PennPOS
)	)	) ) NUPOS
(	(	( ( NUPOS
n.	NN	N. np1 NUPOS
34	CD	34 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
(	(	( ( NUPOS
n.	FW	n. FW PennPOS
13	CD	13 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
stage	NN	stage NN PennPOS
II	CD	II crd NUPOS
sarcoidosis	NN	sarcoidosis NN PennPOS
(	(	( ( NUPOS
n.	NN	N. np1 NUPOS
14	CD	14 crd NUPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
9	CD	9 crd NUPOS
controls	NNS	control NNS PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Interleukin	NN	interleukin NN PennPOS
(	(	( ( NUPOS
IL	NN	IL NN PennPOS
)	)	) ) NUPOS
8	CD	8 crd NUPOS
,	,	, , NUPOS
monocyte-chemoattractant-protein-1	NN	monocyte-chemoattractant-protein-1 NN PennPOS
(	(	( ( NUPOS
MCP-1	NN	MCP-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
gamma-interferon	NN	gamma-interferon NN PennPOS
(	(	( ( NUPOS
IFN-gamma	NN	IFN-gamma NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
IL12	NN	IL12 NN PennPOS
,	,	, , NUPOS
IL18	NN	IL18 NN PennPOS
and	CC	and cc NUPOS
IL10	NN	IL10 NN PennPOS
and	CC	and cc NUPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
assessed	VBN	assess VBN PennPOS
by	IN	by IN PennPOS
ELISA	NN	elisa NN PennPOS
in	IN	in IN PennPOS
concentrated	JJ	concentrated JJ PennPOS
BAL-f	NN	BAL-f NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
Levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
IL8	NN	IL8 NN PennPOS
and	CC	and cc NUPOS
MCP-1	NN	MCP-1 NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
elevated	JJ	elevated JJ PennPOS
in	IN	in IN PennPOS
SSc-ILD	NN	SSc-ILD NN PennPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
as	IN	as c-acp NUPOS
compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
controls	NNS	control NNS PennPOS
(	(	( ( NUPOS
Mann	NNP	Mann np1 NUPOS
Whitney	NNP	whitney NN PennPOS
test	NN	test NN PennPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
while	IN	while cs NUPOS
MCP-1	NN	MCP-1 NN PennPOS
values	NNS	value NNS PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
lower	JJR	low JJR PennPOS
in	IN	in IN PennPOS
SSc-ILD	NN	SSc-ILD NN PennPOS
than	IN	than cs NUPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

A	DT	a dt NUPOS
significant	JJ	significant JJ PennPOS
correlation	NN	correlation NN PennPOS
between	IN	between IN PennPOS
neutrophils	NNS	neutrophil NNS PennPOS
and	CC	and cc NUPOS
IL8	NN	IL8 NN PennPOS
levels	NNS	level NNS PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
=	JJ	= JJ PennPOS
0.047	CD	0.047 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
between	IN	between IN PennPOS
eosinophils	NNS	eosinophil NNS PennPOS
and	CC	and cc NUPOS
MCP-1	NN	MCP-1 NN PennPOS
levels	NNS	level NNS PennPOS
(	(	( ( NUPOS
p	NN	p NN PennPOS
=	JJ	= JJ PennPOS
0.004	CD	0.004 CD PennPOS
)	)	) ) NUPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
observed	VBN	observe VBN PennPOS
.	.	. . NUPOS

IFN-gamma	NN	IFN-gamma NN PennPOS
levels	NNS	level NNS PennPOS
were	VBD	be vbd NUPOS
slightly	RB	slight av-j NUPOS
higher	JJR	high JJR PennPOS
