Negative	JJ	negative JJ PennPOS
regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
by	IN	by IN PennPOS
PTEN	NN	PTEN NN PennPOS
(	(	( ( NUPOS
Phosphatase	NN	phosphatase NN PennPOS
and	CC	and cc NUPOS
Tensin	NNP	tensin NN PennPOS
Homolog	NNP	homolog NN PennPOS
Deleted	JJ	deleted JJ PennPOS
on	IN	on IN PennPOS
chromosome	NN	chromosome NN PennPOS
10	CD	10 crd NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

RATIONALE	NN	rationale NN PennPOS
:	:	: : NUPOS
Myofibroblasts	NNS	myofibroblast NNS PennPOS
are	VBP	be vbb NUPOS
primary	JJ	primary JJ PennPOS
effector	NN	effector NN PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Defining	VBG	define VBG PennPOS
mechanisms	NNS	mechanism NNS PennPOS
of	IN	of pp-f NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
critical	JJ	critical JJ PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
novel	JJ	novel JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
agents	NNS	agent NNS PennPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective NN PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
show	VB	show VBD PennPOS
that	IN	that cst NUPOS
myofibroblast	NN	myofibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
is	VBZ	be vbz NUPOS
regulated	VBN	regulate VBN PennPOS
by	IN	by IN PennPOS
phosphatase	NN	phosphatase NN PennPOS
and	CC	and cc NUPOS
tensin	NN	tensin NN PennPOS
homolog	NN	homolog NN PennPOS
deleted	VBN	delete VBN PennPOS
on	IN	on IN PennPOS
chromosome	NN	chromosome NN PennPOS
10	CD	10 crd NUPOS
(	(	( ( NUPOS
PTEN	NN	PTEN NN PennPOS
)	)	) ) NUPOS
activity	NN	activity NN PennPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
to	TO	to p-acp NUPOS
identify	VB	identify VBP PennPOS
a	DT	a dt NUPOS
potential	JJ	potential JJ PennPOS
mechanism	NN	mechanism NN PennPOS
by	IN	by IN PennPOS
which	WDT	which r-crq NUPOS
this	DT	this d NUPOS
occurs	VBZ	occur VBZ PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
We	PRP	we pns12 NUPOS
used	VBD	use VBD PennPOS
tissue	NN	tissue NN PennPOS
sections	NNS	section NNS PennPOS
of	IN	of pp-f NUPOS
surgical	JJ	surgical JJ PennPOS
lung	NN	lung NN PennPOS
biopsies	NNS	biopsy NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
to	TO	to p-acp NUPOS
localize	VB	localize VBP PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
PTEN	NN	PTEN NN PennPOS
and	CC	and cc NUPOS
alpha-smooth-muscle-actin	NN	alpha-smooth-muscle-actin NN PennPOS
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
used	VBD	use VBD PennPOS
cell	NN	cell NN PennPOS
culture	NN	culture NN PennPOS
of	IN	of pp-f NUPOS
pten	NN	PTEN NN PennPOS
(	(	( ( NUPOS
-	:	- : NUPOS
/	:	/ : NUPOS
-	:	- : NUPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
wild-type	JJ	wild-type JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
adenoviral	JJ	adenoviral JJ PennPOS
strategies	NNS	strategy NNS PennPOS
and	CC	and cc NUPOS
pharmacologic	JJ	pharmacologic JJ PennPOS
inhibitors	NNS	inhibitor NNS PennPOS
,	,	, , NUPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
the	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
by	IN	by IN PennPOS
which	WDT	which r-crq NUPOS
PTEN	NN	PTEN NN PennPOS
inhibits	VBZ	inhibit VBZ PennPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
,	,	, , NUPOS
fibroblast	NN	fibroblast NN PennPOS
proliferation	NN	proliferation NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
collagen	NN	collagen NN PennPOS
production	NN	production NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
In	IN	in IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
specimens	NNS	specimen NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
within	IN	within pp NUPOS
fibroblastic	JJ	fibroblastic JJ PennPOS
foci	NNS	focus NNS PennPOS
demonstrated	VBD	demonstrate VBD PennPOS
diminished	VBN	diminish VBN PennPOS
PTEN	NN	PTEN NN PennPOS
expression	NN	expression NN PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
inhibition	NN	inhibition NN PennPOS
of	IN	of pp-f NUPOS
PTEN	NN	PTEN NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
worsened	VBD	worsen VBD PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
pten	NN	PTEN NN PennPOS
(	(	( ( NUPOS
-	:	- : NUPOS
/	:	/ : NUPOS
-	:	- : NUPOS
