NOX4/NADPH	NN	NOX4/NADPH NN PennPOS
oxidase	NN	oxidase NN PennPOS
expression	NN	expression NN PennPOS
is	VBZ	be vbz NUPOS
increased	VBN	increase VBN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
mediates	VBZ	mediate VBZ PennPOS
TGFbeta1-induced	JJ	tgfbeta1-induced JJ PennPOS
fibroblast	NN	fibroblast NN PennPOS
differentiation	NN	differentiation NN PennPOS
into	IN	into pp NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
:	:	: : NUPOS
Persistence	NN	persistence NN PennPOS
of	IN	of pp-f NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
is	VBZ	be vbz NUPOS
believed	VBN	believe VBN PennPOS
to	TO	to p-acp NUPOS
contribute	VB	contribute VBP PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
development	NN	development NN PennPOS
of	IN	of pp-f NUPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Transforming-growth-factor-beta1	NN	Transforming-growth-factor-beta1 NN PennPOS
(	(	( ( NUPOS
TGFbeta1	NN	TGFbeta1 NN PennPOS
)	)	) ) NUPOS
irreversibly	RB	irreversible RB PennPOS
converts	VBZ	convert VBZ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
into	IN	into pp NUPOS
pathological	JJ	pathological JJ PennPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
express	VBP	express VBP PennPOS
smooth	JJ	smooth JJ PennPOS
muscle	NN	muscle NN PennPOS
alpha-actin	NN	alpha-actin NN PennPOS
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
produce	VBP	produce VBP PennPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
proteins	NNS	protein NNS PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
procollagen	NN	procollagen NN PennPOS
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Reactive	JJ	reactive JJ PennPOS
oxygen	NN	oxygen NN PennPOS
species	NNS	specie NNS PennPOS
produced	VBN	produce VBN PennPOS
by	IN	by IN PennPOS
NADPH	NN	NADPH NN PennPOS
oxidases	NNS	oxidase NNS PennPOS
(	(	( ( NUPOS
NOXs	NNS	nox NNS PennPOS
)	)	) ) NUPOS
have	VBP	have vhb NUPOS
been	VBN	be vbn NUPOS
shown	VBN	show VBN PennPOS
to	TO	to p-acp NUPOS
regulate	VB	regulate VBP PennPOS
cell	NN	cell NN PennPOS
differentiation	NN	differentiation NN PennPOS
.	.	. . NUPOS

It	PRP	it pn31 NUPOS
was	VBD	be vbd NUPOS
hypothesised	VBN	hypothesise VBN PennPOS
that	IN	that cst NUPOS
NOX	NNP	nox NN PennPOS
could	MD	can vmd NUPOS
be	VB	be vbi NUPOS
expressed	VBN	express VBN PennPOS
in	IN	in IN PennPOS
parenchymal	JJ	parenchymal JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
and	CC	and cc NUPOS
could	MD	can vmd NUPOS
mediate	VB	mediate VBP PennPOS
TGFbeta1-stimulated	JJ	tgfbeta1-stimulated JJ PennPOS
conversion	NN	conversion NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
into	IN	into pp NUPOS
myofibroblasts	NNS	myofibroblast NNS PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Fibroblasts	NNS	fibroblast NNS PennPOS
were	VBD	be vbd NUPOS
cultured	VBN	culture vvn NUPOS
from	IN	from pp NUPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
of	IN	of pp-f NUPOS
nine	CD	nine crd NUPOS
controls	NNS	control NNS PennPOS
and	CC	and cc NUPOS
eight	CD	eight crd NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

NOX4	NN	NOX4 NN PennPOS
,	,	, , NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
and	CC	and cc NUPOS
procollagen	NN	procollagen NN PennPOS
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 NN PennPOS
)	)	) ) NUPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
expression	NN	expression NN PennPOS
,	,	, , NUPOS
reactive	JJ	reactive JJ PennPOS
oxygen	NN	oxygen NN PennPOS
species	NNS	specie NNS PennPOS
production	NN	production NN PennPOS
and	CC	and cc NUPOS
Smad2/3	NN	Smad2/3 NN PennPOS
phosphorylation	NN	phosphorylation NN PennPOS
were	VBD	be vbd NUPOS
quantified	VBN	quantify VBN PennPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
absence	NN	absence NN PennPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
presence	NN	presence NN PennPOS
of	IN	of pp-f NUPOS
incubation	NN	incubation NN PennPOS
with	IN	with pp NUPOS
TGFbeta1	NN	TGFbeta1 NN PennPOS
.	.	. . NUPOS

Migration	NN	migration NN PennPOS
of	IN	of pp-f NUPOS
platelet-derived	JJ	platelet-derived JJ PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
PDGF	NN	PDGF NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
induced	VBN	induce VBN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
assessed	VBN	assess VBN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
It	PRP	it pn31 NUPOS
was	VBD	be vbd NUPOS
found	VBN	find VBN PennPOS
that	IN	that cst NUPOS
(	(	( ( NUPOS
1	LS	1 LS PennPOS
)	)	) ) NUPOS
NOX4	NN	NOX4 NN PennPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
expression	NN	expression NN PennPOS
was	VBD	be vbd NUPOS
upregulated	VBN	upregulate VBN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
correlated	VBD	correlate VBD PennPOS
with	IN	with pp NUPOS
mRNA	NN	mRNA NN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
and	CC	and cc NUPOS
procollagen	NN	procollagen NN PennPOS
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 NN PennPOS
)	)	) ) NUPOS
mRNA	NN	mRNA NN PennPOS
;	:	; : NUPOS
(	(	( ( NUPOS
2	LS	2 LS PennPOS
)	)	) ) NUPOS
TGFbeta1	NN	TGFbeta1 NN PennPOS
upregulated	VBD	upregulate VBD PennPOS
NOX4	NN	NOX4 NN PennPOS
,	,	, , NUPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
and	CC	and cc NUPOS
procollagen	NN	procollagen NN PennPOS
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 NN PennPOS
)	)	) ) NUPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
control	NN	control NN PennPOS
and	CC	and cc NUPOS
IPF	NN	IPF NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
;	:	; : NUPOS
(	(	( ( NUPOS
3	LS	3 LS PennPOS
)	)	) ) NUPOS
the	DT	the dt NUPOS
change	NN	change NN PennPOS
in	IN	in IN PennPOS
alpha-SMA	NN	alpha-SMA NN PennPOS
and	CC	and cc NUPOS
procollagen	NN	procollagen NN PennPOS
I	NN	i NN PennPOS
(	(	( ( NUPOS
alpha1	NN	alpha1 NN PennPOS
)	)	) ) NUPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
response	NN	response NN PennPOS
to	TO	to p-acp NUPOS
TGFbeta1	NN	TGFbeta1 NN PennPOS
was	VBD	be vbd NUPOS
inhibited	VBN	inhibit VBN PennPOS
by	IN	by IN PennPOS
antioxidants	NNS	antioxidant NNS PennPOS
and	CC	and cc NUPOS
by	IN	by IN PennPOS
a	DT	a dt NUPOS
NOX4	NN	NOX4 NN PennPOS
small	JJ	small JJ PennPOS
interfering	VBG	interfere VBG PennPOS
RNA	NN	rna NN PennPOS
(	(	( ( NUPOS
siRNA	NN	siRNA NN PennPOS
)	)	) ) NUPOS
;	:	; : NUPOS
(	(	( ( NUPOS
4	LS	4 LS PennPOS
)	)	) ) NUPOS
