Differential	JJ	differential JJ PennPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
neutrophil	NN	neutrophil NN PennPOS
peptide-1	NN	peptide-1 NN PennPOS
on	IN	on IN PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
and	CC	and cc NUPOS
interleukin-8	NN	interleukin-8 NN PennPOS
production	NN	production NN PennPOS
by	IN	by IN PennPOS
human	JJ	human JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
and	CC	and cc NUPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

alpha-Defensins	NNS	alpha-defensin NNS PennPOS
,	,	, , NUPOS
antimicrobial	JJ	antimicrobial JJ PennPOS
peptides	NNS	peptide NNS PennPOS
produced	VBN	produce VBN PennPOS
mainly	RB	main av-j NUPOS
by	IN	by IN PennPOS
neutrophils	NNS	neutrophil NNS PennPOS
,	,	, , NUPOS
have	VBP	have vhb NUPOS
been	VBN	be vbn NUPOS
reported	VBN	report VBN PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
associated	VBN	associate VBN PennPOS
with	IN	with pp NUPOS
a	DT	a dt NUPOS
wide	JJ	wide JJ PennPOS
variety	NN	variety NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
cystic	JJ	cystic JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
CF	NN	cf NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
diffuse	JJ	diffuse JJ PennPOS
panbronchiolitis	NN	panbronchiolitis NN PennPOS
(	(	( ( NUPOS
DPB	NN	DPB NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
each	DT	each d NUPOS
disease	NN	disease NN PennPOS
,	,	, , NUPOS
alpha-defensins	NNS	alpha-defensin NNS PennPOS
are	VBP	be vbb NUPOS
located	JJ	located JJ PennPOS
in	IN	in IN PennPOS
different	JJ	different JJ PennPOS
areas	NNS	area NNS PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
around	IN	around IN PennPOS
the	DT	the dt NUPOS
alveolar	JJ	alveolar JJ PennPOS
septa	NN	septum NNS PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
around	IN	around IN PennPOS
the	DT	the dt NUPOS
airways	NNS	airway NNS PennPOS
in	IN	in IN PennPOS
CF	NN	cf NN PennPOS
and	CC	and cc NUPOS
DPB	NN	DPB NN PennPOS
,	,	, , NUPOS
suggesting	VBG	suggest VBG PennPOS
that	IN	that cst NUPOS
alpha-defensins	NNS	alpha-defensin NNS PennPOS
play	VBP	play VBP PennPOS
different	JJ	different JJ PennPOS
roles	NNS	role NNS PennPOS
.	.	. . NUPOS

Meanwhile	RB	meanwhile av NUPOS
,	,	, , NUPOS
growth	NN	growth NN PennPOS
factors	NNS	factor NNS PennPOS
are	VBP	be vbb NUPOS
known	VBN	know VBN PennPOS
to	TO	to p-acp NUPOS
contribute	VB	contribute VBP PennPOS
to	TO	to p-acp NUPOS
IPF	NNP	IPF NN PennPOS
,	,	, , NUPOS
CF	NN	cf NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
DPB	NNP	DPB NNP PennPOS
.	.	. . NUPOS

alpha-Defensins	NNS	alpha-defensin NNS PennPOS
are	VBP	be vbb NUPOS
known	VBN	know VBN PennPOS
to	TO	to p-acp NUPOS
induce	VB	induce VBP PennPOS
interleukin	NN	interleukin NN PennPOS
(	(	( ( NUPOS
IL	NN	IL NN PennPOS
)	)	) ) NUPOS
-8	CD	-8 CD PennPOS
in	IN	in IN PennPOS
airway	NN	airway NN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
the	DT	the dt NUPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
alpha-defensins	NNS	alpha-defensin NNS PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
release	NN	release NN PennPOS
of	IN	of pp-f NUPOS
growth	NN	growth NN PennPOS
factors	NNS	factor NNS PennPOS
from	IN	from pp NUPOS
various	JJ	various JJ PennPOS
components	NNS	component NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
have	VBP	have vhb NUPOS
not	RB	not xx NUPOS
been	VBN	be vbn NUPOS
sufficiently	RB	sufficient av-j NUPOS
investigated	VBN	investigate VBN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
the	DT	the dt NUPOS
present	JJ	present JJ PennPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
effects	NNS	effect NNS PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
neutrophil	NN	neutrophil NN PennPOS
peptide	NN	peptide NN PennPOS
(	(	( ( NUPOS
HNP	NN	HNP NN PennPOS
)	)	) ) NUPOS
-1	CD	-1 CD PennPOS
(	(	( ( NUPOS
a	DT	a dt NUPOS
subtype	NN	subtype NN PennPOS
of	IN	of pp-f NUPOS
alpha-defensin	NN	alpha-defensin NN PennPOS
)	)	) ) NUPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
IL-8	NN	IL-8 NN PennPOS
and	CC	and cc NUPOS
growth	NN	growth NN PennPOS
factors	NNS	factor NNS PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
bronchial	JJ	bronchial JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
were	VBD	be vbd NUPOS
examined	VBN	examine VBN PennPOS
.	.	. . NUPOS

HNP-1	NNP	HNP-1 NNP PennPOS
mainly	RB	main av-j NUPOS
enhanced	VBD	enhance VBD PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
IL-8	NN	IL-8 NN PennPOS
in	IN	in IN PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
,	,	, , NUPOS
whereas	IN	whereas cs NUPOS
it	PRP	it pn31 NUPOS
enhanced	VBD	enhance VBD PennPOS
transforming-growth-factor-beta	NN	transforming-growth-factor-beta NN PennPOS
and	CC	and cc NUPOS
