Role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
von	NN	Von np1 NUPOS
Hippel-Lindau	NN	Hippel-Lindau NN PennPOS
protein	NN	protein NN PennPOS
in	IN	in IN PennPOS
fibroblast	NN	fibroblast NN PennPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
exaggerated	JJ	exaggerated JJ PennPOS
fibroblast	NN	fibroblast NN PennPOS
proliferation	NN	proliferation NN PennPOS
and	CC	and cc NUPOS
accumulation	NN	accumulation NN PennPOS
of	IN	of pp-f NUPOS
collagens	NNS	collagen NNS PennPOS
and	CC	and cc NUPOS
fibronectin	NN	fibronectin NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
extracellular	JJ	extracellular JJ PennPOS
fibronectin	NN	fibronectin NN PennPOS
and	CC	and cc NUPOS
collagen	NN	collagen NN PennPOS
network	NN	network NN PennPOS
is	VBZ	be vbz NUPOS
regulated	VBN	regulate VBN PennPOS
by	IN	by IN PennPOS
von	NN	Von np1 NUPOS
Hippel-Lindau	NN	Hippel-Lindau NN PennPOS
protein	NN	protein NN PennPOS
(	(	( ( NUPOS
pVHL	NN	pVHL NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
it	PRP	it pn31 NUPOS
is	VBZ	be vbz NUPOS
unknown	JJ	unknown JJ PennPOS
whether	IN	whether cs NUPOS
pVHL	NN	pVHL NN PennPOS
contributes	VBZ	contribute VBZ PennPOS
to	TO	to p-acp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
lungs	NNS	lung NNS PennPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
expressed	VBD	express VBD PennPOS
increased	VBN	increase VBN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
in	IN	in IN PennPOS
fibroblastic	JJ	fibroblastic JJ PennPOS
foci	NNS	focus NNS PennPOS
.	.	. . NUPOS

Bleomycin	NN	bleomycin NN PennPOS
treatment	NN	treatment NN PennPOS
also	RB	also av NUPOS
induced	VBD	induce VBD PennPOS
pVHL	NN	pVHL NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
type	NN	type NN PennPOS
II	CD	II crd NUPOS
cells	NNS	cell NNS PennPOS
.	.	. . NUPOS

Overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
increased	VBD	increase VBD PennPOS
lung	NN	lung NN PennPOS
fibroblast	NN	fibroblast NN PennPOS
proliferation	NN	proliferation NN PennPOS
,	,	, , NUPOS
protein	NN	protein NN PennPOS
abundance	NN	abundance NN PennPOS
of	IN	of pp-f NUPOS
fibronectin	NN	fibronectin NN PennPOS
and	CC	and cc NUPOS
collagen	NN	collagen NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
extracellular	JJ	extracellular JJ PennPOS
fibronectin	NN	fibronectin NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
addition	NN	addition NN PennPOS
,	,	, , NUPOS
overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
induced	VBN	induce VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
a5	NN	a5 NN PennPOS
integrin	NN	integrin NN PennPOS
subunit	NN	subunit NN PennPOS
.	.	. . NUPOS

Overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
did	VBD	do vdd NUPOS
not	RB	not xx NUPOS
alter	VB	alter VBP PennPOS
hypoxia-inducible	JJ	hypoxia-inducible JJ PennPOS
factor	NN	factor NN PennPOS
luciferase	NN	luciferase NN PennPOS
reporter	NN	reporter NN PennPOS
activity	NN	activity NN PennPOS
and	CC	and cc NUPOS
mRNA	NN	mRNA NN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
vascular-endothelial-growth-factor	NN	vascular-endothelial-growth-factor NN PennPOS
.	.	. . NUPOS

Fibroblasts	NNS	fibroblast NNS PennPOS
overexpressing	VBG	overexpress VBG PennPOS
pVHL	NN	pVHL NN PennPOS
were	VBD	be vbd NUPOS
more	RBR	much RBR PennPOS
sensitive	JJ	sensitive JJ PennPOS
to	TO	to p-acp NUPOS
RGD	NN	RGD NN PennPOS
peptide-mediated	JJ	peptide-mediated JJ PennPOS
reduction	NN	reduction NN PennPOS
in	IN	in IN PennPOS
proliferation	NN	proliferation NN PennPOS
.	.	. . NUPOS

Activating	VBG	activate VBG PennPOS
a5	NN	a5 NN PennPOS
and	CC	and cc NUPOS
b1	NN	b1 NN PennPOS
integrin	NN	integrin NN PennPOS
increased	VBD	increase VBD PennPOS
proliferation	NN	proliferation NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
overexpressing	VBG	overexpress VBG PennPOS
pVHL	NN	pVHL NN PennPOS
and	CC	and cc NUPOS
those	DT	those d NUPOS
cells	NNS	cell NNS PennPOS
were	VBD	be vbd NUPOS
more	RBR	much RBR PennPOS
resistant	JJ	resistant JJ PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
inhibition	NN	inhibition NN PennPOS
of	IN	of pp-f NUPOS
a5	NN	a5 NN PennPOS
integrin	NN	integrin NN PennPOS
.	.	. . NUPOS

Overexpression	NN	overexpression NN PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
also	RB	also av NUPOS
increased	VBD	increase VBD PennPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
focal-adhesion-kinase	NN	focal-adhesion-kinase NN PennPOS
(	(	( ( NUPOS
FAK	NN	Fak NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Moreover	RB	moreover av NUPOS
,	,	, , NUPOS
suppression	NN	suppression NN PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
prevented	VBD	prevent VBD PennPOS
TGF-b1-induced	JJ	tgf-b1-induced JJ PennPOS
proliferation	NN	proliferation NN PennPOS
of	IN	of pp-f NUPOS
mouse	NN	mouse NN PennPOS
embryonic	JJ	embryonic JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Taken	VBN	take VBN PennPOS
together	RB	together av NUPOS
,	,	, , NUPOS
our	PRP$	our po12 NUPOS
results	NNS	result NNS PennPOS
indicate	VBP	indicate VBP PennPOS
that	IN	that cst NUPOS
elevated	JJ	elevated JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
pVHL	NN	pVHL NN PennPOS
results	VBZ	result VBZ PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
aberrant	JJ	aberrant JJ PennPOS
fibronectin	NN	fibronectin NN PennPOS
expression	NN	expression NN PennPOS
,	,	, , NUPOS
activation	NN	activation NN PennPOS
of	IN	of pp-f NUPOS
integrin/FAK	NN	integrin/FAK NN PennPOS
signaling	NN	signaling NN PennPOS
,	,	, , NUPOS
fibroblast	NN	fibroblast NN PennPOS
proliferation	NN	proliferation NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

