Participation	NN	participation NN PennPOS
of	IN	of pp-f NUPOS
miR-200	NN	miR-200 NN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Excessive	JJ	excessive JJ PennPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
production	NN	production NN PennPOS
by	IN	by IN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
in	IN	in IN PennPOS
response	NN	response NN PennPOS
to	TO	to p-acp NUPOS
tissue	NN	tissue NN PennPOS
injury	NN	injury NN PennPOS
contributes	VBZ	contribute VBZ PennPOS
to	TO	to p-acp NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
diseases	NNS	disease NNS PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
,	,	, , NUPOS
involving	VBG	involve VBG PennPOS
transition	NN	transition NN PennPOS
of	IN	of pp-f NUPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cells	NNS	cell NNS PennPOS
(	(	( ( NUPOS
AECs	NNS	aec NNS PennPOS
)	)	) ) NUPOS
to	TO	to p-acp NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
appears	VBZ	appear VBZ PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
an	DT	a dt NUPOS
important	JJ	important JJ PennPOS
contributory	JJ	contributory JJ PennPOS
process	NN	process NN PennPOS
to	TO	to p-acp NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Although	IN	although cs NUPOS
aberrant	JJ	aberrant JJ PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
microRNAs	NNS	microrna NNS PennPOS
(	(	( ( NUPOS
miRs	NNS	mir NNS PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
involved	VBN	involve VBN PennPOS
in	IN	in IN PennPOS
a	DT	a dt NUPOS
variety	NN	variety NN PennPOS
of	IN	of pp-f NUPOS
pathophysiologic	JJ	pathophysiologic JJ PennPOS
processes	NNS	process n2 NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
miRs	NNS	mir NNS PennPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
is	VBZ	be vbz NUPOS
less	RBR	little RBR PennPOS
well	RB	well av NUPOS
understood	VBN	understand VBN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
the	DT	the dt NUPOS
present	JJ	present JJ PennPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
miR-200a	NN	miR-200a NN PennPOS
,	,	, , NUPOS
miR-200b	NN	miR-200b NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
miR-200c	NN	miR-200c NN PennPOS
are	VBP	be vbb NUPOS
significantly	RB	significant av-j NUPOS
down-regulated	VBN	downregulate VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
experimental	JJ	experimental JJ PennPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
miR-200a	NN	miR-200a NN PennPOS
and	CC	and cc NUPOS
miR-200c	NN	miR-200c NN PennPOS
were	VBD	be vbd NUPOS
reduced	VBN	reduce VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

miR-200	NN	miR-200 NN PennPOS
had	VBD	have vhd NUPOS
greater	JJR	great JJR PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
AECs	NNS	aec NNS PennPOS
than	IN	than cs NUPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
AECs	NNS	aec NNS PennPOS
from	IN	from pp NUPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
experimental	JJ	experimental JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
had	VBD	have vhd NUPOS
diminished	VBN	diminish VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
miR-200	NN	miR-200 NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
miR-200	NN	miR-200 NN PennPOS
family	NN	family NN PennPOS
members	NNS	member NNS PennPOS
inhibit	VBP	inhibit VBP PennPOS
transforming-growth-factor-b1-induced	JJ	transforming-growth-factor-b1-induced JJ PennPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
of	IN	of pp-f NUPOS
AECs	NNS	aec NNS PennPOS
.	.	. . NUPOS

miR-200	NN	miR-200 NN PennPOS
family	NN	family NN PennPOS
members	NNS	member NNS PennPOS
can	MD	can vmb NUPOS
reverse	VB	reverse VBP PennPOS
the	DT	the dt NUPOS
fibrogenic	JJ	fibrogenic JJ PennPOS
activity	NN	activity NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
from	IN	from pp NUPOS
mice	NNS	mouse n2 NUPOS
with	IN	with pp NUPOS
experimental	JJ	experimental JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
from	IN	from pp NUPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

Indeed	RB	indeed av NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
introduction	NN	introduction NN PennPOS
of	IN	of pp-f NUPOS
miR-200c	NN	miR-200c NN PennPOS
diminishes	VBZ	diminish VBZ PennPOS
experimental	JJ	experimental JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
in	IN	in IN PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Thus	RB	thus av NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
miR-200	NN	miR-200 NN PennPOS
family	NN	family NN PennPOS
members	NNS	member NNS PennPOS
participate	VBP	participate VBP PennPOS
importantly	RB	important av-j NUPOS
in	IN	in IN PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
lung	NN	lung NN PennPOS
diseases	NNS	disease NNS PennPOS
and	CC	and cc NUPOS
suggest	VBP	suggest VBP PennPOS
that	IN	that cst NUPOS
restoring	VBG	restore VBG PennPOS
miR-200	NN	miR-200 NN PennPOS
expression	NN	expression NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lungs	NNS	lung NNS PennPOS
may	MD	may vmb NUPOS
represent	VB	represent VBP PennPOS
a	DT	a dt NUPOS
novel	JJ	novel JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
approach	NN	approach NN PennPOS
in	IN	in IN PennPOS
treating	VBG	treat VBG PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrotic	JJ	fibrotic JJ PennPOS
diseases	NNS	disease NNS PennPOS
.	.	. . NUPOS

