Sorafenib	NNP	Sorafenib NNP PennPOS
ameliorates	VBZ	ameliorate VBZ PennPOS
bleomycin-induced	JJ	bleomycin-induced JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
:	:	: : NUPOS
potential	JJ	potential JJ PennPOS
roles	NNS	role NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
inhibition	NN	inhibition NN PennPOS
of	IN	of pp-f NUPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
and	CC	and cc NUPOS
fibroblast	NN	fibroblast NN PennPOS
activation	NN	activation NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
serious	JJ	serious JJ PennPOS
progressive	JJ	progressive JJ PennPOS
and	CC	and cc NUPOS
irreversible	JJ	irreversible JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
with	IN	with pp NUPOS
unknown	JJ	unknown JJ PennPOS
etiology	NN	etiology NN PennPOS
and	CC	and cc NUPOS
few	JJ	few JJ PennPOS
treatment	NN	treatment NN PennPOS
options	NNS	option NNS PennPOS
.	.	. . NUPOS

This	DT	this d NUPOS
disease	NN	disease NN PennPOS
was	VBD	be vbd NUPOS
once	RB	once a-acp NUPOS
thought	VBN	think VBN PennPOS
to	TO	to p-acp NUPOS
be	VB	be vbi NUPOS
a	DT	a dt NUPOS
chronic	JJ	chronic JJ PennPOS
inflammatory-driven	JJ	inflammatory-driven JJ PennPOS
process	NN	process NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
it	PRP	it pn31 NUPOS
is	VBZ	be vbz NUPOS
increasingly	RB	increasing RB PennPOS
recognized	VBN	recognize VBN PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
(	(	( ( NUPOS
EMT	NN	emt NN PennPOS
)	)	) ) NUPOS
contributes	VBZ	contribute VBZ PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
cellular	JJ	cellular JJ PennPOS
origin	NN	origin NN PennPOS
of	IN	of pp-f NUPOS
fibroblast	NN	fibroblast NN PennPOS
accumulation	NN	accumulation NN PennPOS
in	IN	in IN PennPOS
response	NN	response NN PennPOS
