Type	NN	type NN PennPOS
V	NN	v NN PennPOS
collagen	NN	collagen NN PennPOS
induced	VBD	induce VBD PennPOS
tolerance	NN	tolerance NN PennPOS
suppresses	VBZ	suppress VBZ PennPOS
collagen	NN	collagen NN PennPOS
deposition	NN	deposition NN PennPOS
,	,	, , NUPOS
TGF-b	NN	TGF-b NN PennPOS
and	CC	and cc NUPOS
associated	VBN	associate VBN PennPOS
transcripts	NNS	transcript NNS PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

RATIONALE	NN	rationale NN PennPOS
:	:	: : NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
fatal	JJ	fatal JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
progressive	JJ	progressive JJ PennPOS
scarring	NN	scarring NN PennPOS
and	CC	and cc NUPOS
matrix	NN	matrix NN PennPOS
deposition	NN	deposition NN PennPOS
.	.	. . NUPOS

Recent	JJ	recent JJ PennPOS
reports	NNS	report NNS PennPOS
highlight	VBP	highlight VBP PennPOS
an	DT	a dt NUPOS
autoimmune	JJ	autoimmune JJ PennPOS
component	NN	component NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
pathogenesis	NN	pathogenesis NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
reported	VBN	report VBN PennPOS
anti-col	JJ	anti-col JJ PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
immunity	NN	immunity NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
objective	NN	objective NN PennPOS
of	IN	of pp-f NUPOS
our	PRP$	our po12 NUPOS
study	NN	study NN PennPOS
was	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
the	DT	the dt NUPOS
specificity	NN	specificity NN PennPOS
of	IN	of pp-f NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
expression	NN	expression NN PennPOS
profile	NN	profile NN PennPOS
and	CC	and cc NUPOS
anti-col	JJ	anti-col JJ PennPOS
(	(	( ( NUPOS
V	NN	v NN PennPOS
)	)	) ) NUPOS
immunity	NN	immunity NN PennPOS
relative	JJ	relative JJ PennPOS
to	TO	to p-acp NUPOS
col	NN	col NN PennPOS
(	(	( ( NUPOS
I	NN	i NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
clinical	JJ	clinical JJ PennPOS
IPF	NN	IPF NN PennPOS
