Sphingolipids	NNS	sphingolipid NNS PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
devastating	JJ	devastating JJ PennPOS
disease	NN	disease NN PennPOS
characterized	VBN	characterize VBN PennPOS
by	IN	by IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
injury	NN	injury NN PennPOS
,	,	, , NUPOS
accumulation	NN	accumulation NN PennPOS
of	IN	of pp-f NUPOS
fibroblasts/myofibroblasts	NNS	fibroblasts/myofibroblasts NNS PennPOS
and	CC	and cc NUPOS
deposition	NN	deposition NN PennPOS
of	IN	of pp-f NUPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
proteins	NNS	protein NNS PennPOS
.	.	. . NUPOS

Levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
sphingosine-1-phosphate	NN	sphingosine-1-phosphate NN PennPOS
(	(	( ( NUPOS
S1P	NN	S1P NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
naturally	RB	natural av-j NUPOS
occurring	VBG	occur VBG PennPOS
bioactive	JJ	bioactive JJ PennPOS
lipid	NN	lipid NN PennPOS
,	,	, , NUPOS
are	VBP	be vbb NUPOS
elevated	JJ	elevated JJ PennPOS
in	IN	in IN PennPOS
bronchoalveolar	JJ	bronchoalveolar JJ PennPOS
fluids	NNS	fluid NNS PennPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
tissues	NNS	tissue NNS PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
and	CC	and cc NUPOS
animal	NN	animal NN PennPOS
models	NNS	model NNS PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

However	RB	however a-acp NUPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
in	FW	in fw-la NUPOS
vivo	FW	vivo fw-la NUPOS
contribution	NN	contribution NN PennPOS
of	IN	of pp-f NUPOS
S1P	NN	S1P NN PennPOS
,	,	, , NUPOS
regulated	VBN	regulate VBN PennPOS
by	IN	by IN PennPOS
its	PRP$	its po31 NUPOS
synthesis	NN	synthesis NN PennPOS
catalyzed	VBN	catalyse VBN PennPOS
