Plasminogen	NN	plasminogen NN PennPOS
activator	NN	activator NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
1	CD	1 crd NUPOS
,	,	, , NUPOS
fibroblast	NN	fibroblast NN PennPOS
apoptosis	NN	apoptosis NN PennPOS
resistance	NN	resistance NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
aging-related	JJ	aging-related JJ PennPOS
susceptibility	NN	susceptibility NN PennPOS
to	TO	to p-acp NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
fatal	JJ	fatal JJ PennPOS
lung	NN	lung NN PennPOS
disorder	NN	disorder NN PennPOS
with	IN	with pp NUPOS
unknown	JJ	unknown JJ PennPOS
cause	NN	cause NN PennPOS
and	CC	and cc NUPOS
no	DT	no dx NUPOS
effective	JJ	effective JJ PennPOS
treatment	NN	treatment NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
incidence	NN	incidence NN PennPOS
of	IN	of pp-f NUPOS
and	CC	and cc NUPOS
mortality	NN	mortality NN PennPOS
from	IN	from pp NUPOS
IPF	NN	IPF NN PennPOS
increase	NN	increase NN PennPOS
with	IN	with pp NUPOS
age	NN	age NN PennPOS
,	,	, , NUPOS
suggesting	VBG	suggest VBG PennPOS
that	IN	that cst NUPOS
advanced	JJ	advanced JJ PennPOS
age	NN	age NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
major	JJ	major JJ PennPOS
risk	NN	risk NN PennPOS
factor	NN	factor NN PennPOS
for	IN	for c-acp NUPOS
IPF	NN	IPF NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
underlying	VBG	underlie VBG PennPOS
the	DT	the dt NUPOS
increased	VBN	increase VBN PennPOS
susceptibility	NN	susceptibility NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
elderly	JJ	elderly JJ PennPOS
to	TO	to p-acp NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
however	RB	however a-acp NUPOS
,	,	, , NUPOS
is	VBZ	be vbz NUPOS
unknown	JJ	unknown JJ PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
show	VBP	show VBP PennPOS
for	IN	for c-acp NUPOS
the	DT	the dt NUPOS
first	JJ	first JJ PennPOS
time	NN	time NN PennPOS
that	IN	that cst NUPOS
the	DT	the dt NUPOS
protein	NN	protein NN PennPOS
level	NN	level NN PennPOS
of	IN	of pp-f NUPOS
plasminogen-activator-inhibitor-1	NN	plasminogen-activator-inhibitor-1 NN PennPOS
(	(	( ( NUPOS
PAI-1	NN	PAI-1 NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
protease	NN	protease NN PennPOS
inhibitor	NN	inhibitor NN PennPOS
which	WDT	which r-crq NUPOS
plays	VBZ	play VBZ PennPOS
an	DT	a dt NUPOS
essential	JJ	essential JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
control	NN	control NN PennPOS
of	IN	of pp-f NUPOS
fibrinolysis	NN	fibrinolysis NN PennPOS
,	,	, , NUPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
increased	VBN	increase VBN PennPOS
with	IN	with pp NUPOS
age	NN	age NN PennPOS
in	IN	in IN PennPOS
mouse	NN	mouse NN PennPOS
lung	NN	lung NN PennPOS
homogenate	NN	homogenate NN PennPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Upon	IN	upon IN PennPOS
bleomycin	NN	bleomycin NN PennPOS
challenge	NN	challenge NN PennPOS
,	,	, , NUPOS
old	JJ	old JJ PennPOS
mice	NNS	mouse n2 NUPOS
experienced	VBD	experience VBD PennPOS
augmented	JJ	augmented JJ PennPOS
PAI-1	NN	PAI-1 NN PennPOS
induction	NN	induction NN PennPOS
and	CC	and cc NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
as	IN	as c-acp NUPOS
compared	VBN	compare VBN PennPOS
to	TO	to p-acp NUPOS
young	JJ	young JJ PennPOS
mice	NNS	mouse n2 NUPOS
.	.	. . NUPOS

Most	JJS	many JJS PennPOS
interestingly	RB	interesting RB PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
show	VBP	show VBP PennPOS
that	IN	that cst NUPOS
fewer	JJR	few JJR PennPOS
(	(	( ( NUPOS
myo	NN	Myo NN PennPOS
)	)	) ) NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
underwent	VBD	undergo VBD PennPOS
apoptosis	NN	apoptosis NN PennPOS
and	CC	and cc NUPOS
more	JJR	many JJR PennPOS
(	(	( ( NUPOS
myo	NN	Myo NN PennPOS
)	)	) ) NUPOS
fibroblasts	NNS	fibroblast NNS PennPOS
with	IN	with pp NUPOS
increased	VBN	increase VBN PennPOS
level	NN	level NN PennPOS
of	IN	of pp-f NUPOS
PAI-1	NN	PAI-1 NN PennPOS
accumulated	VBN	accumulate VBN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
of	IN	of pp-f NUPOS
