Upregulation	NN	upregulation NN PennPOS
of	IN	of pp-f NUPOS
alveolar	JJ	alveolar JJ PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
activin	NN	activin NN PennPOS
B	NN	b NN PennPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
not	RB	not xx NUPOS
activin	NN	activin NN PennPOS
A	NN	a NN PennPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
lungs	NNS	lung NNS PennPOS
of	IN	of pp-f NUPOS
west	JJ	w JJ PennPOS
highland	NN	highland NN PennPOS
white	JJ	white JJ PennPOS
terriers	NNS	terrier n2 NUPOS
with	IN	with pp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
diffuse	JJ	diffuse JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
damage	NN	damage NN PennPOS
.	.	. . NUPOS

Activins	NNP	Activins NNP PennPOS
,	,	, , NUPOS
cytokines	NNS	cytokine NNS PennPOS
belonging	VBG	belong VBG PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
transforming-growth-factor-b	JJ	transforming-growth-factor-b JJ PennPOS
superfamily	NN	superfamily NN PennPOS
,	,	, , NUPOS
have	VBP	have vhb NUPOS
an	DT	a dt NUPOS
important	JJ	important JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
inflammation	NN	inflammation NN PennPOS
and	CC	and cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Activin	NN	activin NN PennPOS
A	NN	a NN PennPOS
has	VBZ	have vdz NUPOS
been	VBN	be vbn NUPOS
suggested	VBN	suggest VBN PennPOS
to	TO	to p-acp NUPOS
participate	VB	participate VBP PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathophysiology	NN	pathophysiology NN PennPOS
of	IN	of pp-f NUPOS
human	JJ	human JJ PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
studies	NNS	study NNS PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
activin	NN	activin NN PennPOS
B	NN	b NN PennPOS
are	VBP	be vbb NUPOS
sparse	JJ	sparse JJ PennPOS
.	.	. . NUPOS

Canine	JJ	canine JJ PennPOS
IPF	NN	IPF NN PennPOS
(	(	( ( NUPOS
CIPF	NN	CIPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
an	DT	a dt NUPOS
incurable	JJ	incurable JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
occurring	VBG	occur VBG PennPOS
particularly	RB	particular av-j NUPOS
in	IN	in IN PennPOS
West	NNP	west NN PennPOS
Highland	NNP	highland NN PennPOS
white	JJ	white JJ PennPOS
terriers	NNS	terrier n2 NUPOS
(	(	( ( NUPOS
WHWTs	NNS	whwt NNS PennPOS
)	)	) ) NUPOS
