[	(	[ ( NUPOS
The	DT	the dt NUPOS
morphology	NN	morphology NN PennPOS
and	CC	and cc NUPOS
molecular	JJ	molecular JJ PennPOS
bases	NNS	base/basis NNS PennPOS
of	IN	of pp-f NUPOS
damage	NN	damage NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
stem	NN	stem NN PennPOS
cell	NN	cell NN PennPOS
niche	NN	niche NN PennPOS
of	IN	of pp-f NUPOS
respiratory	JJ	respiratory JJ PennPOS
acini	NNS	acinus NNS PennPOS
in	IN	in IN PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonias	NNS	pneumonia NNS PennPOS
]	)	] ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
authors	NNS	author NNS PennPOS
present	VBP	present VBP PennPOS
the	DT	the dt NUPOS
material	NN	material NN PennPOS
of	IN	of pp-f NUPOS
their	PRP$	their po32 NUPOS
study	NN	study NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
morphological	JJ	morphological JJ PennPOS
and	CC	and cc NUPOS
molecular	JJ	molecular JJ PennPOS
biological	JJ	biological JJ PennPOS
features	NNS	feature NNS PennPOS
of	IN	of pp-f NUPOS
damage	NN	damage NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
stem	NN	stem NN PennPOS
cell	NN	cell NN PennPOS
niches	NNS	niche n2 NUPOS
(	(	( ( NUPOS
SCN	NN	scn NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
respiratory	JJ	respiratory JJ PennPOS
acini	NNS	acinus NNS PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
significance	NN	significance NN PennPOS
of	IN	of pp-f NUPOS
their	PRP$	their po32 NUPOS
occurring	VBG	occur VBG PennPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
chronic	JJ	chronic JJ PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonias	NNS	pneumonia NNS PennPOS
(	(	( ( NUPOS
IIP	NN	IIP NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
including	VBG	include VBG PennPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
desquamative	JJ	desquamative JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
DIP	NN	dip NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
cryptogenic	JJ	cryptogenic JJ PennPOS
organizing	VBG	organize VBG PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
COP	NN	cop NN PennPOS
)	)	) ) NUPOS
with	IN	with pp NUPOS
bronchiolitis	NN	bronchiolitis NN PennPOS
obliterans	NNS	obliteran NNS PennPOS
(	(	( ( NUPOS
BO	NN	BO NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
nonspecific	JJ	nonspecific JJ PennPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
(	(	( ( NUPOS
NSIP	NN	NSIP NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

SUBJECTS	NNS	subject NNS PennPOS
AND	CC	and cc NUPOS
METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
study	NN	study NN PennPOS
was	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
using	VBG	use VBG PennPOS
open	JJ	open JJ PennPOS
transthoracic	JJ	transthoracic JJ PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
181	CD	181 CD PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
transbronchial	JJ	transbronchial JJ PennPOS
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
71	CD	71 crd NUPOS
)	)	) ) NUPOS
lung	NN	lung NN PennPOS
biopsies	NNS	biopsy NNS PennPOS
from	IN	from pp NUPOS
194	CD	194 CD PennPOS
patients	NNS	patient NNS PennPOS
(	(	( ( NUPOS
118	CD	118 crd NUPOS
cases	NNS	case NNS PennPOS
(	(	( ( NUPOS
61	CD	61 crd NUPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
35	CD	35 crd NUPOS
(	(	( ( NUPOS
18	CD	18 crd NUPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with pp NUPOS
NSIP	NN	NSIP NN PennPOS
,	,	, , NUPOS
23	CD	23 crd NUPOS
(	(	( ( NUPOS
12	CD	12 crd NUPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with pp NUPOS
DIP	NN	dip NN PennPOS
,	,	, , NUPOS
18	CD	18 crd NUPOS
(	(	( ( NUPOS
9	CD	9 crd NUPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
with	IN	with pp NUPOS
COP	NN	cop NN PennPOS
+	CC	+ CC PennPOS
BO	NN	BO NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
serial	NN	serial NN PennPOS
paraffin	NN	paraffin NN PennPOS
sections	NNS	section NNS PennPOS
were	VBD	be vbd NUPOS
stained	VBN	stain VBN PennPOS
with	IN	with pp NUPOS
hematoxylin	NN	hematoxylin NN PennPOS
and	CC	and cc NUPOS
eosin	NN	eosin NN PennPOS
and	CC	and cc NUPOS
van	NN	van NN PennPOS
Gieson	NNP	Gieson np1 NUPOS
's	POS	's POS PennPOS
picrofuchsin	NN	picrofuchsin NN PennPOS
and	CC	and cc NUPOS
immunohistochemical	JJ	immunohistochemical JJ PennPOS
reactions	NNS	reaction NNS PennPOS
were	VBD	be vbd NUPOS
carried	VBN	carry VBN PennPOS
out	RP	out RP PennPOS
to	TO	to p-acp NUPOS
detect	VB	detect VBP PennPOS
MMP-1	NN	MMP-1 NN PennPOS
,	,	, , NUPOS
MMP-2	NN	MMP-2 NN PennPOS
,	,	, , NUPOS
MMP-7	NN	MMP-7 NN PennPOS
,	,	, , NUPOS
Apo-Cas	NN	Apo-Cas NN PennPOS
(	(	( ( NUPOS
``	``	`` `` NONE
Novocastra	NNP	Novocastra NNP PennPOS
''	''	'' '' NONE
,	,	, , NUPOS
1:100	CD	1:100 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
vimentin	NN	vimentin NN PennPOS
(	(	( ( NUPOS
Vimentin	NN	vimentin NN PennPOS
)	)	) ) NUPOS
(	(	( ( NUPOS
``	``	`` `` NONE
LabVision	NN	LabVision NN PennPOS
''	''	'' '' NONE
1:100	CD	1:100 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
SMA	NN	sma NN PennPOS
(	(	( ( NUPOS
``	``	`` `` NONE
LabVision	NN	LabVision NN PennPOS
''	''	'' '' NONE
,	,	, , NUPOS
1:100	CD	1:100 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
TGF-b	NN	TGF-b NN PennPOS
,	,	, , NUPOS
TNF-a	NN	TNF-a NN PennPOS
,	,	, , NUPOS
CD34	NN	CD34 NN PennPOS
,	,	, , NUPOS
