Elevated	JJ	elevated JJ PennPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
and	CC	and cc NUPOS
serum	NN	serum NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

BACKGROUND	NN	background NN PennPOS
AND	CC	and cc NUPOS
OBJECTIVE	NN	objective NN PennPOS
:	:	: : NUPOS
IPF	NN	IPF NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
form	NN	form NN PennPOS
of	IN	of pp-f NUPOS
interstitial	JJ	interstitial JJ PennPOS
pneumonia	NN	pneumonia NN PennPOS
of	IN	of pp-f NUPOS
unknown	JJ	unknown JJ PennPOS
origin	NN	origin NN PennPOS
that	WDT	that WDT PennPOS
has	VBZ	have vdz NUPOS
a	DT	a dt NUPOS
poor	JJ	poor JJ PennPOS
prognosis	NN	prognosis NN PennPOS
for	IN	for c-acp NUPOS
which	WDT	which r-crq NUPOS
current	JJ	current JJ PennPOS
treatments	NNS	treatment NNS PennPOS
are	VBP	be vbb NUPOS
limited	VBN	limit VBN PennPOS
.	.	. . NUPOS

Recent	JJ	recent JJ PennPOS
studies	NNS	study NNS PennPOS
have	VBP	have vhb NUPOS
shown	VBN	show VBN PennPOS
that	IN	that cst NUPOS
EMT	NN	emt NN PennPOS
plays	VBZ	play VBZ PennPOS
a	DT	a dt NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
tumour	NN	tumour NN PennPOS
metastasis	NN	metastasis NN PennPOS
.	.	. . NUPOS

L1-CAM	NN	L1-CAM NN PennPOS
has	VBZ	have vdz NUPOS
also	RB	also av NUPOS
been	VBN	be vbn NUPOS
linked	VBN	link VBN PennPOS
to	TO	to p-acp NUPOS
EMT	NNP	emt NN PennPOS
during	IN	during pp NUPOS
tumour	NN	tumour NN PennPOS
development	NN	development NN PennPOS
and	CC	and cc NUPOS
tumour	NN	tumour NN PennPOS
metastasis	NN	metastasis NN PennPOS
.	.	. . NUPOS

Our	PRP$	our po12 NUPOS
aim	NN	aim NN PennPOS
was	VBD	be vbd NUPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
prospectively	RB	prospective av-jn NUPOS
the	DT	the dt NUPOS
level	NN	level NN PennPOS
of	IN	of pp-f NUPOS
L1-CAM	NN	L1-CAM NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
Forty	CD	forty crd NUPOS
consecutive	JJ	consecutive JJ PennPOS
Chinese	JJ	chinese JJ PennPOS
patients	NNS	patient NNS PennPOS
(	(	( ( NUPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
16	CD	16 crd NUPOS
;	:	; : NUPOS
LC	NNP	lc NN PennPOS
,	,	, , NUPOS
12	CD	12 crd NUPOS
;	:	; : NUPOS
and	CC	and cc NUPOS
CC	NN	cc NN PennPOS
,	,	, , NUPOS
12	CD	12 crd NUPOS
)	)	) ) NUPOS
,	,	, , NUPOS
but	CC	but cc-acp NUPOS
no	DT	no dx NUPOS
apparent	JJ	apparent JJ PennPOS
lung	NN	lung NN PennPOS
or	CC	or cc NUPOS
other	JJ	other JJ PennPOS
organ	NN	organ NN PennPOS
's	POS	's POS PennPOS
diseases	NNS	disease NNS PennPOS
were	VBD	be vbd NUPOS
enrolled	VBN	enrol vvn NUPOS
.	.	. . NUPOS

Soluble	JJ	soluble JJ PennPOS
L1-CAM	NN	L1-CAM NN PennPOS
(	(	( ( NUPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
,	,	, , NUPOS
PDGF	NN	PDGF NN PennPOS
,	,	, , NUPOS
y-INF	NN	y-INF NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
and	CC	and cc NUPOS
serum	NN	serum NN PennPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
were	VBD	be vbd NUPOS
measured	VBN	measure VBN PennPOS
using	VBG	use VBG PennPOS
ELISA	NN	elisa NN PennPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
BALF	NN	BALF NN PennPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
levels	NNS	level NNS PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
LC	NN	lc NN PennPOS
and	CC	and cc NUPOS
CC	NN	cc NN PennPOS
patients	NNS	patient NNS PennPOS
were	VBD	be vbd NUPOS
10.87	CD	10.87 CD PennPOS
0.88	CD	0.88 CD PennPOS
ng/mL	NN	ng/mL NN PennPOS
,	,	, , NUPOS
6.34	CD	6.34 CD PennPOS
0.67	CD	0.67 CD PennPOS
ng/mL	NN	ng/mL NN PennPOS
and	CC	and cc NUPOS
5.43	CD	5.43 CD PennPOS
0.65	CD	0.65 CD PennPOS
ng/mL	NN	ng/mL NN PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
.	.	. . NUPOS

BALF	NN	BALF NN PennPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
concentration	NN	concentration NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
patients	NNS	patient NNS PennPOS
was	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
than	IN	than cs NUPOS
that	DT	that d NUPOS
in	IN	in IN PennPOS
LC	NN	lc NN PennPOS
and	CC	and cc NUPOS
in	IN	in IN PennPOS
CC	NN	cc NN PennPOS
patients	NNS	patient NNS PennPOS
.	.	. . NUPOS

Besides	IN	besides IN PennPOS
,	,	, , NUPOS
serum	NN	serum NN PennPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
,	,	, , NUPOS
LC	NN	lc NN PennPOS
and	CC	and cc NUPOS
CC	NN	cc NN PennPOS
were	VBD	be vbd NUPOS
9.60	CD	9.60 CD PennPOS
1.41	CD	1.41 CD PennPOS
ng/mL	NN	ng/mL NN PennPOS
,	,	, , NUPOS
9.82	CD	9.82 CD PennPOS
0.72	CD	0.72 CD PennPOS
ng/mL	NN	ng/mL NN PennPOS
and	CC	and cc NUPOS
5.41	CD	5.41 CD PennPOS
1.07	CD	1.07 CD PennPOS
ng/mL	NN	ng/mL NN PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
serum	NN	serum NN PennPOS
sL1-CAM	NN	sL1-CAM NN PennPOS
levels	NNS	level NNS PennPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
LC	NN	lc NN PennPOS
were	VBD	be vbd NUPOS
significantly	RB	significant av-j NUPOS
higher	JJR	high JJR PennPOS
than	IN	than cs NUPOS
those	DT	those d NUPOS
in	IN	in IN PennPOS
patients	NNS	patient NNS PennPOS
with	IN	with pp NUPOS
CC	NN	cc NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 CD PennPOS
,	,	, , NUPOS
respectively	RB	respective av-j NUPOS
)	)	) ) NUPOS
.	.	. . NUPOS

