Contribution	NN	contribution NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
anaphylatoxin	NN	anaphylatoxin NN PennPOS
receptors	NNS	receptor NNS PennPOS
,	,	, , NUPOS
C3aR	NN	C3aR NN PennPOS
and	CC	and cc NUPOS
C5aR	NN	C5aR NN PennPOS
,	,	, , NUPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

Complement	NN	complement NN PennPOS
activation	NN	activation NN PennPOS
,	,	, , NUPOS
an	DT	a dt NUPOS
integral	JJ	integral JJ PennPOS
arm	NN	arm NN PennPOS
of	IN	of pp-f NUPOS
innate	JJ	innate JJ PennPOS
immunity	NN	immunity NN PennPOS
,	,	, , NUPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
the	DT	the dt NUPOS
critical	JJ	critical JJ PennPOS
link	NN	link NN PennPOS
to	TO	to p-acp NUPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Whereas	IN	whereas cs NUPOS
we	PRP	we pns12 NUPOS
have	VBP	have vhb NUPOS
previously	RB	previous av-j NUPOS
reported	VBN	report VBN PennPOS
elevated	JJ	elevated JJ PennPOS
anaphylatoxins-complement	NN	anaphylatoxins-complement NN PennPOS
component	NN	component NN PennPOS
3a	NN	3a NN PennPOS
(	(	( ( NUPOS
C3a	NN	C3a NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
complement	NN	complement NN PennPOS
component	NN	component NN PennPOS
5a	NN	5a NN PennPOS
(	(	( ( NUPOS
C5a	NN	C5a NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
in	IN	in IN PennPOS
IPF	NNP	IPF NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
interact	VBP	interact VBP PennPOS
with	IN	with pp NUPOS
TGF-b	NN	TGF-b NN PennPOS
and	CC	and cc NUPOS
augment	VBP	augment VBP PennPOS
epithelial	JJ	epithelial JJ PennPOS
injury	NN	injury NN PennPOS
in	FW	in fw-la NUPOS
vitro	FW	vitro FW PennPOS
,	,	, , NUPOS
their	PRP$	their po32 NUPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
pathogenesis	NN	pathogenesis NN PennPOS
remains	VBZ	remain VBZ PennPOS
unclear	JJ	unclear JJ PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
objective	NN	objective NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
current	JJ	current JJ PennPOS
study	NN	study NN PennPOS
is	VBZ	be vbz NUPOS
to	TO	to p-acp NUPOS
determine	VB	determine VBP PennPOS
the	DT	the dt NUPOS
mechanistic	JJ	mechanistic JJ PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
binding	NN	binding NN PennPOS
of	IN	of pp-f NUPOS
C3a/C5a	NN	C3a/C5a NN PennPOS
to	TO	to p-acp NUPOS
their	PRP$	their po32 NUPOS
respective	JJ	respective JJ PennPOS
receptors	NNS	receptor NNS PennPOS
(	(	( ( NUPOS
C3aR	NN	C3aR NN PennPOS
and	CC	and cc NUPOS
C5aR	NN	C5aR NN PennPOS
)	)	) ) NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
progression	NN	progression NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
normal	JJ	normal JJ PennPOS
primary	JJ	primary JJ PennPOS
human	JJ	human JJ PennPOS
fetal	JJ	fetal JJ PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
,	,	, , NUPOS
C3a	NN	C3a NN PennPOS
