Effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
Renshen	NNP	Renshen NNP PennPOS
Pingfei	NNP	Pingfei NNP PennPOS
Decoction	NNP	decoction NN PennPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
traditional	JJ	traditional JJ PennPOS
Chinese	JJ	chinese JJ PennPOS
prescription	NN	prescription NN PennPOS
,	,	, , NUPOS
on	IN	on IN PennPOS
IPF	NN	IPF NN PennPOS
induced	VBN	induce VBN PennPOS
by	IN	by IN PennPOS
Bleomycin	NN	bleomycin NN PennPOS
in	IN	in IN PennPOS
rats	NNS	rat NNS PennPOS
and	CC	and cc NUPOS
regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
/	:	/ : NUPOS
Smad3	NN	Smad3 NN PennPOS
.	.	. . NUPOS

AIM	NN	aim NN PennPOS
OF	IN	of pp-f NUPOS
THE	DT	the dt NUPOS
STUDY	NN	study NN PennPOS
:	:	: : NUPOS
Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
one	CD	one crd NUPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
clinical	JJ	clinical JJ PennPOS
common	JJ	common JJ PennPOS
diseases	NNS	disease NNS PennPOS
,	,	, , NUPOS
shares	NNS	share n2 NUPOS
similar	JJ	similar JJ PennPOS
pathogenesis	NN	pathogenesis NN PennPOS
with	IN	with pp NUPOS
ancient	JJ	ancient JJ PennPOS
disease	NN	disease NN PennPOS
``	``	`` `` NONE
Feibi	NNP	Feibi NNP PennPOS
''	''	'' '' NONE
in	IN	in IN PennPOS
Chinese	JJ	chinese JJ PennPOS
medicine	NN	medicine NN PennPOS
,	,	, , NUPOS
Renshen	NN	Renshen NN PennPOS
pingfei	NN	pingfei NN PennPOS
decoction	NN	decoction NN PennPOS
(	(	( ( NUPOS
RPFS	NN	RPFS NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
classical	JJ	classical JJ PennPOS
prescription	NN	prescription NN PennPOS
,	,	, , NUPOS
was	VBD	be vbd NUPOS
commonly	RB	common av-j NUPOS
used	VBN	use VBN PennPOS
in	IN	in IN PennPOS
treating	VBG	treat VBG PennPOS
Feibi	NNP	Feibi NNP PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
the	DT	the dt NUPOS
current	JJ	current JJ PennPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
protective	JJ	protective JJ PennPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
RPFS	NN	RPFS NN PennPOS
in	IN	in IN PennPOS
rats	NNS	rat NNS PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
via	IN	via IN PennPOS
regulation	NN	regulation NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
/	:	/ : NUPOS
Smad3	NN	Smad3 NN PennPOS
,	,	, , NUPOS
were	VBD	be vbd NUPOS
evaluated	VBN	evaluate VBN PennPOS
and	CC	and cc NUPOS
explored	VBN	explore VBN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
The	DT	the dt NUPOS
chemicals	NNS	chemical NNS PennPOS
of	IN	of pp-f NUPOS
RPFS	NNS	rpf NNS PennPOS
were	VBD	be vbd NUPOS
analyzed	VBN	analyse VBN PennPOS
by	IN	by IN PennPOS
UPLC-QTOF-MS	NN	UPLC-QTOF-MS NN PennPOS
.	.	. . NUPOS

Under	IN	under IN PennPOS
the	DT	the dt NUPOS
optimized	VBN	optimize VBN PennPOS
chromatographic	JJ	chromatographic JJ PennPOS
and	CC	and cc NUPOS
MS	NN	MS NN PennPOS
condition	NN	condition NN PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
major	JJ	major JJ PennPOS
components	NNS	component NNS PennPOS
in	IN	in IN PennPOS
RPFS	NNS	rpf NNS PennPOS
were	VBD	be vbd NUPOS
well	RB	well av NUPOS
separated	VBN	separate VBN PennPOS
and	CC	and cc NUPOS
detected	VBN	detect VBN PennPOS
.	.	. . NUPOS

An	DT	a dt NUPOS
IPF	NN	IPF NN PennPOS
model	NN	model NN PennPOS
was	VBD	be vbd NUPOS
established	VBN	establish VBN PennPOS
in	IN	in IN PennPOS
rats	NNS	rat NNS PennPOS
which	WDT	which r-crq NUPOS
were	VBD	be vbd NUPOS
induced	VBN	induce VBN PennPOS
with	IN	with pp NUPOS
Bleomycin	NN	bleomycin NN PennPOS
(	(	( ( NUPOS
BLM	NN	Blm NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

After	IN	after c-acp NUPOS
treated	VBN	treat VBN PennPOS
with	IN	with pp NUPOS
corresponding	JJ	corresponding JJ PennPOS
medicine	NN	medicine NN PennPOS
for	IN	for c-acp NUPOS
7	CD	7 crd NUPOS
days	NNS	day n2 NUPOS
,	,	, , NUPOS
14	CD	14 crd NUPOS
days	NNS	day n2 NUPOS
,	,	, , NUPOS
21	CD	21 crd NUPOS
days	NNS	day n2 NUPOS
and	CC	and cc NUPOS
28	CD	28 crd NUPOS
days	NNS	day n2 NUPOS
respectively	RB	respective av-j NUPOS
,	,	, , NUPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
of	IN	of pp-f NUPOS
rats	NNS	rat NNS PennPOS
were	VBD	be vbd NUPOS
measured	VBN	measure VBN PennPOS
;	:	; : NUPOS
peripheral	JJ	peripheral JJ PennPOS
blood	NN	blood NN PennPOS
and	CC	and cc NUPOS
bronchoalveolar	JJ	bronchoalveolar JJ PennPOS
lavage	NN	lavage NN PennPOS
fluid	NN	fluid NN PennPOS
(	(	( ( NUPOS
BALF	NN	BALF NN PennPOS
)	)	) ) NUPOS
were	VBD	be vbd NUPOS
assessed	VBN	assess VBN PennPOS
;	:	; : NUPOS
histopathological	JJ	histopathological JJ PennPOS
changes	NNS	change NNS PennPOS
and	CC	and cc NUPOS
homogenate	NN	homogenate NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
were	VBD	be vbd NUPOS
detected	VBN	detect VBN PennPOS
;	:	; : NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
Smad3	NN	Smad3 NN PennPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
expressions	NNS	expression NNS PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
were	VBD	be vbd NUPOS
examined	VBN	examine VBN PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
.	.	. . NUPOS

RESULTS	NNS	result NNS PennPOS
:	:	: : NUPOS
43	CD	43 CD PennPOS
signal	NN	signal NN PennPOS
peaks	NNS	peak NNS PennPOS
of	IN	of pp-f NUPOS
chemical	NN	chemical NN PennPOS
components	NNS	component NNS PennPOS
in	IN	in IN PennPOS
RPFS	NNS	rpf NNS PennPOS
were	VBD	be vbd NUPOS
identified	VBN	identify VBN PennPOS
by	IN	by IN PennPOS
UPLC-QTOF-MS	NN	UPLC-QTOF-MS NN PennPOS
method	NN	method NN PennPOS
.	.	. . NUPOS

Compared	VBN	compare VBN PennPOS
with	IN	with pp NUPOS
model	NN	model NN PennPOS
group	NN	group NN PennPOS
,	,	, , NUPOS
RPFS	NN	RPFS NN PennPOS
group	NN	group NN PennPOS
exerted	VBD	exert VBD PennPOS
significant	JJ	significant JJ PennPOS
effects	NNS	effect NNS PennPOS
on	IN	on IN PennPOS
IPF	NN	IPF NN PennPOS
model	NN	model NN PennPOS
rats	NNS	rat NNS PennPOS
in	IN	in IN PennPOS
improving	VBG	improve VBG PennPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
and	CC	and cc NUPOS
decreasing	VBG	decrease VBG PennPOS
HYP	NN	hyp NN PennPOS
content	NN	content NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
reducing	VBG	reduce VBG PennPOS
the	DT	the dt NUPOS
level	NN	level NN PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
NFkB	NN	NFkB NN PennPOS
in	IN	in IN PennPOS
BALF	NN	BALF NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
decreasing	VBG	decrease VBG PennPOS
SOD	NN	sod NN PennPOS
and	CC	and cc NUPOS
MDA	NN	MDA NN PennPOS
level	NN	level NN PennPOS
in	IN	in IN PennPOS
serum	NN	serum NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
down-regulating	JJ	down-regulating JJ PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
and	CC	and cc NUPOS
Smad3	NN	Smad3 NN PennPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
(	(	( ( NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.01	CD	0.01 CD PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

CONCLUSION	NN	conclusion NN PennPOS
:	:	: : NUPOS
RPFS	NNS	rpf NNS PennPOS
could	MD	can vmd NUPOS
reduce	VB	reduce VBP PennPOS
the	DT	the dt NUPOS
lung	NN	lung NN PennPOS
injury	NN	injury NN PennPOS
and	CC	and cc NUPOS
fibrosis	NN	fibrosis NN PennPOS
degree	NN	degree NN PennPOS
and	CC	and cc NUPOS
improve	VB	improve VBP PennPOS
lung	NN	lung NN PennPOS
function	NN	function NN PennPOS
of	IN	of pp-f NUPOS
IPF	NN	IPF NN PennPOS
model	NN	model NN PennPOS
rats	NNS	rat NNS PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
protective	JJ	protective JJ PennPOS
role	NN	role NN PennPOS
might	MD	may vmd NUPOS
mediated	VBN	mediate VBN PennPOS
by	IN	by IN PennPOS
down-regulating	JJ	down-regulating JJ PennPOS
TGF-b1	NN	TGF-b1 NN PennPOS
/	:	/ : NUPOS
Smad3	NN	Smad3 NN PennPOS
signaling	NN	signaling NN PennPOS
pathway	NN	pathway NN PennPOS
.	.	. . NUPOS

