Establishment	NN	establishment NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
mouse	NN	mouse NN PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
acute	JJ	acute JJ PennPOS
exacerbation	NN	exacerbation NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

PURPOSE	NN	purpose NN PennPOS
:	:	: : NUPOS
To	TO	to p-acp NUPOS
explore	VB	explore VBP PennPOS
and	CC	and cc NUPOS
establish	VB	establish VBP PennPOS
an	DT	a dt NUPOS
animal	NN	animal NN PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
.	.	. . NUPOS

METHODS	NNS	method NNS PennPOS
:	:	: : NUPOS
An	DT	a dt NUPOS
animal	NN	animal NN PennPOS
model	NN	model NN PennPOS
of	IN	of pp-f NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
was	VBD	be vbd NUPOS
established	VBN	establish VBN PennPOS
using	VBG	use VBG PennPOS
bleomycin	NN	bleomycin NN PennPOS
(	(	( ( NUPOS
BLM	NN	Blm NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Then	RB	then av NUPOS
,	,	, , NUPOS
BLM	NNP	Blm NN PennPOS
was	VBD	be vbd NUPOS
administered	VBN	administer VBN PennPOS
a	DT	a dt NUPOS
second	JJ	second JJ PennPOS
time	NN	time NN PennPOS
on	IN	on IN PennPOS
day	NN	day NN PennPOS
21	CD	21 crd NUPOS
to	TO	to p-acp NUPOS
induce	VB	induce VBP PennPOS
AE-IPF	NN	AE-IPF NN PennPOS
(	(	( ( NUPOS
which	WDT	which r-crq NUPOS
mimics	VBZ	mimic VBZ PennPOS
human	JJ	human JJ PennPOS
AE-IPF	NN	AE-IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Evaluation	NN	evaluation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
success	NN	success NN PennPOS
of	IN	of pp-f NUPOS
animal	NN	animal NN PennPOS
model	NN	model NN PennPOS
was	VBD	be vbd NUPOS
based	VBN	base vvn NUPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
survival	NN	survival NN PennPOS
of	IN	of pp-f NUPOS
mice	NNS	mouse n2 NUPOS
,	,	, , NUPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
assessment	NN	assessment NN PennPOS
of	IN	of pp-f NUPOS
pathological	JJ	pathological JJ PennPOS
changes	NNS	change NNS PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
tissue	NN	tissue NN PennPOS
.	.	. . NUPOS

Preliminary	JJ	preliminary JJ PennPOS
investigation	NN	investigation NN PennPOS
into	IN	into pp NUPOS
the	DT	the dt NUPOS
immunological	JJ	immunological JJ PennPOS
mechanism	NN	mechanism NN PennPOS
of	IN	of pp-f NUPOS
AE-IPF	NN	AE-IPF NN PennPOS
was	VBD	be vbd NUPOS
also	RB	also av NUPOS
explored	VBN	explore VBN PennPOS
via	IN	via IN PennPOS
the	DT	the dt NUPOS
detection	NN	detection NN PennPOS
and	CC	and cc NUPOS
identification	NN	identification NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
inflammatory	JJ	inflammatory JJ PennPOS
cells	NNS	cell NNS PennPOS
in	IN	in IN PennPOS
mouse	NN	mouse NN PennPOS
bronchoalveolar	JJ	bronchoalveolar JJ PennPOS
lavage	NN	lavage NN PennPOS
fluid	NN	fluid NN PennPOS
(	(	( ( NUPOS
BALF	NN	BALF NN PennPOS
)	)	) ) NUPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
concentrations	NNS	concentration NNS PennPOS
of	IN	of pp-f NUPOS
six	CD	six crd NUPOS
cytokines	NNS	cytokine NNS PennPOS
(	(	( ( NUPOS
IL-4	NN	IL-4 NN PennPOS
