MicroRNA-29c	NN	MicroRNA-29c NN PennPOS
regulates	VBZ	regulate VBZ PennPOS
apoptosis	NN	apoptosis NN PennPOS
sensitivity	NN	sensitivity NN PennPOS
via	IN	via IN PennPOS
modulation	NN	modulation NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
cell-surface	JJ	cell-surface JJ PennPOS
death	NN	death NN PennPOS
receptor	NN	receptor NN PennPOS
,	,	, , NUPOS
Fas	NN	fas NN PennPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

UNASSIGNED	NNP	UNASSIGNED NNP PennPOS
:	:	: : NUPOS
MicroRNAs	NNS	microrna NNS PennPOS
play	VBP	play VBP PennPOS
an	DT	a dt NUPOS
important	JJ	important JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
development	NN	development NN PennPOS
and	CC	and cc NUPOS
progression	NN	progression NN PennPOS
of	IN	of pp-f NUPOS
various	JJ	various JJ PennPOS
diseases	NNS	disease NNS PennPOS
,	,	, , NUPOS
such	JJ	such JJ PennPOS
as	IN	as c-acp NUPOS
idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

Although	IN	although cs NUPOS
the	DT	the dt NUPOS
accumulation	NN	accumulation NN PennPOS
of	IN	of pp-f NUPOS
aberrant	JJ	aberrant JJ PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
resistant	JJ	resistant JJ PennPOS
to	TO	to p-acp NUPOS
apoptosis	NN	apoptosis NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
hallmark	NN	hallmark NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
,	,	, , NUPOS
the	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
regulating	VBG	regulate VBG PennPOS
apoptosis	NN	apoptosis NN PennPOS
susceptibility	NN	susceptibility NN PennPOS
is	VBZ	be vbz NUPOS
not	RB	not xx NUPOS
fully	RB	full av-j NUPOS
understood	VBN	understand VBN PennPOS
.	.	. . NUPOS

Here	RB	here av NUPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
miR-29	NN	miR-29 NN PennPOS
,	,	, , NUPOS
which	WDT	which r-crq NUPOS
is	VBZ	be vbz NUPOS
the	DT	the dt NUPOS
most	RBS	much RBS PennPOS
downregulated	JJ	downregulated JJ PennPOS
microRNA	NN	microRNA NN PennPOS
in	IN	in IN PennPOS
IPF	NN	IPF NN PennPOS
lungs	NNS	lung NNS PennPOS
and	CC	and cc NUPOS
is	VBZ	be vbz NUPOS
also	RB	also av NUPOS
known	VBN	know VBN PennPOS
as	IN	as c-acp NUPOS
a	DT	a dt NUPOS
regulator	NN	regulator NN PennPOS
of	IN	of pp-f NUPOS
extracellular	JJ	extracellular JJ PennPOS
matrix	NN	matrix NN PennPOS
(	(	( ( NUPOS
ECM	NN	ecm NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
mechanism	NN	mechanism NN PennPOS
of	IN	of pp-f NUPOS
apoptosis	NN	apoptosis NN PennPOS
resistance	NN	resistance NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
found	VBD	find VBD PennPOS
that	IN	that cst NUPOS
functional	JJ	functional JJ PennPOS
inhibition	NN	inhibition NN PennPOS
of	IN	of pp-f NUPOS
miR-29c	NN	miR-29c NN PennPOS
caused	VBD	cause VBD PennPOS
resistance	NN	resistance NN PennPOS
to	TO	to p-acp NUPOS
Fas-mediated	JJ	fas-mediated JJ PennPOS
apoptosis	NN	apoptosis NN PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Furthermore	RB	furthermore av NUPOS
,	,	, , NUPOS
experiments	NNS	experiment NNS PennPOS
using	VBG	use VBG PennPOS
miR-29c	JJ	mir-29c JJ PennPOS
inhibitor	NN	inhibitor NN PennPOS
and	CC	and cc NUPOS
miR-29c	NN	miR-29c NN PennPOS
mimic	VBP	mimic VBP PennPOS
revealed	VBD	reveal VBD PennPOS
that	IN	that cst NUPOS
miR-29c	NN	miR-29c NN PennPOS
regulated	VBN	regulate VBN PennPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
the	DT	the dt NUPOS
death	NN	death NN PennPOS
receptor	NN	receptor NN PennPOS
,	,	, , NUPOS
Fas	NN	fas NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
formation	NN	formation NN PennPOS
of	IN	of pp-f NUPOS
death-inducing	JJ	death-inducing JJ PennPOS
signaling	NN	signaling NN PennPOS
complex	NN	complex NN PennPOS
(	(	( ( NUPOS
DISC	NN	disc NN PennPOS
)	)	) ) NUPOS
leading	VBG	lead VBG PennPOS
to	TO	to p-acp NUPOS
extrinsic	JJ	extrinsic JJ PennPOS
apoptosis	NN	apoptosis NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
representative	JJ	representative JJ PennPOS
profibrotic	JJ	profibrotic JJ PennPOS
transforming	VBG	transform VBG PennPOS
growth	NN	growth NN PennPOS
factor	NN	factor NN PennPOS
(	(	( ( NUPOS
TGF	NN	tgf NN PennPOS
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
downregulated	VBD	downregulate VBD PennPOS
the	DT	the dt NUPOS
expression	NN	expression NN PennPOS
of	IN	of pp-f NUPOS
miR-29c	NN	miR-29c NN PennPOS
as	RB	as a-acp NUPOS
well	RB	well av NUPOS
as	IN	as c-acp NUPOS
Fas	NN	fas NN PennPOS
receptor	NN	receptor NN PennPOS
,	,	, , NUPOS
and	CC	and cc NUPOS
conferred	VBD	confer VBD PennPOS
resistance	NN	resistance NN PennPOS
to	TO	to p-acp NUPOS
apoptosis	NN	apoptosis NN PennPOS
.	.	. . NUPOS

We	PRP	we pns12 NUPOS
