Sirtuin	NNP	Sirtuin NNP PennPOS
7	CD	7 crd NUPOS
is	VBZ	be vbz NUPOS
decreased	VBN	decrease VBN PennPOS
in	IN	in IN PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
and	CC	and cc NUPOS
regulates	VBZ	regulate VBZ PennPOS
the	DT	the dt NUPOS
fibrotic	JJ	fibrotic JJ PennPOS
phenotype	NN	phenotype NN PennPOS
of	IN	of pp-f NUPOS
lung	NN	lung NN PennPOS
fibroblasts	NNS	fibroblast NNS PennPOS
.	.	. . NUPOS

Pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
severe	JJ	severe JJ PennPOS
condition	NN	condition NN PennPOS
with	IN	with pp NUPOS
no	DT	no dx NUPOS
cure	NN	cure NN PennPOS
and	CC	and cc NUPOS
limited	JJ	limited JJ PennPOS
therapeutic	JJ	therapeutic JJ PennPOS
options	NNS	option NNS PennPOS
.	.	. . NUPOS

A	DT	a dt NUPOS
better	JJR	good jc NUPOS
understanding	NN	understanding NN PennPOS
of	IN	of pp-f NUPOS
its	PRP$	its po31 NUPOS
pathophysiology	NN	pathophysiology NN PennPOS
is	VBZ	be vbz NUPOS
needed	VBN	need VBN PennPOS
.	.	. . NUPOS

Recent	JJ	recent JJ PennPOS
studies	NNS	study NNS PennPOS
have	VBP	have vhb NUPOS
suggested	VBN	suggest VBN PennPOS
that	IN	that cst NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
may	MD	may vmb NUPOS
be	VB	be vbi NUPOS
driven	VBN	drive VBN PennPOS
by	IN	by IN PennPOS
accelerated	VBN	accelerate VBN PennPOS
aging-related	JJ	aging-related JJ PennPOS
mechanisms	NNS	mechanism NNS PennPOS
.	.	. . NUPOS

Sirtuins	NNS	sirtuin NNS PennPOS
(	(	( ( NUPOS
SIRTs	NNS	sirt NNS PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
