Interleukin-17	NN	Interleukin-17 NN PennPOS
induces	VBZ	induce VBZ PennPOS
human	JJ	human JJ PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
to	TO	to p-acp NUPOS
mesenchymal	JJ	mesenchymal JJ PennPOS
cell	NN	cell NN PennPOS
transition	NN	transition NN PennPOS
via	IN	via IN PennPOS
the	DT	the dt NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
mediated	VBD	mediate VBD PennPOS
Smad2/3	NN	Smad2/3 NN PennPOS
and	CC	and cc NUPOS
ERK1/2	NN	ERK1/2 NN PennPOS
activation	NN	activation NN PennPOS
.	.	. . NUPOS

Idiopathic	JJ	idiopathic JJ PennPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
(	(	( ( NUPOS
IPF	NN	IPF NN PennPOS
)	)	) ) NUPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
chronic	JJ	chronic JJ PennPOS
and	CC	and cc NUPOS
usually	RB	usual av-j NUPOS
progressive	JJ	progressive JJ PennPOS
lung	NN	lung NN PennPOS
disease	NN	disease NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
epithelial-mesenchymal	JJ	epithelial-mesenchymal JJ PennPOS
transition	NN	transition NN PennPOS
(	(	( ( NUPOS
EMT	NN	emt NN PennPOS
)	)	) ) NUPOS
may	MD	may vmb NUPOS
play	VB	play VBP PennPOS
an	DT	a dt NUPOS
important	JJ	important JJ PennPOS
role	NN	role NN PennPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
pathogenesis	NN	pathogenesis NN PennPOS
of	IN	of pp-f NUPOS
pulmonary	JJ	pulmonary JJ PennPOS
fibrosis	NN	fibrosis NN PennPOS
.	.	. . NUPOS

IL-17	NN	IL-17 NN PennPOS
is	VBZ	be vbz NUPOS
a	DT	a dt NUPOS
proinflammatory	JJ	proinflammatory JJ PennPOS
cytokine	NN	cytokine NN PennPOS
which	WDT	which r-crq NUPOS
promotes	VBZ	promote VBZ PennPOS
EMT	NN	emt NN PennPOS
profiles	NNS	profile NNS PennPOS
in	IN	in IN PennPOS
lung	NN	lung NN PennPOS
inflammatory	JJ	inflammatory JJ PennPOS
diseases	NNS	disease NNS PennPOS
.	.	. . NUPOS

In	IN	in IN PennPOS
this	DT	this d NUPOS
study	NN	study NN PennPOS
,	,	, , NUPOS
we	PRP	we pns12 NUPOS
investigated	VBD	investigate VBD PennPOS
the	DT	the dt NUPOS
effect	NN	effect NN PennPOS
of	IN	of pp-f NUPOS
IL-17	NN	IL-17 NN PennPOS
on	IN	on IN PennPOS
EMT	NN	emt NN PennPOS
in	IN	in IN PennPOS
alveolar	JJ	alveolar JJ PennPOS
epithelial	JJ	epithelial JJ PennPOS
cell	NN	cell NN PennPOS
line	NN	line NN PennPOS
A549	NN	A549 NN PennPOS
and	CC	and cc NUPOS
the	DT	the dt NUPOS
role	NN	role NN PennPOS
of	IN	of pp-f NUPOS
TGFb1-Smad	NN	TGFb1-Smad NN PennPOS
and	CC	and cc NUPOS
ERK	NN	erk NN PennPOS
signaling	NN	signaling NN PennPOS
pathways	NNS	pathway n2 NUPOS
in	IN	in IN PennPOS
the	DT	the dt NUPOS
process	NN	process NN PennPOS
.	.	. . NUPOS

Morphological	JJ	morphological JJ PennPOS
observation	NN	observation NN PennPOS
on	IN	on IN PennPOS
the	DT	the dt NUPOS
cells	NNS	cell NNS PennPOS
was	VBD	be vbd NUPOS
performed	VBN	perform VBN PennPOS
under	IN	under IN PennPOS
inverted	JJ	inverted JJ PennPOS
microscope	NN	microscope NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
E-cad	NN	E-cad NN PennPOS
and	CC	and cc NUPOS
a-SMA	NN	a-SMA NN PennPOS
were	VBD	be vbd NUPOS
detected	VBN	detect VBN PennPOS
by	IN	by IN PennPOS
quantitative	JJ	quantitative JJ PennPOS
RT-PCR	NN	rt-pcr NN PennPOS
and	CC	and cc NUPOS
western	NN	western NN PennPOS
blotting	NN	blotting NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
mRNA	NN	mRNA NN PennPOS
and	CC	and cc NUPOS
protein	NN	protein NN PennPOS
expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
TGF-b1	NN	TGF-b1 NN PennPOS
were	VBD	be vbd NUPOS
analyzed	VBN	analyse VBN PennPOS
via	IN	via IN PennPOS
quantitative	JJ	quantitative JJ PennPOS
RT-PCR	NN	rt-pcr NN PennPOS
and	CC	and cc NUPOS
ELISA	NN	elisa NN PennPOS
.	.	. . NUPOS

Expressions	NNS	expression NNS PennPOS
of	IN	of pp-f NUPOS
Smad2/3	NN	Smad2/3 NN PennPOS
,	,	, , NUPOS
p-Smad2	NN	p-Smad2 NN PennPOS
/	:	/ : NUPOS
3	CD	3 crd NUPOS
,	,	, , NUPOS
ERK1/2	NN	ERK1/2 NN PennPOS
,	,	, , NUPOS
p-ERK1	NN	p-ERK1 NN PennPOS
/	:	/ : NUPOS
2	CD	2 crd NUPOS
and	CC	and cc NUPOS
p-JNK	NN	p-JNK NN PennPOS
were	VBD	be vbd NUPOS
examined	VBN	examine VBN PennPOS
by	IN	by IN PennPOS
western	NN	western NN PennPOS
blotting	NN	blotting NN PennPOS
.	.	. . NUPOS

The	DT	the dt NUPOS
