Matrix	NNP
metalloproteinase	NN
3	CD
is	VBZ
a	DT
mediator	NN
of	IN
pulmonary	JJ
fibrosis	NN
.	.

Idiopathic	JJ
pulmonary	JJ
fibrosis	NN
(	(
IPF	NN
)	)
may	MD
be	VB
triggered	VBN
by	IN
epithelial	JJ
injury	NN
that	WDT
results	VBZ
in	IN
aberrant	JJ
production	NN
of	IN
growth	NN
factors	NNS
,	,
cytokines	NNS
,	,
and	CC
proteinases	NNS
,	,
leading	VBG
to	TO
proliferation	NN
of	IN
myofibroblasts	NNS
,	,
excess	JJ
deposition	NN
of	IN
collagen	NN
,	,
and	CC
destruction	NN
of	IN
the	DT
lung	NN
architecture	NN
.	.

The	DT
precise	JJ
mechanisms	NNS
and	CC
key	JJ
signaling	NN
mediators	NNS
responsible	JJ
for	IN
this	DT
aberrant	JJ
repair	NN
process	NN
remain	VBP
unclear	JJ
.	.

We	PRP
assessed	VBD
the	DT
importance	NN
of	IN
matrix-metalloproteinase-3	NN
(	(
MMP-3	NN
)	)
in	IN
the	DT
pathogenesis	NN
of	IN
IPF	NN
through	IN
i	LS
)	)
determination	NN
of	IN
MMP-3	NN
expression	NN
in	IN
patients	NNS
with	IN
IPF	NN
,	,
ii	LS
)	)
in	FW
vivo	FW
experiments	NNS
examining	VBG
the	DT
relevance	NN
of	IN
MMP-3	NN
in	IN
experimental	JJ
models	NNS
of	IN
fibrosis	NN
,	,
and	CC
iii	LS
)	)
in	FW
vitro	FW
experiments	NNS
to	TO
elucidate	VB
possible	JJ
mechanisms	NNS
of	IN
action	NN
.	.

Gene	NN
expression	NN
analysis	NN
,	,
quantitative	JJ
RT-PCR	NN
,	,
and	CC
Western	NN
blot	NN
analysis	NN
of	IN
explanted	VBN
human	JJ
lungs	NNS
revealed	VBD
enhanced	VBN
expression	NN
of	IN
MMP-3	NN
in	IN
IPF	NN
,	,
compared	VBN
with	IN
control	NN
.	.

Transient	JJ
adenoviral	JJ
vector-mediated	JJ
expression	NN
of	IN
recombinant	JJ
MMP-3	NN
in	IN
rat	NN
lung	NN
resulted	VBD
in	IN
accumulation	NN
of	IN
myofibroblasts	NNS
and	CC
pulmonary	JJ
fibrosis	NN
.	.

Conversely	RB
,	,
MMP-3-null	JJ
mice	NNS
were	VBD
protected	VBN
against	IN
bleomycin-induced	JJ
pulmonary	JJ
fibrosis	NN
.	.

In	FW
vitro	FW
treatment	NN
of	IN
cultured	VBN
lung	NN
epithelial	JJ
cells	NNS
with	IN
purified	VBN
MMP-3	NN
resulted	VBD
in	IN
activation	NN
of	IN
the	DT
b-catenin	NN
signaling	NN
pathway	NN
,	,
via	IN
cleavage	NN
of	IN
E-cadherin	NN
,	,
and	CC
induction	NN
of	IN
epithelial-mesenchymal	JJ
transition	NN
.	.

These	DT
processes	NNS
were	VBD
inhibited	VBN
in	IN
bleomycin-treated	JJ
MMP-3-null	NN
mice	NNS
,	,
as	IN
assessed	VBN
by	IN
cytosolic	JJ
translocation	NN
of	IN
b-catenin	NN
and	CC
cyclin-D1	NN
expression	NN
.	.

These	DT
observations	NNS
support	VBP
a	DT
novel	JJ
role	NN
for	IN
MMP-3	NN
in	IN
the	DT
pathogenesis	NN
of	IN
IPF	NN
,	,
through	IN
activation	NN
of	IN
b-catenin	NN
signaling	NN
and	CC
induction	NN
of	IN
epithelial-mesenchymal	JJ
transition	NN
.	.

