Association	NNP
between	IN
cytokine	NN
removal	NN
by	IN
polymyxin	NN
B	NN
hemoperfusion	NN
and	CC
improved	VBD
pulmonary	JJ
oxygenation	NN
in	IN
patients	NNS
with	IN
acute	JJ
exacerbation	NN
of	IN
idiopathic	JJ
pulmonary	JJ
fibrosis	NN
.	.

Acute	JJ
exacerbation	NN
of	IN
idiopathic	JJ
pulmonary	JJ
fibrosis	NN
(	(
AE-IPF	NN
)	)
is	VBZ
characterized	VBN
by	IN
severe	JJ
worsening	VBG
dyspnea	NN
of	IN
unknown	JJ
etiology	NN
and	CC
high	JJ
mortality	NN
without	IN
effective	JJ
treatment	NN
.	.

Recently	RB
,	,
direct	JJ
hemoperfusion	NN
with	IN
polymyxin	NN
B	NN
(	(
PMX	NN
)	)
-	:
immobilized	VBN
fiber	NN
cartridge	NN
(	(
PMX-DHP	NN
)	)
has	VBZ
been	VBN
reported	VBN
to	TO
improve	VB
pulmonary	JJ
oxygenation	NN
and	CC
survival	NN
in	IN
patients	NNS
with	IN
AE-IPF	NN
although	IN
its	PRP$
mechanism	NN
of	IN
action	NN
remains	VBZ
unknown	JJ
.	.

To	TO
gain	VB
insights	NNS
into	IN
the	DT
pathobiology	NN
of	IN
AE-IPF	NN
through	IN
the	DT
beneficial	JJ
effects	NNS
of	IN
PMX-DHP	NN
,	,
we	PRP
analyzed	VBD
the	DT
profile	NN
of	IN
cytokines	NNS
adsorbed	VBN
onto	IN
PMX-fibers	NNS
used	VBN
in	IN
9	CD
AE-IPF	NN
patients	NNS
.	.

In	IN
addition	NN
,	,
the	DT
sera	NN
of	IN
these	DT
AE-IPF	NN
patients	NNS
collected	VBN
immediately	RB
before	IN
and	CC
after	IN
PMX-DHP	NN
,	,
9	CD
stable	JJ
IPF	NN
patients	NNS
and	CC
8	CD
healthy	JJ
individuals	NNS
were	VBD
also	RB
analyzed	VBN
.	.

The	DT
serum	NN
levels	NNS
of	IN
cytokines	NNS
including	VBG
IL-9	NN
,	,
IL-12	NN
,	,
IL-17	NN
,	,
PDGF	NN
and	CC
VEGF	NN
were	VBD
significantly	RB
decreased	VBN
immediately	RB
after	IN
PMX-DHP	NN
(	(
P	NN
<	JJR
0.02	CD
)	)
,	,
and	CC
VEGF	NN
and	CC
IL-12	NN
were	VBD
most	RBS
prominently	RB
reduced	VBN
.	.

In	IN
addition	NN
to	TO
PDGF	NN
and	CC
VEGF	NN
,	,
IL-1b	NN
,	,
IL-1ra	NN
,	,
IL-8	NN
,	,
IL-23	NN
,	,
FGF	NN
basic	JJ
,	,
GM-CSF	NN
,	,
IP-10	NN
,	,
RANTES	NN
and	CC
TGF-b	NN
were	VBD
eluted	VBN
from	IN
used	VBN
PMX-fibers	NNS
.	.

Interestingly	RB
,	,
improved	VBD
pulmonary	JJ
oxygenation	NN
after	IN
PMX-DHP	NN
was	VBD
correlated	VBN
well	RB
with	IN
the	DT
quantities	NNS
of	IN
eluted	VBN
VEGF	NN
.	.

These	DT
results	NNS
suggest	VBP
that	IN
adsorption	NN
of	IN
proinflammatory	JJ
,	,
profibrotic	JJ
and	CC
proangiogenic	JJ
cytokines	NNS
onto	IN
PMX-fibers	NNS
is	VBZ
one	CD
of	IN
the	DT
mechanisms	NNS
of	IN
action	NN
of	IN
PMX-DHP	NN
in	IN
AE-IPF	NN
.	.

Notably	RB
,	,
removal	NN
of	IN
VEGF	NN
by	IN
PMX-DHP	NN
may	MD
contribute	VB
to	TO
the	DT
rapid	JJ
improvement	NN
in	IN
oxygenation	NN
by	IN
suppressing	VBG
vascular	JJ
permeability	NN
in	IN
the	DT
lung	NN
.	.

