Sorafenib	NNP
ameliorates	VBZ
bleomycin-induced	JJ
pulmonary	JJ
fibrosis	NN
:	:
potential	JJ
roles	NNS
in	IN
the	DT
inhibition	NN
of	IN
epithelial-mesenchymal	JJ
transition	NN
and	CC
fibroblast	NN
activation	NN
.	.

Idiopathic	JJ
pulmonary	JJ
fibrosis	NN
(	(
IPF	NN
)	)
is	VBZ
a	DT
serious	JJ
progressive	JJ
and	CC
irreversible	JJ
lung	NN
disease	NN
with	IN
unknown	JJ
etiology	NN
and	CC
few	JJ
treatment	NN
options	NNS
.	.

This	DT
disease	NN
was	VBD
once	RB
thought	VBN
to	TO
be	VB
a	DT
chronic	JJ
inflammatory-driven	JJ
process	NN
,	,
but	CC
it	PRP
is	VBZ
increasingly	RB
recognized	VBN
that	IN
the	DT
epithelial-mesenchymal	JJ
transition	NN
(	(
EMT	NN
)	)
contributes	VBZ
to	TO
the	DT
cellular	JJ
origin	NN
of	IN
fibroblast	NN
accumulation	NN
in	IN
response	NN
to	TO
injury	NN
.	.

During	IN
the	DT
pathogenesis	NN
of	IN
pulmonary	JJ
fibrotic	JJ
diseases	NNS
,	,
transforming-growth-factor-b	NN
(	(
TGF-b	NN
)	)
signaling	NN
is	VBZ
considered	VBN
a	DT
pivotal	JJ
inducer	NN
of	IN
EMT	NN
and	CC
fibroblast	NN
activation	NN
,	,
and	CC
a	DT
number	NN
of	IN
therapeutic	JJ
interventions	NNS
that	WDT
interfere	VBP
with	IN
TGF-b	NN
signaling	NN
have	VBP
been	VBN
developed	VBN
to	TO
reverse	VB
established	JJ
fibrosis	NN
.	.

However	RB
,	,
efficient	JJ
and	CC
well-tolerated	JJ
antifibrotic	JJ
agents	NNS
are	VBP
not	RB
currently	RB
available	JJ
.	.

Previously	RB
,	,
we	PRP
reported	VBD
the	DT
identification	NN
of	IN
sorafenib	NN
to	TO
antagonize	VB
TGF-b	NN
signaling	NN
in	IN
mouse	NN
hepatocytes	NNS
in	FW
vitro	FW
.	.

In	IN
this	DT
manuscript	NN
,	,
we	PRP
continued	VBD
to	TO
evaluate	VB
the	DT
antifibrotic	JJ
effects	NNS
of	IN
sorafenib	NN
on	IN
bleomycin	NN
(	(
BLM	NN
)	)
-	:
induced	VBN
pulmonary	JJ
fibrosis	NN
in	IN
mice	NNS
.	.

We	PRP
further	RB
demonstrated	VBD
that	IN
sorafenib	NN
not	RB
only	RB
profoundly	RB
inhibited	VBD
TGF-b1-induced	JJ
EMT	NN
in	IN
alveolar	JJ
epithelial	JJ
cells	NNS
,	,
but	CC
also	RB
simultaneously	RB
reduced	VBD
the	DT
proliferation	NN
and	CC
collagen	NN
synthesis	NN
in	IN
fibroblasts	NNS
.	.

Additionally	RB
,	,
we	PRP
presented	VBD
in	FW
vivo	FW
evidence	NN
that	IN
sorafenib	NN
inhibited	VBD
the	DT
symptoms	NNS
of	IN
BLM-mediated	JJ
EMT	NN
and	CC
fibroblast	NN
activation	NN
in	IN
mice	NNS
,	,
warranting	VBG
the	DT
therapeutic	JJ
potential	NN
of	IN
this	DT
drug	NN
for	IN
patients	NNS
with	IN
IPF	NN
.	.

