Differing	VBG
Expression	NN
of	IN
Cytokines	NNS
and	CC
Tumor	NN
Markers	NNS
in	IN
Combined	JJ
Pulmonary	JJ
Fibrosis	NN
and	CC
Emphysema	NNP
Compared	VBD
to	TO
Emphysema	NNP
and	CC
Pulmonary	NNP
Fibrosis	NNP
.	.

This	DT
study	NN
aimed	VBN
to	TO
explore	VB
the	DT
different	JJ
pathogeneses	NNS
of	IN
combined	JJ
pulmonary	JJ
fibrosis	NN
and	CC
emphysema	NN
(	(
CPFE	NN
)	)
from	IN
emphysema	NN
and	CC
pulmonary	JJ
fibrosis	NN
.	.

The	DT
levels	NNS
of	IN
transforming-growth-factor-b1	NN
(	(
TGF-b1	NN
)	)
,	,
vascular-endothelial-growth-factor	NN
(	(
VEGF	NN
)	)
,	,
Krebs-Von-Den-Lungen-6	NN
(	(
KL-6	NN
)	)
,	,
matrix-metalloproteinase-9	NN
(	(
MMP-9	NN
)	)
,	,
tissue-inhibitors-of-metalloproteinases-1	NN
(	(
TIMP-1	NN
)	)
,	,
cytokeratin-19	NN
fragment	NN
(	(
CYFRA21-1	NN
)	)
,	,
squamous	JJ
cell	NN
carcinoma	NN
antigen	NN
(	(
SCC	NN
)	)
,	,
and	CC
the	DT
telomerase	NN
activity	NN
in	IN
peripheral	JJ
blood	NN
were	VBD
measured	VBN
in	IN
38	CD
CPFE	NN
patients	NNS
,	,
50	CD
pulmonary	JJ
emphysema	NN
patients	NNS
,	,
and	CC
34	CD
idiopathic	JJ
pulmonary	JJ
fibrosis	NN
(	(
IPF	NN
)	)
patients	NNS
.	.

The	DT
results	NNS
demonstrated	VBD
that	IN
the	DT
levels	NNS
of	IN
VEGF	NN
and	CC
TGF-b1	NN
in	IN
IPF	NN
patients	NNS
were	VBD
significantly	RB
higher	JJR
than	IN
those	DT
in	IN
emphysema	NN
patients	NNS
(	(
p	NN
<	JJR
0.05	CD
)	)
,	,
and	CC
no	DT
significant	JJ
differences	NNS
were	VBD
detected	VBN
between	IN
CPFE	NN
patients	NNS
and	CC
other	JJ
two	CD
groups	NNS
(	(
p	NN
>	JJR
0.05	CD
)	)
.	.

The	DT
levels	NNS
of	IN
KL-6	NN
and	CC
CYFRA21-1	NN
in	IN
IPF	NN
patients	NNS
were	VBD
significantly	RB
higher	JJR
than	IN
those	DT
in	IN
emphysema	NN
and	CC
CPFE	NN
patients	NNS
(	(
p	NN
<	JJR
0.05	CD
)	)
,	,
and	CC
the	DT
latter	JJ
had	VBD
the	DT
similar	JJ
levels	NNS
(	(
p	NN
>	JJR
0.05	CD
)	)
.	.

Among	IN
the	DT
three	CD
groups	NNS
,	,
the	DT
levels	NNS
of	IN
SCC	NN
,	,
MMP-9	NN
,	,
TIMP-1	NN
,	,
MMP-9	NN
/	:
TIMP-1	NN
ratio	NN
,	,
and	CC
telomerase	NN
activity	NN
were	VBD
not	RB
different	JJ
(	(
p	NN
>	JJR
0.05	CD
)	)
.	.

Our	PRP$
study	NN
showed	VBD
that	IN
VEGF	NN
,	,
TGF-b1	NN
,	,
KL-6	NN
,	,
and	CC
CYFRA21-1	NN
may	MD
play	VB
a	DT
role	NN
in	IN
the	DT
pathogenesis	NN
of	IN
pulmonary	JJ
fibrosis	NN
.	.

The	DT
lower	JJR
levels	NNS
of	IN
KL-6	NN
and	CC
CYFRA21-1	NN
in	IN
CPFE	NN
patients	NNS
may	MD
be	VB
one	CD
of	IN
the	DT
reasons	NNS
why	WRB
these	DT
patients	NNS
develop	VBP
emphysema	NN
on	IN
the	DT
basis	NN
of	IN
fibrosis	NN
.	.

