Sirtuin	NNP
7	CD
is	VBZ
decreased	VBN
in	IN
pulmonary	JJ
fibrosis	NN
and	CC
regulates	VBZ
the	DT
fibrotic	JJ
phenotype	NN
of	IN
lung	NN
fibroblasts	NNS
.	.

Pulmonary	JJ
fibrosis	NN
is	VBZ
a	DT
severe	JJ
condition	NN
with	IN
no	DT
cure	NN
and	CC
limited	JJ
therapeutic	JJ
options	NNS
.	.

A	DT
better	JJR
understanding	NN
of	IN
its	PRP$
pathophysiology	NN
is	VBZ
needed	VBN
.	.

Recent	JJ
studies	NNS
have	VBP
suggested	VBN
that	IN
pulmonary	JJ
fibrosis	NN
may	MD
be	VB
driven	VBN
by	IN
accelerated	VBN
aging-related	JJ
mechanisms	NNS
.	.

Sirtuins	NNS
(	(
SIRTs	NNS
)	)
,	,
particularly	RB
SIRT1	NN
,	,
SIRT3	NN
,	,
and	CC
SIRT6	NN
,	,
are	VBP
well-known	JJ
mediators	NNS
of	IN
aging	NN
;	:
however	RB
,	,
limited	JJ
data	NNS
exist	VBP
on	IN
the	DT
contribution	NN
of	IN
sirtuins	NNS
to	TO
lung	NN
fibrosis	NN
.	.

We	PRP
assessed	VBD
the	DT
mRNA	NN
and	CC
protein	NN
levels	NNS
of	IN
all	DT
seven	CD
known	JJ
sirtuins	NNS
in	IN
primary	JJ
lung	NN
fibroblasts	NNS
from	IN
patients	NNS
with	IN
idiopathic	JJ
pulmonary	JJ
fibrosis	NN
(	(
IPF	NN
)	)
and	CC
systemic	JJ
sclerosis-associated	JJ
interstitial	JJ
lung	NN
disease	NN
(	(
SSc-ILD	NN
)	)
in	IN
comparison	NN
with	IN
lung	NN
fibroblasts	NNS
from	IN
healthy	JJ
controls	NNS
.	.

These	DT
unbiased	JJ
tests	NNS
revealed	VBD
a	DT
tendency	NN
for	IN
all	DT
sirtuins	NNS
to	TO
be	VB
expressed	VBN
at	IN
lower	JJR
levels	NNS
in	IN
fibroblasts	NNS
from	IN
patients	NNS
compared	VBN
with	IN
controls	NNS
,	,
but	CC
the	DT
greatest	JJS
decrease	NN
was	VBD
observed	VBN
with	IN
SIRT7	NN
.	.

Similarly	RB
,	,
SIRT7	NN
was	VBD
decreased	VBN
in	IN
lung	NN
tissues	NNS
of	IN
bleomycin-challenged	JJ
mice	NNS
.	.

Inhibition	NN
of	IN
SIRT7	NN
with	IN
siRNA	NN
in	IN
cultured	VBN
lung	NN
fibroblasts	NNS
resulted	VBD
in	IN
an	DT
increase	NN
in	IN
collagen	NN
and	CC
a-smooth-muscle-actin	NN
(	(
a-SMA	NN
)	)
.	.

Reciprocally	RB
,	,
overexpression	NN
of	IN
SIRT7	NN
resulted	VBD
in	IN
lower	JJR
basal	JJ
and	CC
TGF-b-induced	JJ
levels	NNS
of	IN
COL1A1	NN
,	,
COL1A2	NN
,	,
COL3A1	NN
,	,
and	CC
a-SMA	NN
mRNAs	NNS
,	,
as	RB
well	RB
as	IN
collagen	NN
and	CC
a-SMA	NN
proteins	NNS
.	.

Induced	VBN
changes	NNS
in	IN
SIRT7	NN
had	VBD
no	DT
effect	NN
on	IN
endogenous	JJ
TGF-b	NN
mRNA	NN
levels	NNS
or	CC
latent	JJ
TGF-b	NN
activation	NN
,	,
but	CC
overexpression	NN
of	IN
SIRT7	NN
reduced	VBD
the	DT
levels	NNS
of	IN
Smad3	NN
mRNA	NN
and	CC
protein	NN
.	.

In	IN
conclusion	NN
,	,
the	DT
decline	NN
in	IN
SIRT7	NN
in	IN
lung	NN
fibroblasts	NNS
has	VBZ
a	DT
profibrotic	JJ
effect	NN
,	,
which	WDT
is	VBZ
mediated	VBN
by	IN
changes	NNS
in	IN
Smad3	NN
levels	NNS
.	.

