Regulation	NN	regulation O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblast	NN	fibroblast O TermTag
C1q-receptors	NNS	c1q-receptor O TermTag
by	IN	by O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
and	CC	and O TermTag
tumor	NN	tumor GENE TermTag
necrosis	NN	necrosis GENE TermTag
factor	NN	factor GENE TermTag
alpha	NN	alpha GENE TermTag
.	.	. . NUPOS

Transforming	NN	Transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
(	(	( ( NUPOS
TGF-beta	NN	TGF-beta GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
tumor	NN	tumor GENE TermTag
necrosis	NN	necrosis GENE TermTag
factor	NN	factor GENE TermTag
alpha	NN	alpha GENE TermTag
(	(	( ( NUPOS
TNF-alpha	NN	TNF-alpha GENE TermTag
)	)	) ) NUPOS
are	VBP	be O TermTag
two	CD	two O TermTag
polypeptide	NN	polypeptide O TermTag
mediators	NNS	mediator O TermTag
which	WDT	which O TermTag
are	VBP	be O TermTag
believed	VBN	believe O TermTag
to	TO	to O TermTag
play	VB	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
evolution	NN	evolution O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

We	PRP	we O TermTag
have	VBP	have O TermTag
evaluated	VBN	evaluate O TermTag
the	DT	the O TermTag
effect	NN	effect O TermTag
of	IN	of O TermTag
these	DT	these O TermTag
two	CD	two O TermTag
substances	NNS	substance O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
receptors	NNS	receptor O TermTag
for	IN	for O TermTag
collagen	NN	collagen O TermTag
(	(	( ( NUPOS
cC1q-R	NN	cC1q-R O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
globular	JJ	globular O TermTag
(	(	( ( NUPOS
gC1q-R	NN	gC1q-R O TermTag
)	)	) ) NUPOS
domains	NNS	domain O TermTag
of	IN	of O TermTag
C1q	NN	c1q GENE TermTag
and	CC	and O TermTag
on	IN	on O TermTag
type	NN	type O TermTag
I	CD	i crd NUPOS
collagen	NN	collagen O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

Two	CD	two O TermTag
fibroblast	NN	fibroblast O TermTag
subpopulations	NNS	subpopulation O TermTag
differing	VBG	differ O TermTag
in	IN	in O TermTag
C1q	NN	c1q GENE TermTag
receptor	NN	receptor O TermTag
expression	NN	expression O TermTag
were	VBD	be O TermTag
obtained	VBN	obtain O TermTag
by	IN	by O TermTag
culturing	VBG	culture O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
explants	NNS	explant O TermTag
in	IN	in O TermTag
medium	NN	medium O TermTag
containing	VBG	contain O TermTag
fresh	JJ	fresh O TermTag
human	JJ	human O TermTag
serum	NN	serum O TermTag
and	CC	and O TermTag
heated	JJ	heated O TermTag
plasma-derived	JJ	plasma-derived O TermTag
serum	NN	serum O TermTag
and	CC	and O TermTag
separating	VBG	separate O TermTag
them	PRP	they O TermTag
based	VBN	base O TermTag
on	IN	on O TermTag
