Induction	NN	induction O TermTag
of	IN	of O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
in	IN	in O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
by	IN	by O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta1	NN	beta1 GENE TermTag
:	:	: : NUPOS
potential	JJ	potential O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
hallmark	NN	hallmark O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
the	DT	the O TermTag
myofibroblast	NN	myofibroblast O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
cellular	JJ	cellular O TermTag
origin	NN	origin O TermTag
of	IN	of O TermTag
which	WDT	which O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
is	VBZ	be O TermTag
unknown	JJ	unknown O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
hypothesized	VBD	hypothesise O TermTag
that	IN	that O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
(	(	( ( NUPOS
AECs	NNS	aec O TermTag
)	)	) ) NUPOS
may	MD	may O TermTag
serve	VB	serve O TermTag
as	IN	as O TermTag
a	DT	a dt NUPOS
source	NN	source O TermTag
of	IN	of O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
through	IN	through O TermTag
epithelial-mesenchymal	JJ	epithelial-mesenchymal O TermTag
transition	NN	transition O TermTag
(	(	( ( NUPOS
EMT	NN	emt GENE TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Effects	NNS	effect O TermTag
of	IN	of O TermTag
chronic	JJ	chronic O TermTag
exposure	NN	exposure O TermTag
to	TO	to O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
beta1	NN	beta1 O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
phenotype	NN	phenotype O TermTag
of	IN	of O TermTag
isolated	VBN	isolate O TermTag
rat	NN	rat O TermTag
AECs	NNS	aec O TermTag
in	IN	in O TermTag
primary	JJ	primary O TermTag
culture	NN	culture O TermTag
and	CC	and O TermTag
a	DT	a dt NUPOS
rat	NN	rat O TermTag
type	NN	type O TermTag
II	CD	II O TermTag
cell	NN	cell O TermTag
line	NN	line O TermTag
(	(	( ( NUPOS
RLE-6TN	NN	RLE-6TN O TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
evaluated	VBN	evaluate O TermTag
.	.	. . NUPOS

Additionally	RB	additional O TermTag
,	,	, , NUPOS
tissue	NN	tissue O TermTag
samples	NNS	sample O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
were	VBD	be O TermTag
evaluated	VBN	evaluate O TermTag
for	IN	for O TermTag
cells	NNS	cell O TermTag
co-expressing	VBG	coexpress O TermTag
epithelial	JJ	epithelial O TermTag
(	(	( ( NUPOS
thyroid	NN	thyroid O TermTag
transcription	NN	transcription O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TTF	NN	TTF O TermTag
)	)	) ) NUPOS
-1	CD	-1 O TermTag
and	CC	and O TermTag
pro-surfactant	JJ	pro-surfactant O TermTag
protein-B	NN	protein-B O TermTag
(	(	( ( NUPOS
pro-SP-B	NN	pro-SP-B O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
mesenchymal	JJ	mesenchymal O TermTag
(	(	( ( NUPOS
alpha-smooth-muscle-actin	JJ	alpha-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
alpha-SMA	NN	alpha-SMA GENE TermTag
)	)	) ) NUPOS
)	)	) ) NUPOS
markers	NNS	marker O TermTag
.	.	. . NUPOS

RLE-6TN	NN	RLE-6TN O TermTag
cells	NNS	cell O TermTag
exposed	VBN	expose O TermTag
to	TO	to O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
for	IN	for O TermTag
6	CD	6 crd NUPOS
days	NNS	day O TermTag
demonstrated	VBD	demonstrate O TermTag
increased	VBN	increase O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
mesenchymal	JJ	mesenchymal O TermTag
cell	NN	cell O TermTag
markers	NNS	marker O TermTag
and	CC	and O TermTag
a	DT	a dt NUPOS
fibroblast-like	JJ	fibroblast-like O TermTag
morphology	NN	morphology O TermTag
,	,	, , NUPOS
an	DT	a O TermTag
effect	NN	effect O TermTag
augmented	VBD	augment O TermTag
by	IN	by O TermTag
tumor	NN	tumor GENE TermTag
necrosis	NN	necrosis GENE TermTag
factor	NN	factor GENE TermTag
alpha	NN	alpha GENE TermTag
(	(	( ( NUPOS
TNF-alpha	NN	TNF-alpha GENE TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Exposure	NN	exposure O TermTag
of	IN	of O TermTag
rat	NN	rat O TermTag
AECs	NNS	aec O TermTag
to	TO	to O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
(	(	( ( NUPOS
100	CD	100 O TermTag
pmol/L	NN	pmol/L O TermTag
)	)	) ) NUPOS
resulted	VBD	result O TermTag
in	IN	in O TermTag
increased	VBN	increase O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
,	,	, , NUPOS
type	NN	type O TermTag
I	CD	i crd NUPOS
collagen	NN	collagen O TermTag
,	,	, , NUPOS
vimentin	NN	vimentin GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
desmin	NN	desmin O TermTag
,	,	, , NUPOS
with	IN	with O TermTag
concurrent	JJ	concurrent O TermTag
transition	NN	transition O TermTag
to	TO	to O TermTag
a	DT	a dt NUPOS
fibroblast-like	JJ	fibroblast-like O TermTag
morphology	NN	morphology O TermTag
and	CC	and O TermTag
decreased	VBD	decrease O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
TTF-1	NN	TTF-1 O TermTag
,	,	, , NUPOS
aquaporin-5	NN	aquaporin-5 O TermTag
(	(	( ( NUPOS
AQP5	NN	AQP5 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
zonula	NN	zonula O TermTag
occludens-1	NN	occludens-1 O TermTag
(	(	( ( NUPOS
ZO-1	NN	ZO-1 GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
cytokeratins	NNS	cytokeratin O TermTag
.	.	. . NUPOS

Cells	NNS	cell O TermTag
co-expressing	VBG	coexpress O TermTag
epithelial	JJ	epithelial O TermTag
markers	NNS	marker O TermTag
and	CC	and O TermTag
alpha-SMA	NN	alpha-SMA GENE TermTag
were	VBD	be O TermTag
abundant	JJ	abundant O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissue	NN	tissue O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
.	.	. . NUPOS

These	DT	these O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
AECs	NNS	aec O TermTag
undergo	VBP	undergo O TermTag
EMT	NN	emt GENE TermTag
when	WRB	when O TermTag
chronically	RB	chronic O TermTag
exposed	VBN	expose O TermTag
to	TO	to O TermTag
TGF-beta1	NN	TGF-beta1 GENE TermTag
,	,	, , NUPOS
raising	VBG	raise O TermTag
the	DT	the O TermTag
possibility	NN	possibility O TermTag
that	IN	that O TermTag
