N-acetyl-L-cysteine	NN	N-acetyl-L-cysteine O TermTag
inhibits	VBZ	inhibit O TermTag
TGF-beta1-induced	JJ	tgf-beta1-induced O TermTag
profibrotic	JJ	profibrotic O TermTag
responses	NNS	response O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Excessive	JJ	excessive O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
key	JJ	key O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
tissue	NN	tissue O TermTag
remodeling	NN	remodeling O TermTag
or	CC	or O TermTag
fibrotic	JJ	fibrotic O TermTag
process	NN	process O TermTag
observed	VBN	observe O TermTag
in	IN	in O TermTag
bronchial	JJ	bronchial O TermTag
asthma	NN	asthma O TermTag
,	,	, , NUPOS
chronic	JJ	chronic O TermTag
pulmonary	JJ	pulmonary O TermTag
disease	NN	disease O TermTag
(	(	( ( NUPOS
COPD	NN	copd O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

TGF-beta	NN	TGF-beta GENE TermTag
(	(	( ( NUPOS
1	CD	1 crd NUPOS
)	)	) ) NUPOS
has	VBZ	have O TermTag
been	VBN	be O TermTag
reported	VBN	report O TermTag
to	TO	to O TermTag
decrease	VB	decrease O TermTag
the	DT	the O TermTag
intracellular	JJ	intracellular O TermTag
glutathione	NN	glutathione O TermTag
level	NN	level O TermTag
and	CC	and O TermTag
stimulate	VBP	stimulate O TermTag
the	DT	the O TermTag
production	NN	production O TermTag
of	IN	of O TermTag
reactive	JJ	reactive O TermTag
oxygen	NN	oxygen O TermTag
species	NNS	specie O TermTag
