Yin	NNP	Yin O TermTag
yang	NN	yang O TermTag
1	CD	1 crd NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
novel	JJ	novel O TermTag
regulator	NN	regulator O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

RATIONALE	NN	rationale O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
differentiation	NN	differentiation O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
into	IN	into O TermTag
myofibroblasts	NNS	myofibroblast O TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
cardinal	JJ	cardinal O TermTag
feature	NN	feature O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
transcription	NN	transcription O TermTag
factor	NN	factor O TermTag
Yin	NN	Yin GENE TermTag
Yang	NN	Yang GENE TermTag
1	NN	1 GENE TermTag
(	(	( ( NUPOS
YY1	NN	YY1 GENE TermTag
)	)	) ) NUPOS
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
proliferation	NN	proliferation O TermTag
and	CC	and O TermTag
differentiation	NN	differentiation O TermTag
of	IN	of O TermTag
diverse	JJ	diverse O TermTag
cell	NN	cell O TermTag
types	NNS	type O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
its	PRP$	its O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
is	VBZ	be O TermTag
not	RB	not O TermTag
known	VBN	know O TermTag
.	.	. . NUPOS

OBJECTIVES	NNS	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
elucidate	VB	elucidate O TermTag
the	DT	the O TermTag
mechanism	NN	mechanism O TermTag
by	IN	by O TermTag
which	WDT	which O TermTag
YY1	NN	YY1 GENE TermTag
regulates	VBZ	regulate O TermTag
fibroblast	NN	fibroblast O TermTag
differentiation	NN	differentiation O TermTag
and	CC	and O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
were	VBD	be O TermTag
cultured	VBN	culture O TermTag
with	IN	with O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
or	CC	or O TermTag
tumor	NN	tumor O TermTag
necrosis	NN	necrosis O TermTag
factor-a	NN	factor-a O TermTag
.	.	. . NUPOS

Nuclear	JJ	nuclear O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
NF	NN	NF O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
kB	NN	kb O TermTag
,	,	, , NUPOS
YY1	NN	YY1 GENE TermTag
,	,	, , NUPOS
and	CC	and O TermTag
a-smooth-muscle-actin	NN	a-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
SMA	NN	sma GENE TermTag
)	)	) ) NUPOS
were	VBD	be O TermTag
determined	VBN	determine O TermTag
in	IN	in O TermTag
protein	NN	protein O TermTag
,	,	, , NUPOS
mRNA	NN	mRNA O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
promoter	NN	promoter O TermTag
reporter	NN	reporter O TermTag
level	NN	level O TermTag
.	.	. . NUPOS

Lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
and	CC	and O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
were	VBD	be O TermTag
assessed	VBN	assess O TermTag
in	IN	in O TermTag
a	DT	a dt NUPOS
partial	JJ	partial O TermTag
YY1-deficient	JJ	yy1-deficient O TermTag
mouse	NN	mouse O TermTag
and	CC	and O TermTag
a	DT	a dt NUPOS
YY1	NN	YY1 GENE TermTag
(	(	( ( NUPOS
f/f	NN	f/f O TermTag
)	)	) ) NUPOS
conditional	JJ	conditional O TermTag
knockout	JJ	knockout O TermTag
mouse	NN	mouse O TermTag
after	IN	after O TermTag
being	VBG	be O TermTag
exposed	VBN	expose O TermTag
to	TO	to O TermTag
silica	NN	silica O TermTag
or	CC	or O TermTag
bleomycin	NN	bleomycin O TermTag
.	.	. . NUPOS

MEASUREMENTS	NNS	measurement O TermTag
AND	CC	and O TermTag
MAIN	NNS	main O TermTag
RESULTS	NNS	result O TermTag
:	:	: : NUPOS
TGF-b	NN	TGF-b GENE TermTag
and	CC	and O TermTag
tumor	NN	tumor O TermTag
necrosis	NN	necrosis O TermTag
factor-a	NN	factor-a O TermTag
up-regulated	VBD	upregulate O TermTag
YY1	NN	YY1 GENE TermTag
expression	NN	expression O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

TGF-b-induced	JJ	tgf-b-induced O TermTag
YY1	NN	YY1 GENE TermTag
expression	NN	expression O TermTag
was	VBD	be O TermTag
dramatically	RB	dramatic O TermTag
decreased	VBN	decrease O TermTag
by	IN	by O TermTag
an	DT	a O TermTag
inhibitor	NN	inhibitor O TermTag
