Activated	VBN	activate O TermTag
MCTC	NN	MCTC O TermTag
mast	NN	mast O TermTag
cells	NNS	cell O TermTag
infiltrate	VBP	infiltrate O TermTag
diseased	JJ	diseased O TermTag
lung	NN	lung O TermTag
areas	NNS	area O TermTag
in	IN	in O TermTag
cystic	JJ	cystic O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Although	IN	although O TermTag
mast	NN	mast O TermTag
cells	NNS	cell O TermTag
are	VBP	be O TermTag
regarded	VBN	regard O TermTag
as	IN	as O TermTag
important	JJ	important O TermTag
regulators	NNS	regulator O TermTag
of	IN	of O TermTag
inflammation	NN	inflammation O TermTag
and	CC	and O TermTag
tissue	NN	tissue O TermTag
remodelling	NN	remodelling O TermTag
,	,	, , NUPOS
their	PRP$	their O TermTag
role	NN	role O TermTag
in	IN	in O TermTag
cystic	JJ	cystic O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
CF	NN	cf O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
has	VBZ	have O TermTag
remained	VBN	remain O TermTag
less	JJR	little O TermTag
studied	VBN	study O TermTag
.	.	. . NUPOS

This	DT	this O TermTag
study	NN	study O TermTag
investigates	VBZ	investigate O TermTag
the	DT	the O TermTag
densities	NNS	density O TermTag
and	CC	and O TermTag
phenotypes	NNS	phenotype O TermTag
of	IN	of O TermTag
mast	NN	mast O TermTag
cell	NN	cell O TermTag
populations	NNS	population O TermTag
in	IN	in O TermTag
multiple	JJ	multiple O TermTag
lung	NN	lung O TermTag
compartments	NNS	compartment O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
CF	NN	cf O TermTag
,	,	, , NUPOS
IPF	NN	IPF O TermTag
and	CC	and O TermTag
never	RB	never O TermTag
smoking	NN	smoking O TermTag
controls	NNS	control O TermTag
.	.	. . NUPOS

