STAT3-mediated	JJ	stat3-mediated O TermTag
signaling	NN	signaling O TermTag
dysregulates	VBZ	dysregulate O TermTag
lung	NN	lung O TermTag
fibroblast-myofibroblast	NN	fibroblast-myofibroblast O TermTag
activation	NN	activation O TermTag
and	CC	and O TermTag
differentiation	NN	differentiation O TermTag
in	IN	in O TermTag
UIP/IPF	NN	UIP/IPF O TermTag
.	.	. . NUPOS

STAT3	NN	STAT3 GENE TermTag
is	VBZ	be O TermTag
a	DT	a dt NUPOS
latent	JJ	latent O TermTag
transcription	NN	transcription O TermTag
factor	NN	factor O TermTag
that	WDT	that O TermTag
plays	VBZ	play O TermTag
a	DT	a dt NUPOS
role	NN	role O TermTag
in	IN	in O TermTag
regulating	VBG	regulate O TermTag
fibroblast	NN	fibroblast O TermTag
function	NN	function O TermTag
in	IN	in O TermTag
fibrotic	JJ	fibrotic O TermTag
lung	NN	lung O TermTag
diseases	NNS	disease O TermTag
.	.	. . NUPOS

To	TO	to O TermTag
further	RBR	further O TermTag
understand	VB	understand O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
STAT3	NN	STAT3 GENE TermTag
in	IN	in O TermTag
the	DT	the O TermTag
phenotypic	JJ	phenotypic O TermTag
divergence	NN	divergence O TermTag
and	CC	and O TermTag
function	NN	function O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
(	(	( ( NUPOS
LFs	NNS	LFS O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
we	PRP	we O TermTag
investigated	VBD	investigate O TermTag
the	DT	the O TermTag
effect	NN	effect O TermTag
of	IN	of O TermTag
basal	JJ	basal O TermTag
and	CC	and O TermTag
cytokine-induced	JJ	cytokine-induced O TermTag
STAT3	NN	STAT3 GENE TermTag
activity	NN	activity O TermTag
on	IN	on O TermTag
indices	NNS	index O TermTag
of	IN	of O TermTag
LF	NN	lf O TermTag
differentiation	NN	differentiation O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
a-smooth-muscle-actin	NN	a-smooth-muscle-actin GENE TermTag
(	(	( ( NUPOS
a-SMA	NN	a-SMA GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
collagen	NN	collagen O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
adhesion	NN	adhesion O TermTag
molecules	NNS	molecule O TermTag
Thy-1	NN	Thy-1 GENE TermTag
/	:	/ : NUPOS
CD90	NN	CD90 GENE TermTag
and	CC	and O TermTag
a	DT	a dt NUPOS
(	(	( ( NUPOS
v	LS	v LS PennPOS
)	)	) ) NUPOS
b	NN	b NN PennPOS
(	(	( ( NUPOS
3	CD	3 crd NUPOS
)	)	) ) NUPOS
and	CC	and O TermTag
b	NN	b NN PennPOS
(	(	( ( NUPOS
5	CD	5 crd NUPOS
)	)	) ) NUPOS
integrins	NNS	integrin O TermTag
.	.	. . NUPOS

We	PRP	we O TermTag
identified	VBD	identify O TermTag
a	DT	a dt NUPOS
population	NN	population O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
from	IN	from O TermTag
usual	JJ	usual O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
UIP	NN	UIP O TermTag
)	)	) ) NUPOS
/	:	/ : NUPOS
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
lungs	NNS	lung O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
