Secreted	VBN	secrete O TermTag
protein	NN	protein O TermTag
acidic	JJ	acidic O TermTag
and	CC	and O TermTag
rich	JJ	rich O TermTag
in	IN	in O TermTag
cysteine	NN	cysteine O TermTag
(	(	( ( NUPOS
SPARC	NN	sparc GENE TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
upregulated	VBN	upregulate O TermTag
by	IN	by O TermTag
transforming	VBG	transform O TermTag
growth	NN	growth O TermTag
factor	NN	factor O TermTag
(	(	( ( NUPOS
TGF	NN	tgf O TermTag
)	)	) ) NUPOS
-	:	- : NUPOS
b	NN	b NN PennPOS
and	CC	and O TermTag
is	VBZ	be O TermTag
required	VBN	require O TermTag
for	IN	for O TermTag
TGF-b-induced	JJ	tgf-b-induced O TermTag
hydrogen	NN	hydrogen O TermTag
peroxide	NN	peroxide O TermTag
production	NN	production O TermTag
in	IN	in O TermTag
fibroblasts	NNS	fibroblast O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
poorly	RB	poor O TermTag
understood	VBN	understand O TermTag
progressive	JJ	progressive O TermTag
disease	NN	disease O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
the	DT	the O TermTag
recurrent	JJ	recurrent O TermTag
damage	NN	damage O TermTag
of	IN	of O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
as	RB	as O TermTag
well	RB	well O TermTag
as	IN	as O TermTag
inappropriate	JJ	inappropriate O TermTag
expansion	NN	expansion O TermTag
and	CC	and O TermTag
activation	NN	activation O TermTag
of	IN	of O TermTag
fibroblasts	NNS	fibroblast O TermTag
resulting	VBG	result O TermTag
in	IN	in O TermTag
pronounced	JJ	pronounced O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
(	(	( ( NUPOS
ECM	NN	ecm O TermTag
)	)	) ) NUPOS
deposition	NN	deposition O TermTag
.	.	. . NUPOS

Although	IN	although O TermTag
recent	JJ	recent O TermTag
studies	NNS	study O TermTag
have	VBP	have O TermTag
indicated	VBN	indicate O TermTag
the	DT	the O TermTag
involvement	NN	involvement O TermTag
of	IN	of O TermTag
secreted	NN	secreted GENE TermTag
protein	NN	protein GENE TermTag
acidic	NN	acidic GENE TermTag
and	NN	and GENE TermTag
rich	NN	rich GENE TermTag
in	NN	in GENE TermTag
cysteine	NN	cysteine GENE TermTag
