Up-regulation	NN	Up-regulation O TermTag
of	IN	of O TermTag
heparan	NN	heparan O TermTag
sulfate	NN	sulfate O TermTag
6-O-sulfation	NN	6-O-sulfation O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Heparan	NN	heparan O TermTag
sulfate	NN	sulfate O TermTag
proteoglycans	NNS	proteoglycan O TermTag
(	(	( ( NUPOS
HSPGs	NNS	hspg O TermTag
)	)	) ) NUPOS
are	VBP	be O TermTag
integral	JJ	integral O TermTag
components	NNS	component O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
lung	NN	lung O TermTag
.	.	. . NUPOS

Changes	NNS	change O TermTag
in	IN	in O TermTag
HSPGs	NNS	hspg O TermTag
have	VBP	have O TermTag
been	VBN	be O TermTag
documented	VBN	document O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Many	JJ	many O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
biological	JJ	biological O TermTag
functions	NNS	function O TermTag
of	IN	of O TermTag
HSPGs	NNS	hspg O TermTag
are	VBP	be O TermTag
mediated	VBN	mediate O TermTag
by	IN	by O TermTag
heparan	NN	heparan O TermTag
sulfate	NN	sulfate O TermTag
(	(	( ( NUPOS
HS	NN	HS O TermTag
)	)	) ) NUPOS
side	NN	side O TermTag
chains	NNS	chain O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
little	JJ	little O TermTag
is	VBZ	be O TermTag
understood	VBN	understand O TermTag
about	IN	about O TermTag
these	DT	these O TermTag
side	NN	side O TermTag
chains	NNS	chain O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
aims	NNS	aim O TermTag
of	IN	of O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
were	VBD	be O TermTag
to	TO	to O TermTag
compare	VB	compare O TermTag
HS	NN	HS O TermTag
structure	NN	structure O TermTag
between	IN	between O TermTag
normal	JJ	normal O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
and	CC	and O TermTag
to	TO	to O TermTag
examine	VB	examine O TermTag
how	WRB	how O TermTag
changes	NNS	change O TermTag
in	IN	in O TermTag
HS	NN	HS O TermTag
regulate	VBP	regulate O TermTag
the	DT	the O TermTag
fibrotic	JJ	fibrotic O TermTag
process	NN	process O TermTag
.	.	. . NUPOS

HS	NN	HS O TermTag
disaccharide	NN	disaccharide O TermTag
analysis	NN	analysis O TermTag
revealed	VBD	reveal O TermTag
that	IN	that O TermTag
HS	NN	HS O TermTag
6-O-sulfation	NN	6-O-sulfation O TermTag
was	VBD	be O TermTag
significantly	RB	significant O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
lungs	NNS	lung O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
normal	JJ	normal O TermTag
lungs	NNS	lung O TermTag
,	,	, , NUPOS
concomitant	JJ	concomitant O TermTag
with	IN	with O TermTag
overexpression	NN	overexpression O TermTag
of	IN	of O TermTag
HS	NN	HS O TermTag
6-O-sulfotransferases	NNS	6-o-sulfotransferase O TermTag
1	CD	1 crd NUPOS
and	CC	and O TermTag
2	CD	2 crd NUPOS
(	(	( ( NUPOS
HS6ST1/2	NN	HS6ST1/2 O TermTag
)	)	) ) NUPOS
mRNA	NN	mRNA O TermTag
.	.	. . NUPOS

Immunohistochemistry	NN	immunohistochemistry O TermTag
revealed	VBD	reveal O TermTag
that	IN	that O TermTag
HS6ST2	NN	HS6ST2 O TermTag
was	VBD	be O TermTag
specifically	RB	specific O TermTag
expressed	VBN	express O TermTag
in	IN	in O TermTag
bronchial	JJ	bronchial O TermTag
epithelial	JJ	epithelial O TermTag
cells	NNS	cell O TermTag
,	,	, , NUPOS
