Sphingolipids	NNS	sphingolipid O TermTag
in	IN	in O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
devastating	JJ	devastating O TermTag
disease	NN	disease O TermTag
characterized	VBN	characterize O TermTag
by	IN	by O TermTag
alveolar	JJ	alveolar O TermTag
epithelial	JJ	epithelial O TermTag
cell	NN	cell O TermTag
injury	NN	injury O TermTag
,	,	, , NUPOS
accumulation	NN	accumulation O TermTag
of	IN	of O TermTag
fibroblasts/myofibroblasts	NNS	fibroblasts/myofibroblasts O TermTag
and	CC	and O TermTag
deposition	NN	deposition O TermTag
of	IN	of O TermTag
extracellular	JJ	extracellular O TermTag
matrix	NN	matrix O TermTag
proteins	NNS	protein O TermTag
.	.	. . NUPOS

Levels	NNS	level O TermTag
of	IN	of O TermTag
sphingosine-1-phosphate	NN	sphingosine-1-phosphate O TermTag
(	(	( ( NUPOS
S1P	NN	S1P GENE TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
a	DT	a dt NUPOS
naturally	RB	natural O TermTag
occurring	VBG	occur O TermTag
bioactive	JJ	bioactive O TermTag
lipid	NN	lipid O TermTag
,	,	, , NUPOS
are	VBP	be O TermTag
elevated	JJ	elevated O TermTag
in	IN	in O TermTag
bronchoalveolar	JJ	bronchoalveolar O TermTag
fluids	NNS	fluid O TermTag
and	CC	and O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
from	IN	from O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
and	CC	and O TermTag
animal	NN	animal O TermTag
models	NNS	model O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

However	RB	however O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
in	FW	in O TermTag
vivo	FW	vivo O TermTag
contribution	NN	contribution O TermTag
of	IN	of O TermTag
S1P	NN	S1P GENE TermTag
,	,	, , NUPOS
regulated	VBN	regulate O TermTag
by	IN	by O TermTag
its	PRP$	its O TermTag
synthesis	NN	synthesis O TermTag
catalyzed	VBN	catalyse O TermTag
by	IN	by O TermTag
Sphingosine	NN	sphingosine O TermTag
kinases	NNS	kinase O TermTag
(	(	( ( NUPOS
SphKs	NNS	sphk O TermTag
)	)	) ) NUPOS
1	CD	1 crd NUPOS
2	CD	2 crd NUPOS
and	CC	and O TermTag
catabolism	NN	catabolism O TermTag
by	IN	by O TermTag
S1P	NN	S1P GENE TermTag
phosphatases	NNS	phosphatase O TermTag
and	CC	and O TermTag
S1P	NN	S1P GENE TermTag
lyase	NN	lyase O TermTag
(	(	( ( NUPOS
S1PL	NN	S1PL O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
in	IN	in O TermTag
the	DT	the O TermTag
pathogenesis	NN	pathogenesis O TermTag
of	IN	of O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
is	VBZ	be O TermTag
not	RB	not O TermTag
well	RB	well O TermTag
defined	VBN	define O TermTag
.	.	. . NUPOS

Microarray	NN	Microarray O TermTag
analysis	NN	analysis O TermTag
of	IN	of O TermTag
blood	NN	blood O TermTag
mononuclear	JJ	mononuclear O TermTag
cells	NNS	cell O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
SphK1	NN	SphK1 O TermTag
-	:	- : NUPOS
,	,	, , NUPOS
SphK2	NN	SphK2 O TermTag
-	:	- : NUPOS
or	CC	or O TermTag
S1PL-knockout	JJ	s1pl-knockout O TermTag
mice	NNS	mouse O TermTag
and	CC	and O TermTag
SphK	NN	SphK GENE TermTag
inhibitor	NN	inhibitor O TermTag
were	VBD	be O TermTag
used	VBN	use O TermTag
to	TO	to O TermTag
assess	VB	assess O TermTag
the	DT	the O TermTag
role	NN	role O TermTag
of	IN	of O TermTag
S1P	NN	S1P GENE TermTag
in	IN	in O TermTag
fibrogenesis	NN	fibrogenesis O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
negatively	RB	negative O TermTag
correlated	VBD	correlate O TermTag
with	IN	with O TermTag
lung	NN	lung O TermTag
function	NN	function O TermTag
and	CC	and O TermTag
survival	NN	survival O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

Further	RB	further O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
and	CC	and O TermTag
S1PL	NN	S1PL O TermTag
were	VBD	be O TermTag
increased	VBN	increase O TermTag
in	IN	in O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
from	IN	from O TermTag
patients	NNS	patient O TermTag
with	IN	with O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
bleomycin-challenged	JJ	bleomycin-challenged O TermTag
mice	NNS	mouse O TermTag
.	.	. . NUPOS

Genetic	JJ	genetic O TermTag
knockdown	NN	knockdown O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
,	,	, , NUPOS
but	CC	but O TermTag
not	RB	not O TermTag
SphK2	NN	SphK2 O TermTag
,	,	, , NUPOS
ameliorated	VBN	ameliorate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
in	IN	in O TermTag
mice	NNS	mouse O TermTag
while	IN	while O TermTag
deletion	NN	deletion O TermTag
of	IN	of O TermTag
S1PL	NN	S1PL O TermTag
(	(	( ( NUPOS
SGPL1	NN	SGPL1 GENE TermTag
(	(	( ( NUPOS
+	CC	+ CC PennPOS
/	:	/ : NUPOS
-	:	- : NUPOS
)	)	) ) NUPOS
)	)	) ) NUPOS
in	IN	in O TermTag
mice	NNS	mouse O TermTag
potentiated	VBD	potentiate O TermTag
fibrosis	NN	fibrosis O TermTag
post-bleomycin	JJ	post-bleomycin O TermTag
challenge	NN	challenge O TermTag
.	.	. . NUPOS

TGF-b	NN	TGF-b GENE TermTag
increased	VBD	increase O TermTag
the	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
and	CC	and O TermTag
S1PL	NN	S1PL O TermTag
in	IN	in O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
and	CC	and O TermTag
knockdown	NN	knockdown O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
or	CC	or O TermTag
treatment	NN	treatment O TermTag
with	IN	with O TermTag
SphK	NN	SphK GENE TermTag
inhibitor	NN	inhibitor O TermTag
attenuated	VBD	attenuate O TermTag
S1P	NN	S1P GENE TermTag
generation	NN	generation O TermTag
and	CC	and O TermTag
TGF-b	NN	TGF-b GENE TermTag
mediated	JJ	mediated O TermTag
signal	NN	signal O TermTag
transduction	NN	transduction O TermTag
.	.	. . NUPOS

Over-expression	NN	Over-expression O TermTag
of	IN	of O TermTag
S1PL	NN	S1PL O TermTag
attenuated	VBD	attenuate O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
TGF-b	NN	TGF-b GENE TermTag
secretion	NN	secretion O TermTag
and	CC	and O TermTag
S1P	NN	S1P GENE TermTag
mediated	VBD	mediate O TermTag
differentiation	NN	differentiation O TermTag
of	IN	of O TermTag
human	JJ	human O TermTag
lung	NN	lung O TermTag
fibroblasts	NNS	fibroblast O TermTag
through	IN	through O TermTag
regulation	NN	regulation O TermTag
of	IN	of O TermTag
autophagy	NN	autophagy O TermTag
.	.	. . NUPOS

Administration	NN	administration O TermTag
of	IN	of O TermTag
SphK1	NN	SphK1 O TermTag
inhibitor	NN	inhibitor O TermTag
8	CD	8 crd NUPOS
days	NNS	day O TermTag
post-bleomycin	JJ	post-bleomycin O TermTag
challenge	NN	challenge O TermTag
reduced	VBD	reduce O TermTag
bleomycin-induced	JJ	bleomycin-induced O TermTag
mortality	NN	mortality O TermTag
and	CC	and O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
.	.	. . NUPOS

Our	PRP$	our O TermTag
results	NNS	result O TermTag
suggest	VBP	suggest O TermTag
that	IN	that O TermTag
SphK1	NN	SphK1 O TermTag
and	CC	and O TermTag
S1PL	NN	S1PL O TermTag
play	VBP	play O TermTag
critical	JJ	critical O TermTag
roles	NNS	role O TermTag
in	IN	in O TermTag
the	DT	the O TermTag
pathology	NN	pathology O TermTag
of	IN	of O TermTag
lung	NN	lung O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
may	MD	may O TermTag
be	VB	be O TermTag
novel	JJ	novel O TermTag
therapeutic	JJ	therapeutic O TermTag
targets	NNS	target O TermTag
.	.	. . NUPOS

