[	(	[ ( NUPOS
The	DT	the O TermTag
expressions	NNS	expression O TermTag
and	CC	and O TermTag
meanings	NNS	meaning O TermTag
of	IN	of O TermTag
BMP-7	NN	BMP-7 GENE TermTag
and	CC	and O TermTag
TGF-b	NN	TGF-b GENE TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
and	CC	and O TermTag
idiopathic	JJ	idiopathic O TermTag
nonspecific	JJ	nonspecific O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
]	)	] ) NUPOS
.	.	. . NUPOS

OBJECTIVE	NN	objective O TermTag
:	:	: : NUPOS
To	TO	to O TermTag
investigate	VB	investigate O TermTag
the	DT	the O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
in	IN	in O TermTag
idiopathic	JJ	idiopathic O TermTag
nonspecific	JJ	nonspecific O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
INSIP	NN	INSIP O TermTag
)	)	) ) NUPOS
;	:	; : NUPOS
To	TO	to O TermTag
discuss	VB	discuss O TermTag
expressions	NNS	expression O TermTag
and	CC	and O TermTag
meanings	NNS	meaning O TermTag
of	IN	of O TermTag
bone	NN	bone GENE TermTag
morphogenetic	NN	morphogenetic GENE TermTag
protein	NN	protein GENE TermTag
7	NN	7 GENE TermTag
(	(	( ( NUPOS
BMP-7	NN	BMP-7 GENE TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
transforming	NN	transforming GENE TermTag
growth	NN	growth GENE TermTag
factor	NN	factor GENE TermTag
beta	NN	beta GENE TermTag
(	(	( ( NUPOS
TGF-b	NN	TGF-b GENE TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Selected	VBN	select O TermTag
47	CD	47 O TermTag
cases	NNS	case O TermTag
of	IN	of O TermTag
idiopathic	JJ	idiopathic O TermTag
interstitial	JJ	interstitial O TermTag
pneumonia	NN	pneumonia O TermTag
(	(	( ( NUPOS
IIP	NN	IIP O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
which	WDT	which O TermTag
were	VBD	be O TermTag
diagnosed	VBN	diagnose O TermTag
by	IN	by O TermTag
clinical-radiologic-pathologic	JJ	clinical-radiologic-pathologic O TermTag
(	(	( ( NUPOS
CRP	NN	crp O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
and	CC	and O TermTag
classified	VBN	classify O TermTag
into	IN	into O TermTag
two	CD	two O TermTag
groups	NNS	group O TermTag
which	WDT	which O TermTag
were	VBD	be O TermTag
group	NN	group O TermTag
IPF	NN	IPF O TermTag
(	(	( ( NUPOS
25	CD	25 O TermTag
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
group	NN	group O TermTag
INSIP	NN	INSIP O TermTag
(	(	( ( NUPOS
22	CD	22 O TermTag
INSIP	NN	INSIP O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
6	CD	6 crd NUPOS
cellular	JJ	cellular O TermTag
pattern	NN	pattern O TermTag
and	CC	and O TermTag
16	CD	16 O TermTag
fibrosing	NN	fibrosing O TermTag
pattern	NN	pattern O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
normal	JJ	normal O TermTag
lung	NN	lung O TermTag
tissues	NNS	tissue O TermTag
were	VBD	be O TermTag
collected	VBN	collect O TermTag
as	IN	as O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
group	NN	group O TermTag
:	:	: : NUPOS
The	DT	the O TermTag
fresh	JJ	fresh O TermTag
tissues	NNS	tissue O TermTag
were	VBD	be O TermTag
made	VBN	make O TermTag
to	TO	to O TermTag
detect	VB	detect O TermTag
more	JJR	many O TermTag
than	IN	than O TermTag
114	CD	114 O TermTag
kinds	NNS	kind O TermTag
of	IN	of O TermTag
cytokines	NNS	cytokine O TermTag
'	POS	' POS PennPOS
expressions	NNS	expression O TermTag
via	IN	via O TermTag
Oligo	JJ	oligo O TermTag
GEArray	NN	GEArray O TermTag
gene	NN	gene O TermTag
microarray	NN	microarray O TermTag
technology	NN	technology O TermTag
.	.	. . NUPOS

Made	VBN	make O TermTag
a	DT	a dt NUPOS
tissue	NN	tissue O TermTag
microarray	NN	microarray O TermTag
which	WDT	which O TermTag
applied	VBD	apply O TermTag
EnVision	NNP	EnVision O TermTag
immunohistochemistry	NN	immunohistochemistry O TermTag
technology	NN	technology O TermTag
to	TO	to O TermTag
detect	VB	detect O TermTag
the	DT	the O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
BMP-7	NN	BMP-7 GENE TermTag
and	CC	and O TermTag
TGF-b	NN	TGF-b GENE TermTag
in	IN	in O TermTag
both	CC	both O TermTag
kinds	NNS	kind O TermTag
of	IN	of O TermTag
IIPs	NNS	iip O TermTag
.	.	. . NUPOS

The	DT	the O TermTag
two	CD	two O TermTag
groups	NNS	group O TermTag
of	IN	of O TermTag
patients	NNS	patient O TermTag
were	VBD	be O TermTag
followed-up	JJ	followed-up O TermTag
visited	VBN	visit O TermTag
around	IN	around O TermTag
5	CD	5 crd NUPOS
to	TO	to O TermTag
8	CD	8 crd NUPOS
years	NNS	year O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
survival	NN	survival O TermTag
curves	NNS	curve O TermTag
were	VBD	be O TermTag
evaluated	VBN	evaluate O TermTag
by	IN	by O TermTag
Kaplan-Meier	NN	kaplan-meier O TermTag
method	NN	method O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
According	VBG	accord O TermTag
to	TO	to O TermTag
gene	NN	gene O TermTag
microarray	NN	microarray O TermTag
results	VBZ	result O TermTag
,	,	, , NUPOS
these	DT	these O TermTag
two	CD	two O TermTag
groups	NNS	group O TermTag
were	VBD	be O TermTag
up-expression	NN	up-expression O TermTag
in	IN	in O TermTag
TGF	NN	tgf O TermTag
family	NN	family O TermTag
,	,	, , NUPOS
IL	NN	IL O TermTag
family	NN	family O TermTag
and	CC	and O TermTag
TNF	NN	TNF O TermTag
family	NN	family O TermTag
.	.	. . NUPOS

Most	JJS	many O TermTag
of	IN	of O TermTag
BMP	NN	BMP GENE TermTag
members	NNS	member O TermTag
were	VBD	be O TermTag
down-expression	NN	down-expression O TermTag
,	,	, , NUPOS
in	IN	in O TermTag
comparison	NN	comparison O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
except	IN	except O TermTag
BMP-5	NN	BMP-5 GENE TermTag
,	,	, , NUPOS
BMP-8B	NN	BMP-8B GENE TermTag
and	CC	and O TermTag
BMP-15	NN	BMP-15 GENE TermTag
.	.	. . NUPOS

As	IN	as O TermTag
the	DT	the O TermTag
tissue	NN	tissue O TermTag
microarray	NN	microarray O TermTag
results	VBZ	result O TermTag
demonstrated	VBN	demonstrate O TermTag
,	,	, , NUPOS
compared	VBN	compare O TermTag
with	IN	with O TermTag
normal	JJ	normal O TermTag
lung	NN	lung O TermTag
tissues,BMP-7	NN	tissues,BMP-7 O TermTag
expressed	VBD	express O TermTag
decreasingly	RB	decreasing O TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
INSIP	NN	INSIP O TermTag
groups	NNS	group O TermTag
(	(	( ( NUPOS
t1	NN	t1 O TermTag
=	JJ	= JJ PennPOS
27.618	CD	27.618 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
;	:	; : NUPOS
t2	NN	t2 O TermTag
=	JJ	= JJ PennPOS
-12.404	CD	-12.404 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
expression	NN	expression O TermTag
of	IN	of O TermTag
IPF	NN	IPF O TermTag
were	VBD	be O TermTag
lower	JJR	low O TermTag
than	IN	than O TermTag
INSIP	NN	INSIP O TermTag
(	(	( ( NUPOS
t	NN	t NN PennPOS
=	JJ	= JJ PennPOS
5.387	CD	5.387 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
;	:	; : NUPOS
In	IN	in O TermTag
INSIP	NN	INSIP O TermTag
group	NN	group O TermTag
,	,	, , NUPOS
patients	NNS	patient O TermTag
of	IN	of O TermTag
cellular	JJ	cellular O TermTag
pattern	NN	pattern O TermTag
expressed	VBD	express O TermTag
BMP-7	NN	BMP-7 GENE TermTag
more	RBR	much O TermTag
than	IN	than O TermTag
fibrosing	JJ	fibrosing O TermTag
pattern	NN	pattern O TermTag
's	POS	's O TermTag
(	(	( ( NUPOS
t	NN	t NN PennPOS
=	JJ	= JJ PennPOS
-5.341	CD	-5.341 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

There	EX	there O TermTag
were	VBD	be O TermTag
dramatically	RB	dramatic O TermTag
increasing	VBG	increase O TermTag
expressions	NNS	expression O TermTag
of	IN	of O TermTag
TGF-b	NN	TGF-b GENE TermTag
in	IN	in O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
INSIP	NN	INSIP O TermTag
,	,	, , NUPOS
when	WRB	when O TermTag
compared	VBN	compare O TermTag
with	IN	with O TermTag
the	DT	the O TermTag
control	NN	control O TermTag
group	NN	group O TermTag
(	(	( ( NUPOS
t1	NN	t1 O TermTag
=	JJ	= JJ PennPOS
23.393	CD	23.393 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
;	:	; : NUPOS
t2	NN	t2 O TermTag
=	JJ	= JJ PennPOS
-13.445	CD	-13.445 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
it	PRP	it O TermTag
presented	VBD	present O TermTag
negative	JJ	negative O TermTag
correlation	NN	correlation O TermTag
with	IN	with O TermTag
BMP-7	NN	BMP-7 GENE TermTag
(	(	( ( NUPOS
group	NN	group O TermTag
IPF	NN	IPF O TermTag
:	:	: : NUPOS
r	NN	r NN PennPOS
=	JJ	= JJ PennPOS
-0.771	CD	-0.771 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
;	:	; : NUPOS
group	NN	group O TermTag
INSIP	NNP	INSIP O TermTag
:	:	: : NUPOS
r	NN	r NN PennPOS
=	JJ	= JJ PennPOS
-0.729	CD	-0.729 O TermTag
,	,	, , NUPOS
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.001	CD	0.001 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

(	(	( ( NUPOS
3	LS	3 LS PennPOS
)	)	) ) NUPOS
Clinical	JJ	clinical O TermTag
follow-up	NN	follow-up O TermTag
data	NNS	datum O TermTag
showed	VBD	show O TermTag
,	,	, , NUPOS
the	DT	the O TermTag
stability	NN	stability O TermTag
(	(	( ( NUPOS
improvement	NN	improvement O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
deterioration	NN	deterioration O TermTag
and	CC	and O TermTag
death	NN	death O TermTag
rates	NNS	rate O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
group	NN	group O TermTag
IPF	NN	IPF O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
group	NN	group O TermTag
INSIP	NNP	INSIP O TermTag
were	VBD	be O TermTag
,	,	, , NUPOS
respectively	RB	respective O TermTag
,	,	, , NUPOS
0	CD	0 CD PennPOS
(	(	( ( NUPOS
0	CD	0 CD PennPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
2	CD	2 crd NUPOS
(	(	( ( NUPOS
8	CD	8 crd NUPOS
%	NN	% NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
23	CD	23 O TermTag
(	(	( ( NUPOS
92	CD	92 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
and	CC	and O TermTag
15	CD	15 O TermTag
(	(	( ( NUPOS
68.1	CD	68.1 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
3	CD	3 crd NUPOS
(	(	( ( NUPOS
13.6	CD	13.6 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
,	,	, , NUPOS
4	CD	4 crd NUPOS
(	(	( ( NUPOS
18.2	CD	18.2 O TermTag
%	NN	% NN PennPOS
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
results	NNS	result O TermTag
were	VBD	be O TermTag
statistically	RB	statistical O TermTag
significant	JJ	significant O TermTag
(	(	( ( NUPOS
all	DT	all O TermTag
P	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

The	DT	the O TermTag
median	JJ	median O TermTag
survival	NN	survival O TermTag
time	NN	time O TermTag
of	IN	of O TermTag
the	DT	the O TermTag
part	NN	part O TermTag
with	IN	with O TermTag
higher	JJR	high O TermTag
BMP-7	NN	BMP-7 GENE TermTag
expression	NN	expression O TermTag
and	CC	and O TermTag
the	DT	the O TermTag
part	NN	part O TermTag
with	IN	with O TermTag
relatively	RB	relative O TermTag
lower	JJR	low O TermTag
BMP-7	NN	BMP-7 GENE TermTag
expression	NN	expression O TermTag
