Discovery	NNP	discovery O TermTag
and	CC	and O TermTag
validation	NN	validation O TermTag
of	IN	of O TermTag
extracellular/circulating	VBG	extracellular/circulating O TermTag
microRNAs	NNS	microrna O TermTag
during	IN	during O TermTag
idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
disease	NN	disease O TermTag
progression	NN	progression O TermTag
.	.	. . NUPOS

BACKGROUND	NN	background O TermTag
:	:	: : NUPOS
Idiopathic	JJ	idiopathic O TermTag
pulmonary	JJ	pulmonary O TermTag
fibrosis	NN	fibrosis O TermTag
(	(	( ( NUPOS
IPF	NN	IPF O TermTag
)	)	) ) NUPOS
is	VBZ	be O TermTag
a	DT	a dt NUPOS
chronic	JJ	chronic O TermTag
fibrosing	NN	fibrosing O TermTag
interstitial	JJ	interstitial O TermTag
lung	NN	lung O TermTag
disease	NN	disease O TermTag
of	IN	of O TermTag
unknown	JJ	unknown O TermTag
etiology	NN	etiology O TermTag
that	WDT	that O TermTag
is	VBZ	be O TermTag
currently	RB	current O TermTag
untreatable	JJ	untreatable O TermTag
.	.	. . NUPOS

In	IN	in O TermTag
this	DT	this O TermTag
study	NN	study O TermTag
we	PRP	we O TermTag
aim	VBP	aim O TermTag
to	TO	to O TermTag
characterize	VB	characterize O TermTag
the	DT	the O TermTag
potential	NN	potential O TermTag
of	IN	of O TermTag
extracellular/circulating	VBG	extracellular/circulating O TermTag
microRNAs	NNS	microrna O TermTag
(	(	( ( NUPOS
miRNAs	NNS	mirna O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
serum	NN	serum O TermTag
as	IN	as O TermTag
biomarkers	NNS	biomarker O TermTag
for	IN	for O TermTag
IPF	NN	IPF O TermTag
.	.	. . NUPOS

METHODS	NNS	method O TermTag
:	:	: : NUPOS
Total	JJ	total O TermTag
serum	NN	serum O TermTag
RNAs	NNS	rna O TermTag
were	VBD	be O TermTag
isolated	VBN	isolate O TermTag
from	IN	from O TermTag
serum	NN	serum O TermTag
from	IN	from O TermTag
healthy	JJ	healthy O TermTag
control	JJ	control O TermTag
subjects	NNS	subject O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
12	CD	12 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
rapid	JJ	rapid O TermTag
progressive	JJ	progressive O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
12	CD	12 O TermTag
)	)	) ) NUPOS
and	CC	and O TermTag
slowly	RB	slow O TermTag
progressive	JJ	progressive O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
(	(	( ( NUPOS
n	NN	n NN PennPOS
=	JJ	= JJ PennPOS
12	CD	12 O TermTag
)	)	) ) NUPOS
.	.	. . NUPOS

Serum	NN	serum O TermTag
RNA	NN	rna O TermTag
was	VBD	be O TermTag
analyzed	VBN	analyse O TermTag
by	IN	by O TermTag
using	VBG	use O TermTag
TaqMan	NNP	TaqMan O TermTag
microRNA	NN	microRNA O TermTag
assays	NNS	assay O TermTag
containing	VBG	contain O TermTag
probes	NNS	probe O TermTag
for	IN	for O TermTag
366	CD	366 O TermTag
human	JJ	human O TermTag
miRNAs	NNS	mirna O TermTag
,	,	, , NUPOS
and	CC	and O TermTag
selected	VBN	select O TermTag
findings	NNS	finding O TermTag
were	VBD	be O TermTag
validated	VBN	validate O TermTag
with	IN	with O TermTag
quantitative	JJ	quantitative O TermTag
RT-PCR	NN	rt-pcr O TermTag
.	.	. . NUPOS

Target	NN	target O TermTag
prediction	NN	prediction O TermTag
and	CC	and O TermTag
pathway	NN	pathway O TermTag
analysis	NN	analysis O TermTag
on	IN	on O TermTag
the	DT	the O TermTag
significant	JJ	significant O TermTag
differential	JJ	differential O TermTag
miRNAs	NNS	mirna O TermTag
were	VBD	be O TermTag
performed	VBN	perform O TermTag
using	VBG	use O TermTag
DIANA-mirPath	NN	DIANA-mirPath O TermTag
.	.	. . NUPOS

RESULTS	NNS	result O TermTag
:	:	: : NUPOS
We	PRP	we O TermTag
found	VBD	find O TermTag
47	CD	47 O TermTag
significantly	RB	significant O TermTag
differentially	RB	differential O TermTag
expressed	VBN	express O TermTag
serum	NN	serum O TermTag
miRNAs	NNS	mirna O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
)	)	) ) NUPOS
in	IN	in O TermTag
rapid	JJ	rapid O TermTag
progressive	JJ	progressive O TermTag
or	CC	or O TermTag
slowly	RB	slow O TermTag
progressive	JJ	progressive O TermTag
IPF	NN	IPF O TermTag
patients	NNS	patient O TermTag
compared	VBN	compare O TermTag
to	TO	to O TermTag
healthy	JJ	healthy O TermTag
controls	NNS	control O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
21	CD	21 O TermTag
up-regulated	VBN	upregulate O TermTag
miRNAs	NNS	mirna O TermTag
and	CC	and O TermTag
26	CD	26 O TermTag
down-regulated	VBD	downregulate O TermTag
miRNAs	NNS	mirna O TermTag
.	.	. . NUPOS

Bioinformatic	JJ	bioinformatic O TermTag
analysis	NN	analysis O TermTag
by	IN	by O TermTag
DIANA-mirPath	NN	DIANA-mirPath O TermTag
demonstrated	VBD	demonstrate O TermTag
that	IN	that O TermTag
53	CD	53 O TermTag
KEGG	NN	KEGG O TermTag
biological	JJ	biological O TermTag
processes	NNS	process O TermTag
were	VBD	be O TermTag
significantly	RB	significant O TermTag
enriched	JJ	enriched O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.05	CD	0.05 O TermTag
,	,	, , NUPOS
FDR	NNP	fdr O TermTag
corrected	VBN	correct O TermTag
)	)	) ) NUPOS
among	IN	among O TermTag
differentially	RB	differential O TermTag
expressed	VBN	express O TermTag
serum	NN	serum O TermTag
miRNAs	NNS	mirna O TermTag
,	,	, , NUPOS
including	VBG	include O TermTag
TGF-beta	NN	TGF-beta GENE TermTag
signaling	NN	signaling O TermTag
pathway	NN	pathway O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
MAPK	NN	mapk O TermTag
signaling	NN	signaling O TermTag
pathway	NN	pathway O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
PI3K-Akt	NN	PI3K-Akt O TermTag
signaling	NN	signaling O TermTag
pathway	NN	pathway O TermTag
(	(	( ( NUPOS
p	NN	p NN PennPOS
<	JJR	< JJR PennPOS
0.0001	CD	0.0001 O TermTag
)	)	) ) NUPOS
,	,	, , NUPOS
Wnt	NN	Wnt O TermTag
signaling	NN	signaling O TermTag
pathway	NN	pathway O TermTag
(	(	( ( NUPOS
